Motif	Num	Protection_Score_WT	Protection_Score_KO	Protection_Diff_WT_KO	TC_WT	TC_KO	TC_Diff_WT_KO	TF_Activity	Z_score	P_values
MA0740.1.KLF14	2	0.05439282932204211	0.3263569759322529	0.2719641466102108	0.30628689452465396	0.18150334490349893	-0.12478354962115504	0.14718059698905575	0.6193590874295302	0.5356798270325807
MA0496.2.MAFK	2	-0.039283710065919304	0.1571348402636773	0.1964185503295966	0.06216323351090529	0.1087856586440843	0.046622425133179005	0.2430409754627756	0.7965829781475259	0.425693266465898
MA0591.1.Bach1::Mafk	6	-0.0505076272276105	0.10101525445522114	0.15152288168283162	0.11658391374401872	0.10644618211410402	-0.0101377316299147	0.1413851500529169	0.6086446330238051	0.542760013425585
MA0690.1.TBX21	4	0.11785113019775795	0.47140452079103196	0.353553390593274	0.32208528776560047	0.35540445546549004	0.033319167699889574	0.3868725582931636	1.062494641789843	0.28801118921220703
MA0002.2.RUNX1	8	0.12374368670764574	0.2121320343559644	0.08838834764831865	0.28377311613407524	0.29958997834482687	0.015816862210751625	0.10420520985907028	0.5399074366687717	0.5892608690324637
MA0741.1.KLF16	8	0.017677669529663653	0.21213203435596437	0.1944543648263007	0.19538476848575678	0.15816862210751712	-0.03721614637823967	0.15723821844806105	0.6379533266210892	0.5235040628535456
MA0501.1.MAF::NFE2	4	0.050507627227610534	-0.15152288168283168	-0.20203050891044222	0.06272721446009695	0.06842968850192399	0.005702474041827041	-0.19632803486861516	-0.015709719958099746	0.9874659725495293
MA1107.1.KLF9	8	0.10311973892303823	-0.26516504294495546	-0.3682847818679937	0.13822433089683847	0.13728402932611158	-0.0009403015707268869	-0.36922508343872057	-0.3353567746549757	0.7373559706972727
MA0140.2.GATA1::TAL1	2	0.20797258270192573	0.1663780661615407	-0.04159451654038504	0.19319857409468505	0.1931985740946852	1.3877787807814457e-16	-0.0415945165403849	0.2703571262116256	0.7868855206174443
MA1421.1.TCF7L1	2	0.7071067811865474	0.12856486930664507	-0.5785419118799022	0.6734350297014747	0.06734350297014742	-0.6060915267313273	-1.1846334386112294	-1.8428601199213492	0.06534943627807487
MA0768.1.LEF1	2	0.7576144084141581	0.10101525445522112	-0.656599153958937	0.6728919369355864	0.06842968850192399	-0.6044622484336624	-1.2610614023925995	-1.9841579252988002	0.047238237340471244
MA0482.1.Gata4	4	0.07071067811865483	-0.35355339059327395	-0.4242640687119288	0.44101133458213687	0.1898023465290205	-0.25120898805311637	-0.6754730567650451	-0.9015391559635532	0.3673017246769503
MA1104.1.GATA6	4	0.3535533905932738	-0.23570226039551598	-0.5892556509887897	0.44382234138304627	0.19182152042826545	-0.2520008209547808	-0.8412564719435706	-1.2080347313227706	0.22703390324930295
MA0036.3.GATA2	6	-0.023570226039551567	-0.8956685895029609	-0.8720983634634093	0.47512613542885523	0.4515559093893037	-0.023570226039551556	-0.8956685895029608	-1.3086302779877963	0.1906596194965292
MA0523.1.TCF7L2	4	0.43514263457633695	-0.05439282932204215	-0.4895354638983791	0.718450740243017	0.43863308351678937	-0.27981765672622766	-0.7693531206246067	-1.0751018983911418	0.2823291096390592
MA0035.3.Gata1	4	0.0707106781186548	-0.2828427124746192	-0.35355339059327395	0.43915052726322473	0.1935239611668445	-0.24562656609638023	-0.5991799566896542	-0.7604906826988146	0.4469613365319489
MA0511.2.RUNX2	4	0.35355339059327373	-0.17677669529663698	-0.5303300858899107	0.18966666266201662	0.1362653692911576	-0.053401293370859026	-0.5837313792607697	-0.7319298002821475	0.46421141610197214
MA0684.1.RUNX3	6	0.3142696805273544	0.3142696805273546	2.220446049250313e-16	0.25051077937324445	0.2245958711622197	-0.02591490821102474	-0.025914908211024518	0.29934513186429834	0.7646767221126893
MA0508.2.PRDM1	4	0.039283710065919304	0.3142696805273546	0.2749859704614353	0.30357463904343923	0.3813193636765153	0.07774472463307608	0.3527306950945114	0.9993741541726833	0.3176134753752734
MA0493.1.Klf1	8	0.22980970388562783	0.4596194077712561	0.22980970388562827	0.38983913331205755	0.45775860045234457	0.06791946714028702	0.2977291710259153	0.897688929828108	0.3693514129087462
MA0742.1.Klf12	2	0.101015254455221	0.30304576336566336	0.20203050891044236	0.3725616373993639	0.4638012220685956	0.09123958466923171	0.29327009357967404	0.8894451166216707	0.3737639069366616
MA0599.1.KLF5	12	-0.261891400439462	0.26189140043946213	0.5237828008789241	0.4282130071059892	0.5207662507167939	0.09255324361080475	0.6163360444897289	1.4867200876826854	0.13708875499189724
MA0039.3.KLF4	4	0.21213203435596428	0.5656854249492383	0.35355339059327406	0.32005885885285884	0.3498317759554501	0.02977291710259128	0.38332630769586534	1.0559384364178133	0.2909963422473778
