motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive,DKO_Tfh_vs_Naive
AP-1(bZIP),37.71,38.83,32.19,31.35,33.19,34.26
AT1G76870(Trihelix),10.47,10.28,9.93,10.18,10.71,10.83
AT2G31460(REMB3),9.78,10.07,9.02,9.21,9.41,9.68
Atf3(bZIP),36.75,37.7,30.68,29.47,31.82,33.03
BATF(bZIP),36.87,37.95,30.44,29.3,31.93,33.17
Bach2(bZIP),14.21,14.4,11.2,10.82,11.51,12.05
"Brn1(POU,Homeobox)",10.64,10.46,7.5,7.27,7.24,7.73
EHF(ETS),34.89,34.71,38.61,40.22,36.46,35.49
ELF1(ETS),16.85,17.01,20.53,21.32,18.49,17.17
ELF3(ETS),22.47,22.18,25.28,26.88,23.99,23.04
ELF5(ETS),20.84,20.82,23.26,24.61,22.0,21.3
ERG(ETS),46.84,45.92,51.84,53.52,49.24,48.06
ETS(ETS),12.02,12.12,14.81,15.69,13.45,12.54
ETS1(ETS),36.07,35.42,41.65,43.22,38.73,37.37
ETV1(ETS),42.45,42.01,47.82,49.36,44.33,43.04
EWS:ERG-fusion(ETS),25.77,25.57,28.86,30.35,27.44,26.52
EWS:FLI1-fusion(ETS),21.89,21.63,25.1,26.36,23.4,22.6
Egr1(Zf),19.77,19.73,18.2,16.75,17.37,17.03
Elk1(ETS),19.33,19.46,22.94,23.67,20.92,19.61
Elk4(ETS),19.51,19.61,22.53,23.02,20.35,19.31
Ets1-distal(ETS),15.77,15.54,18.64,19.9,17.24,16.59
Etv2(ETS),33.58,32.89,38.99,40.98,36.22,34.98
Fli1(ETS),37.75,37.49,43.14,44.56,39.86,38.52
Fosl2(bZIP),26.08,26.76,21.36,20.4,22.18,22.95
Fra1(bZIP),33.69,34.61,27.85,26.6,29.09,30.0
Fra2(bZIP),30.9,31.66,25.44,24.33,26.49,27.43
GABPA(ETS),31.11,30.79,35.72,37.29,32.78,31.66
IRF3(IRF),11.45,11.64,11.7,12.13,13.14,12.93
IRF4(IRF),13.06,13.51,13.54,13.82,15.11,15.02
IRF8(IRF),11.37,11.7,11.8,12.18,13.18,12.93
Jun-AP1(bZIP),21.3,21.87,17.32,16.46,17.82,18.58
JunB(bZIP),33.84,34.93,27.99,26.96,29.3,30.44
KLF3(Zf),15.14,14.99,18.23,17.36,17.01,16.03
KLF5(Zf),31.51,31.74,36.14,35.35,34.41,33.38
KLF6(Zf),25.69,26.06,30.06,28.81,27.97,26.97
Klf4(Zf),11.96,12.32,15.51,15.2,14.53,13.7
Klf9(Zf),12.02,12.41,13.67,12.79,12.66,12.01
MafB(bZIP),12.89,12.75,11.92,11.64,11.5,11.9
MafK(bZIP),10.16,10.04,8.98,8.6,8.56,8.94
NFAT(RHD),28.35,27.57,24.14,23.17,22.13,23.22
"NFAT:AP1(RHD,bZIP)",10.86,10.42,8.05,7.01,6.57,7.31
NFkB-p65(RHD),13.95,15.24,12.4,12.12,13.77,13.98
"Oct2(POU,Homeobox)",10.29,10.05,7.26,7.04,7.07,7.13
"Oct4(POU,Homeobox)",13.94,13.83,10.51,10.26,10.42,10.83
"Oct6(POU,Homeobox)",12.32,12.03,9.23,9.02,8.96,9.61
PRDM1(Zf),14.82,14.79,13.55,13.7,15.73,15.45
PU.1(ETS),17.1,17.13,20.42,21.42,18.96,18.52
RUNX(Runt),29.27,29.19,34.48,35.23,35.4,35.33
RUNX-AML(Runt),28.49,28.37,32.76,33.48,33.57,33.9
RUNX1(Runt),37.15,36.89,42.49,43.38,44.2,43.99
RUNX2(Runt),31.41,31.53,36.58,37.33,37.47,37.61
SPDEF(ETS),27.93,27.68,30.77,31.81,29.02,27.96
Sp5(Zf),25.41,25.26,27.61,26.6,25.84,25.02
Tcf3(HMG),11.21,10.74,5.84,5.6,8.04,8.56
Tcf4(HMG),17.55,16.92,10.24,10.02,13.34,14.08
"bZIP:IRF(bZIP,IRF)",16.87,17.43,15.09,14.93,17.5,17.8
