"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005769","GO:0005769","early endosome","3/34","253/21298",0.00755408846292853,0.160170696764061,0.12645055007689,"Rabgap1l/Hmgb1/Snx13",3
"GO:0005687","GO:0005687","U4 snRNP","1/34","10/21298",0.0158530716051113,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0008250","GO:0008250","oligosaccharyltransferase complex","1/34","10/21298",0.0158530716051113,0.160170696764061,0.12645055007689,"Dad1",1
"GO:0034709","GO:0034709","methylosome","1/34","10/21298",0.0158530716051113,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0034719","GO:0034719","SMN-Sm protein complex","1/34","15/21298",0.0236878625998124,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0005682","GO:0005682","U5 snRNP","1/34","16/21298",0.0252475399325013,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0009897","GO:0009897","external side of plasma membrane","3/34","399/21298",0.0254251836493878,0.160170696764061,0.12645055007689,"Ccr7/Tnfrsf11a/Ly6c1",3
"GO:0005685","GO:0005685","U1 snRNP","1/34","18/21298",0.0283596428986929,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0043218","GO:0043218","compact myelin","1/34","19/21298",0.0299120758000762,0.160170696764061,0.12645055007689,"Mbp",1
"GO:0005686","GO:0005686","U2 snRNP","1/34","20/21298",0.0314621011500834,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0005697","GO:0005697","telomerase holoenzyme complex","1/34","20/21298",0.0314621011500834,0.160170696764061,0.12645055007689,"Snrpd3",1
"GO:0031012","GO:0031012","extracellular matrix","3/34","476/21298",0.0397949287470388,0.175104261923339,0.138240206781583,"Lrrc3b/Lrrc32/Ctgf",3
"GO:0005689","GO:0005689","U12-type spliceosomal complex","1/34","26/21298",0.040711897062585,0.175104261923339,0.138240206781583,"Snrpd3",1
"GO:0071007","GO:0071007","U2-type catalytic step 2 spliceosome","1/34","28/21298",0.0437760654808347,0.175104261923339,0.138240206781583,"Snrpd3",1
"GO:0000791","GO:0000791","euchromatin","1/34","40/21298",0.0619625598737013,0.231326890195151,0.18262649225933,"Ankrd2",1
"GO:0005801","GO:0005801","cis-Golgi network","1/34","46/21298",0.0709294639059397,0.248253123670789,0.195989308161149,"Ctgf",1
"GO:0097525","GO:0097525","spliceosomal snRNP complex","1/34","59/21298",0.0900732678843628,0.263861690074357,0.208311860585018,"Snrpd3",1
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","1/34","64/21298",0.0973338524455587,0.263861690074357,0.208311860585018,"Snrpd3",1
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","1/34","68/21298",0.103101804311977,0.263861690074357,0.208311860585018,"Man1a",1
"GO:0016529","GO:0016529","sarcoplasmic reticulum","1/34","71/21298",0.107404276201155,0.263861690074357,0.208311860585018,"Xdh",1
"GO:0016605","GO:0016605","PML body","1/34","72/21298",0.108833976799881,0.263861690074357,0.208311860585018,"Ankrd2",1
"GO:0120114","GO:0120114","Sm-like protein family complex","1/34","75/21298",0.113109755487755,0.263861690074357,0.208311860585018,"Snrpd3",1
"GO:0005684","GO:0005684","U2-type spliceosomal complex","1/34","77/21298",0.115949205473054,0.263861690074357,0.208311860585018,"Snrpd3",1
"GO:0016528","GO:0016528","sarcoplasm","1/34","80/21298",0.120191843422041,0.263861690074357,0.208311860585018,"Xdh",1
"GO:0005811","GO:0005811","lipid droplet","1/34","81/21298",0.121601659489702,0.263861690074357,0.208311860585018,"Plin3",1
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","1/34","82/21298",0.123009282790704,0.263861690074357,0.208311860585018,"Snrpd3",1
"GO:0044304","GO:0044304","main axon","1/34","85/21298",0.127219029142993,0.263861690074357,0.208311860585018,"Mbp",1
"GO:0005765","GO:0005765","lysosomal membrane","1/34","98/21298",0.145235723400715,0.283102345484668,0.223501851698422,"Tm6sf1",1
"GO:0098852","GO:0098852","lytic vacuole membrane","1/34","99/21298",0.146606571768846,0.283102345484668,0.223501851698422,"Tm6sf1",1
"GO:0034708","GO:0034708","methyltransferase complex","1/34","120/21298",0.174906367449336,0.322745210358586,0.254798850283094,"Snrpd3",1
"GO:0044431","GO:0044431","Golgi apparatus part","2/34","481/21298",0.178662527162789,0.322745210358586,0.254798850283094,"Man1a/Ctgf",2
"GO:0031674","GO:0031674","I band","1/34","137/21298",0.197146595749389,0.341616769515995,0.269697449617891,"Ankrd2",1
