"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005635","GO:0005635","nuclear envelope","5/78","409/21298",0.0171433719892371,0.376251280685177,0.363467259822457,"Gabrb1/Ipo11/Pgrmc2/Pcyt1a/Sephs1",5
"GO:1902495","GO:1902495","transmembrane transporter complex","4/78","311/21298",0.0273768789978526,0.376251280685177,0.363467259822457,"Gabrb1/Cacna1e/Vwc2/Atp1b1",4
"GO:0005758","GO:0005758","mitochondrial intermembrane space","2/78","74/21298",0.0301770732104574,0.376251280685177,0.363467259822457,"Myoc/Timm8a2",2
"GO:1990351","GO:1990351","transporter complex","4/78","322/21298",0.0305587698637389,0.376251280685177,0.363467259822457,"Gabrb1/Cacna1e/Vwc2/Atp1b1",4
"GO:0005687","GO:0005687","U4 snRNP","1/78","10/21298",0.0360329378452218,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0034709","GO:0034709","methylosome","1/78","10/21298",0.0360329378452218,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0097539","GO:0097539","ciliary transition fiber","1/78","10/21298",0.0360329378452218,0.376251280685177,0.363467259822457,"Nin",1
"GO:0090533","GO:0090533","cation-transporting ATPase complex","1/78","11/21298",0.0395649479376716,0.376251280685177,0.363467259822457,"Atp1b1",1
"GO:0031970","GO:0031970","organelle envelope lumen","2/78","87/21298",0.0405485746036556,0.376251280685177,0.363467259822457,"Myoc/Timm8a2",2
"GO:0002177","GO:0002177","manchette","1/78","12/21298",0.0430841819331086,0.376251280685177,0.363467259822457,"Spef2",1
"GO:0005652","GO:0005652","nuclear lamina","1/78","13/21298",0.0465906854475886,0.376251280685177,0.363467259822457,"Hlcs",1
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","1/78","13/21298",0.0465906854475886,0.376251280685177,0.363467259822457,"Suclg2",1
"GO:0098533","GO:0098533","ATPase dependent transmembrane transport complex","1/78","13/21298",0.0465906854475886,0.376251280685177,0.363467259822457,"Atp1b1",1
"GO:0016323","GO:0016323","basolateral plasma membrane","3/78","228/21298",0.0513131557483977,0.376251280685177,0.363467259822457,"Slc4a10/Atp1b1/Slc4a4",3
"GO:0034719","GO:0034719","SMN-Sm protein complex","1/78","15/21298",0.0535656826947957,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0043220","GO:0043220","Schmidt-Lanterman incisure","1/78","15/21298",0.0535656826947957,0.376251280685177,0.363467259822457,"Myoc",1
"GO:0014069","GO:0014069","postsynaptic density","4/78","394/21298",0.056627530096221,0.376251280685177,0.363467259822457,"Eef2k/Ifngr1/Ywhaz/Magi2",4
"GO:0005682","GO:0005682","U5 snRNP","1/78","16/21298",0.0570342668582032,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0098890","GO:0098890","extrinsic component of postsynaptic membrane","1/78","16/21298",0.0570342668582032,0.376251280685177,0.363467259822457,"Magi2",1
"GO:0032279","GO:0032279","asymmetric synapse","4/78","397/21298",0.0579113706812713,0.376251280685177,0.363467259822457,"Eef2k/Ifngr1/Ywhaz/Magi2",4
"GO:0005614","GO:0005614","interstitial matrix","1/78","17/21298",0.0604903014031268,0.376251280685177,0.363467259822457,"Vwc2",1
"GO:0033268","GO:0033268","node of Ranvier","1/78","17/21298",0.0604903014031268,0.376251280685177,0.363467259822457,"Myoc",1
"GO:0005685","GO:0005685","U1 snRNP","1/78","18/21298",0.0639338311475255,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0043218","GO:0043218","compact myelin","1/78","19/21298",0.0673649007514023,0.376251280685177,0.363467259822457,"Myoc",1
"GO:1902711","GO:1902711","GABA-A receptor complex","1/78","19/21298",0.0673649007514023,0.376251280685177,0.363467259822457,"Gabrb1",1
"GO:0098984","GO:0098984","neuron to neuron synapse","4/78","422/21298",0.0692147873333599,0.376251280685177,0.363467259822457,"Eef2k/Ifngr1/Ywhaz/Magi2",4
"GO:0005686","GO:0005686","U2 snRNP","1/78","20/21298",0.0707835547173499,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0005697","GO:0005697","telomerase holoenzyme complex","1/78","20/21298",0.0707835547173499,0.376251280685177,0.363467259822457,"Snrpd3",1
"GO:0000242","GO:0000242","pericentriolar material","1/78","21/21298",0.0741898373910993,0.376251280685177,0.363467259822457,"Nin",1
