"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098858","GO:0098858","actin-based cell projection","11/264","203/21298",4.8659706115157e-05,0.0172255359647656,0.0160320926463622,"Abi1/Nf2/Slc26a2/Itgb1/Akap5/Grxcr1/Myo10/Myo3b/Arf6/Clic5/Wwox",11
"GO:0030175","GO:0030175","filopodium","7/264","91/21298",0.000138509310591965,0.0231137301061132,0.0215123328076522,"Abi1/Nf2/Itgb1/Akap5/Myo10/Myo3b/Arf6",7
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","9/264","162/21298",0.000195879068695874,0.0231137301061132,0.0215123328076522,"Farp1/Atp2b1/Traf5/Cyld/Ptk2b/Esyt2/Akap5/Cd2/Ptpn4",9
"GO:0098562","GO:0098562","cytoplasmic side of membrane","9/264","177/21298",0.000377516063920607,0.0334101716569737,0.0310954021071447,"Farp1/Atp2b1/Traf5/Cyld/Ptk2b/Esyt2/Akap5/Cd2/Ptpn4",9
"GO:0044309","GO:0044309","neuron spine","9/264","197/21298",0.000816481549323804,0.0549047385778624,0.051100752824475,"Grk3/Rapgef4/Atp2b1/Itgb1/Ptk2b/Akap5/Dock10/Sipa1l1/Eea1",9
"GO:0031252","GO:0031252","cell leading edge","13/264","378/21298",0.000930588789455295,0.0549047385778624,0.051100752824475,"Abi1/Nf2/Atp2b1/Eps8l3/Itgb1/Bcas3/Ptk2b/Bcar1/Akap5/Thy1/Myo10/Arf6/Dpysl3",13
"GO:0043197","GO:0043197","dendritic spine","8/264","194/21298",0.00298157012679518,0.150782260697928,0.140335556343894,"Grk3/Rapgef4/Atp2b1/Itgb1/Ptk2b/Akap5/Dock10/Sipa1l1",8
"GO:0009897","GO:0009897","external side of plasma membrane","12/264","399/21298",0.00432440534031246,0.191354936308826,0.178097219936553,"Cxcr3/Ccr6/Ly75/Alcam/Sema7a/Itgb1/Pdcd1lg2/Ifng/Ece1/Thy1/Cd2/Ccr5",12
"GO:0005667","GO:0005667","transcription factor complex","12/264","417/21298",0.00609248900405538,0.212943470083309,0.198190027166445,"Pou3f1/Cebpa/Lpin1/Tcf12/Zfpm1/Tcf4/Sox6/Mef2b/Nfya/Nfatc1/Ets1/Wwox",12
"GO:0030056","GO:0030056","hemidesmosome","2/264","10/21298",0.00645062909269029,0.212943470083309,0.198190027166445,"Itgb1/Plec",2
"GO:0030136","GO:0030136","clathrin-coated vesicle","5/264","96/21298",0.00689480020978023,0.212943470083309,0.198190027166445,"Rab8b/Vti1a/Ece1/Ston2/Myo1e",5
"GO:0043204","GO:0043204","perikaryon","6/264","137/21298",0.0073043217154671,0.212943470083309,0.198190027166445,"Gigyf2/Mapk8/Ifng/Top1/Ptpn5/Npy",6
