"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","17/285","399/21298",2.96738468489475e-05,0.0114541048836937,0.00940192410687704,"Sell/Itgae/Cd28/Klrk1/Cd44/Ccr2/Itgb3/Btla/Il6st/Thy1/Cd2/Rorc/Klra1/Il12rb1/Itgb1/Ccr3/Il2ra",17
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","5/285","38/21298",0.000144835170601153,0.0262768589517218,0.0215689515802243,"Itgae/Itga9/Cd28/Itgb3/Itgb1",5
"GO:0031256","GO:0031256","leading edge membrane","9/285","151/21298",0.000204224292370895,0.0262768589517218,0.0215689515802243,"Cd44/Scimp/Itgb3/Myo1g/Plek/Thy1/Synj2/Myo6/Itgb1",9
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","9/285","162/21298",0.000344326178433387,0.0332274762188218,0.027274257818013,"Gem/Cdh1/Rgs2/Hip1/Rasa3/Farp1/Cd2/Blk/Rgs8",9
"GO:0031252","GO:0031252","cell leading edge","14/285","378/21298",0.000614002864764382,0.0421440436936307,0.0345932837517939,"Cdh1/Cd44/Bcas3/Scimp/Itgb3/Myo1g/Plek/Thy1/Bspry/Gas7/Bcar1/Synj2/Myo6/Itgb1",14
"GO:0098562","GO:0098562","cytoplasmic side of membrane","9/285","177/21298",0.000655088762077161,0.0421440436936307,0.0345932837517939,"Gem/Cdh1/Rgs2/Hip1/Rasa3/Farp1/Cd2/Blk/Rgs8",9
"GO:0008305","GO:0008305","integrin complex","4/285","33/21298",0.00094627249585561,0.0521801690571808,0.0428312813913592,"Itgae/Itga9/Itgb3/Itgb1",4
"GO:0031965","GO:0031965","nuclear membrane","10/285","241/21298",0.00158338729013017,0.0763984367487807,0.0627104703064712,"Nup50/P2rx3/Tmc6/Spast/Itpr1/Lpin1/Dusp2/Sephs1/Smad3/Myo6",10
"GO:0032587","GO:0032587","ruffle membrane","5/285","70/21298",0.0024671273217676,0.101344999213993,0.0831874686757889,"Itgb3/Plek/Synj2/Myo6/Itgb1",5
"GO:0016529","GO:0016529","sarcoplasmic reticulum","5/285","71/21298",0.00262551811435214,0.101344999213993,0.0831874686757889,"Xdh/Itpr2/Ank3/Itpr1/Stim1",5
"GO:0001726","GO:0001726","ruffle","7/285","145/21298",0.00343553145533382,0.120555921978078,0.0989564562732516,"Itgb3/Plek/Gas7/Bcar1/Synj2/Myo6/Itgb1",7
"GO:0016528","GO:0016528","sarcoplasm","5/285","80/21298",0.00439941550798163,0.136384574099488,0.111949159541712,"Xdh/Itpr2/Ank3/Itpr1/Stim1",5
"GO:0015629","GO:0015629","actin cytoskeleton","14/285","470/21298",0.00459326285827291,0.136384574099488,0.111949159541712,"Lpxn/Sept9/Cdh1/Hip1/Tpm4/Pls1/Myo1g/Gas7/Myo1b/Bcar1/Rara/Filip1/Myo6/Clic5",14
