"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045121","GO:0045121","membrane raft","9/120","360/21298",0.000205255163340197,0.0240938535214468,0.0219928358032239,"Cd2/Card11/Cdh1/P2rx3/Unc5b/Atp1b3/Igf1r/Itgb1/Tnfrsf1b",9
"GO:0098857","GO:0098857","membrane microdomain","9/120","361/21298",0.000209519888309403,0.0240938535214468,0.0219928358032239,"Cd2/Card11/Cdh1/P2rx3/Unc5b/Atp1b3/Igf1r/Itgb1/Tnfrsf1b",9
"GO:0098589","GO:0098589","membrane region","9/120","373/21298",0.000266721625698673,0.0240938535214468,0.0219928358032239,"Cd2/Card11/Cdh1/P2rx3/Unc5b/Atp1b3/Igf1r/Itgb1/Tnfrsf1b",9
"GO:0031256","GO:0031256","leading edge membrane","5/120","151/21298",0.00166107930277301,0.0650310445728349,0.059360246551238,"Scimp/Myo1g/Cd44/Myo6/Itgb1",5
"GO:0001931","GO:0001931","uropod","2/120","11/21298",0.00167491734013818,0.0650310445728349,0.059360246551238,"Scimp/Pip5k1b",2
"GO:0031254","GO:0031254","cell trailing edge","2/120","11/21298",0.00167491734013818,0.0650310445728349,0.059360246551238,"Scimp/Pip5k1b",2
"GO:0005637","GO:0005637","nuclear inner membrane","3/120","42/21298",0.00170600732862652,0.0650310445728349,0.059360246551238,"P2rx3/Sun1/Smad3",3
"GO:0009897","GO:0009897","external side of plasma membrane","8/120","399/21298",0.00191973563314642,0.0650310445728349,0.059360246551238,"Cd2/Klrk1/Cxcr6/Ifng/Il6st/Cd44/Itgb1/Il2ra",8
"GO:0098833","GO:0098833","presynaptic endocytic zone","2/120","13/21298",0.00235789234398682,0.0667961521612323,0.0609714342897246,"Fcho2/Myo6",2
"GO:0031965","GO:0031965","nuclear membrane","6/120","241/21298",0.0024648026627761,0.0667961521612323,0.0609714342897246,"P2rx3/Tmc6/Sun1/Mindy3/Smad3/Myo6",6
"GO:0005639","GO:0005639","integral component of nuclear inner membrane","2/120","15/21298",0.00315079490433772,0.0711554515896269,0.064950596712225,"P2rx3/Sun1",2
"GO:0031229","GO:0031229","intrinsic component of nuclear inner membrane","2/120","15/21298",0.00315079490433772,0.0711554515896269,0.064950596712225,"P2rx3/Sun1",2
"GO:0044453","GO:0044453","nuclear membrane part","2/120","16/21298",0.00358768132903565,0.0747893569360508,0.0682676204310427,"P2rx3/Sun1",2
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","4/120","115/21298",0.00409690939721488,0.0793044604746596,0.072389000627481,"P2rx3/Abr/Myo6/Itgb1",4
"GO:0098858","GO:0098858","actin-based cell projection","5/120","203/21298",0.00589378635197556,0.106481073425692,0.0971957749273163,"Myo1g/Cd44/Myo6/Itgb1/Clic5",5
"GO:0043235","GO:0043235","receptor complex","7/120","398/21298",0.00739268041551515,0.125213524537788,0.114294730108293,"Itga9/P2rx3/Il6st/Igf1r/Cd44/Smad3/Itgb1",7
"GO:0016323","GO:0016323","basolateral plasma membrane","5/120","228/21298",0.00948572432860849,0.1512136054737,0.138027567629907,"Itga9/Cdh1/Lin7b/Cd44/Entpd1",5
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","2/120","29/21298",0.0115729896708352,0.17423778893313,0.159044010096273,"Fcho2/Myo6",2
"GO:0008305","GO:0008305","integrin complex","2/120","33/21298",0.0148321519542132,0.202278296247507,0.18463934596296,"Itga9/Itgb1",2
"GO:0005902","GO:0005902","microvillus","3/120","92/21298",0.0152304200514721,0.202278296247507,0.18463934596296,"Myo1g/Cd44/Myo6",3
"GO:0005901","GO:0005901","caveola","3/120","93/21298",0.0156747019232385,0.202278296247507,0.18463934596296,"Cdh1/Atp1b3/Igf1r",3
"GO:0030136","GO:0030136","clathrin-coated vesicle","3/120","96/21298",0.0170511467048136,0.20625179139626,0.188266346778486,"Fcho2/Rab27a/Myo6",3
