"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090533","GO:0090533","cation-transporting ATPase complex","2/129","11/21298",0.00193180598050112,0.311211839442358,0.306133457323211,"Atp1b3/Atp1b1",2
"GO:0098533","GO:0098533","ATPase dependent transmembrane transport complex","2/129","13/21298",0.0027180073313743,0.311211839442358,0.306133457323211,"Atp1b3/Atp1b1",2
"GO:0000151","GO:0000151","ubiquitin ligase complex","6/129","275/21298",0.00665615823427141,0.353968447617737,0.348192359412529,"Fbxo15/Gan/Med7/Fbxl18/Det1/Wdr26",6
"GO:0014069","GO:0014069","postsynaptic density","7/129","394/21298",0.0102432410396362,0.353968447617737,0.348192359412529,"Eef2k/Dnajb1/Cast/Ntrk2/Ywhaz/Actr2/Magi2",7
"GO:0032279","GO:0032279","asymmetric synapse","7/129","397/21298",0.0106480604359713,0.353968447617737,0.348192359412529,"Eef2k/Dnajb1/Cast/Ntrk2/Ywhaz/Actr2/Magi2",7
"GO:0002102","GO:0002102","podosome","2/129","26/21298",0.0107579047655063,0.353968447617737,0.348192359412529,"Tpm4/Actr2",2
"GO:0005667","GO:0005667","transcription factor complex","7/129","417/21298",0.0136505889424643,0.353968447617737,0.348192359412529,"Runx1/Gtf3c3/Arid2/Med7/Rel/Sox5/Tle4",7
"GO:0098984","GO:0098984","neuron to neuron synapse","7/129","422/21298",0.0144875887553262,0.353968447617737,0.348192359412529,"Eef2k/Dnajb1/Cast/Ntrk2/Ywhaz/Actr2/Magi2",7
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","4/129","156/21298",0.0150470006077785,0.353968447617737,0.348192359412529,"Fbxo15/Gan/Fbxl18/Det1",4
"GO:0099572","GO:0099572","postsynaptic specialization","7/129","433/21298",0.0164573736220732,0.353968447617737,0.348192359412529,"Eef2k/Dnajb1/Cast/Ntrk2/Ywhaz/Actr2/Magi2",7
"GO:0005921","GO:0005921","gap junction","2/129","33/21298",0.0170028511956118,0.353968447617737,0.348192359412529,"Panx1/Gjd2",2
"GO:1904949","GO:1904949","ATPase complex","3/129","94/21298",0.0195103730828352,0.372322952997439,0.366247354361994,"Arid2/Atp1b3/Atp1b1",3
"GO:0009897","GO:0009897","external side of plasma membrane","6/129","399/21298",0.0347258802210177,0.439260517789972,0.432092626095399,"Prlr/Ccr7/Tnfrsf11a/Kcnj3/Cd83/Il2ra",6
"GO:0044798","GO:0044798","nuclear transcription factor complex","4/129","204/21298",0.0356795121980203,0.439260517789972,0.432092626095399,"Runx1/Gtf3c3/Sox5/Tle4",4
"GO:0005938","GO:0005938","cell cortex","5/129","300/21298",0.0360311507143679,0.439260517789972,0.432092626095399,"C2cd5/Tpm4/Ctgf/Actr2/Phldb2",5
"GO:0019005","GO:0019005","SCF ubiquitin ligase complex","2/129","61/21298",0.0528349794427963,0.439260517789972,0.432092626095399,"Fbxo15/Fbxl18",2
"GO:0005687","GO:0005687","U4 snRNP","1/129","10/21298",0.0589566961516922,0.439260517789972,0.432092626095399,"Snrpd3",1
"GO:0005885","GO:0005885","Arp2/3 protein complex","1/129","10/21298",0.0589566961516922,0.439260517789972,0.432092626095399,"Actr2",1
