"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043197","GO:0043197","dendritic spine","9/254","194/21298",0.000555810691781724,0.100227786155981,0.0924375541213711,"Grk3/Lama2/Rapgef4/Rgs10/Eef2k/Sipa1l1/Nr3c1/Dock10/Slc1a3",9
"GO:0044309","GO:0044309","neuron spine","9/254","197/21298",0.00062060548703394,0.100227786155981,0.0924375541213711,"Grk3/Lama2/Rapgef4/Rgs10/Eef2k/Sipa1l1/Nr3c1/Dock10/Slc1a3",9
"GO:0015629","GO:0015629","actin cytoskeleton","14/254","470/21298",0.00162359215134656,0.171043709212484,0.157749290230187,"Myo16/Topbp1/Epb41l2/Pawr/Macf1/Tmod1/Neb/Myo3b/Klhl2/Actr2/Flnb/Vcl/Tmod3/Hdac4",14
"GO:0014069","GO:0014069","postsynaptic density","12/254","394/21298",0.00287037541294205,0.171043709212484,0.157749290230187,"Abi1/Rapgef4/Exoc4/Dlgap1/Macf1/Eef2k/Nck2/Actr2/Sipa1l1/Nr3c1/Mapk1/Htt",12
"GO:0032279","GO:0032279","asymmetric synapse","12/254","397/21298",0.00305147766533588,0.171043709212484,0.157749290230187,"Abi1/Rapgef4/Exoc4/Dlgap1/Macf1/Eef2k/Nck2/Actr2/Sipa1l1/Nr3c1/Mapk1/Htt",12
"GO:0009897","GO:0009897","external side of plasma membrane","12/254","399/21298",0.00317728252407091,0.171043709212484,0.157749290230187,"Ccr6/Cxcr5/Gfra2/Cxcr4/S1pr1/Sell/Aqp4/Abca1/Ccr4/Kit/Cd83/Alcam",12
"GO:0098984","GO:0098984","neuron to neuron synapse","12/254","422/21298",0.00494970388544104,0.189126871790239,0.174426934061064,"Abi1/Rapgef4/Exoc4/Dlgap1/Macf1/Eef2k/Nck2/Actr2/Sipa1l1/Nr3c1/Mapk1/Htt",12
"GO:0005865","GO:0005865","striated muscle thin filament","3/254","30/21298",0.00536510222746771,0.189126871790239,0.174426934061064,"Tmod1/Neb/Tmod3",3
"GO:0030136","GO:0030136","clathrin-coated vesicle","5/254","96/21298",0.00587784357222938,0.189126871790239,0.174426934061064,"Clint1/Synrg/Snx9/Htt/Vti1a",5
"GO:0099572","GO:0099572","postsynaptic specialization","12/254","433/21298",0.00603930794276348,0.189126871790239,0.174426934061064,"Abi1/Rapgef4/Exoc4/Dlgap1/Macf1/Eef2k/Nck2/Actr2/Sipa1l1/Nr3c1/Mapk1/Htt",12
"GO:0036379","GO:0036379","myofilament","3/254","32/21298",0.00644085321886261,0.189126871790239,0.174426934061064,"Tmod1/Neb/Tmod3",3
"GO:0000137","GO:0000137","Golgi cis cisterna","2/254","12/21298",0.00864159953943479,0.19280501406324,0.177819191722004,"Xylt1/Nsg2",2
"GO:0031932","GO:0031932","TORC2 complex","2/254","12/21298",0.00864159953943479,0.19280501406324,0.177819191722004,"Sesn3/Rictor",2
"GO:0005925","GO:0005925","focal adhesion","6/254","148/21298",0.00876370455887838,0.19280501406324,0.177819191722004,"Epb41l5/Jak2/Flnb/Vcl/Mapk1/Lpp",6
"GO:0008180","GO:0008180","COP9 signalosome","3/254","36/21298",0.00895379322275106,0.19280501406324,0.177819191722004,"Epb41l2/Tmod1/Basp1",3
"GO:0005924","GO:0005924","cell-substrate adherens junction","6/254","154/21298",0.0105347807036921,0.212670885455784,0.196140982838478,"Epb41l5/Jak2/Flnb/Vcl/Mapk1/Lpp",6
"GO:0030055","GO:0030055","cell-substrate junction","6/254","161/21298",0.0129058005312505,0.240968801902856,0.222239436006219,"Epb41l5/Jak2/Flnb/Vcl/Mapk1/Lpp",6
"GO:0038201","GO:0038201","TOR complex","2/254","15/21298",0.0134286019636266,0.240968801902856,0.222239436006219,"Sesn3/Rictor",2
"GO:0032433","GO:0032433","filopodium tip","2/254","18/21298",0.0191141358259872,0.290320355247355,0.267755126397268,"Abi1/Myo3b",2
"GO:0031902","GO:0031902","late endosome membrane","3/254","48/21298",0.0195442779686405,0.290320355247355,0.267755126397268,"Wdr91/Nsg2/Vti1a",3
"GO:0045335","GO:0045335","phagocytic vesicle","4/254","87/21298",0.0203455521629955,0.290320355247355,0.267755126397268,"Kif5b/Rapgef1/Abca1/Flnb",4
"GO:0042641","GO:0042641","actomyosin","4/254","89/21298",0.0219138090222081,0.290320355247355,0.267755126397268,"Klhl2/Flnb/Vcl/Hdac4",4
"GO:0099568","GO:0099568","cytoplasmic region","11/254","460/21298",0.0227475806146338,0.290320355247355,0.267755126397268,"Spag16/Exoc4/Epb41l2/Macf1/Tmod1/Fry/Ctgf/Actr2/Mapk1/Rhoj/Htt",11
"GO:0030017","GO:0030017","sarcomere","6/254","184/21298",0.0232902328651973,0.290320355247355,0.267755126397268,"Grk3/Tmod1/Neb/Vcl/Tmod3/Hdac4",6
"GO:0016010","GO:0016010","dystrophin-associated glycoprotein complex","2/254","20/21298",0.0233694403604682,0.290320355247355,0.267755126397268,"Sntb2/Sntb1",2
"GO:0090665","GO:0090665","glycoprotein complex","2/254","20/21298",0.0233694403604682,0.290320355247355,0.267755126397268,"Sntb2/Sntb1",2
"GO:0005770","GO:0005770","late endosome","6/254","192/21298",0.0279301142752962,0.312068108454024,0.287812529550233,"Cxcr4/Wdr91/Nsg2/Mapk1/Htt/Vti1a",6
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","4/254","96/21298",0.0279735956905049,0.312068108454024,0.287812529550233,"Matk/Gna13/Farp1/Snx9",4
"GO:0005938","GO:0005938","cell cortex","8/254","300/21298",0.0280184989014449,0.312068108454024,0.287812529550233,"Exoc4/Epb41l2/Macf1/Tmod1/Fry/Ctgf/Actr2/Rhoj",8
"GO:0044449","GO:0044449","contractile fiber part","6/254","198/21298",0.0317850829326615,0.339372994860299,0.31299513620813,"Grk3/Tmod1/Neb/Vcl/Tmod3/Hdac4",6
"GO:0005769","GO:0005769","early endosome","7/254","253/21298",0.0325748161931585,0.339372994860299,0.31299513620813,"Wdfy1/Ldlrad4/Cxcr4/Rapgef1/Wdr91/Nsg2/Mapk1",7
"GO:0016607","GO:0016607","nuclear speck","8/254","311/21298",0.0336220923700606,0.339372994860299,0.31299513620813,"Fto/Tcf12/Nrip1/Basp1/Nr3c1/Dusp11/Zfp217/Gadd45a",8
"GO:0031985","GO:0031985","Golgi cisterna","3/254","60/21298",0.034870756052688,0.341310733485401,0.314782263569719,"Xylt1/Nucb2/Nsg2",3
"GO:0000118","GO:0000118","histone deacetylase complex","3/254","61/21298",0.0363611722358271,0.342664484046201,0.316030793498696,"Nrip1/Zfp217/Hdac4",3
"GO:0002102","GO:0002102","podosome","2/254","26/21298",0.0381552689753309,0.342664484046201,0.316030793498696,"Actr2/Vcl",2
"GO:0030016","GO:0030016","myofibril","6/254","207/21298",0.0381917072001958,0.342664484046201,0.316030793498696,"Grk3/Tmod1/Neb/Vcl/Tmod3/Hdac4",6
