#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval0.3-log2fc0.5_up.bed
NR10918--MA0684.1.RUNX3	chr9	69174164	69174173	-	0.000	0.000	Merged-chr9-69174203-32
NR9360--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR9631--MA0511.2.RUNX2	chr7	65373500	65373508	+	0.000	0.000	Merged-chr7-65373607-20
NR10899--MA0684.1.RUNX3	chr9	66274930	66274939	+	0.000	0.000	Merged-chr9-66274857-15
NR10290--MA0002.2.RUNX1	chr8	64726328	64726338	-	0.000	0.000	Merged-chr8-64726365-32
NR10690--MA0684.1.RUNX3	chr9	14200216	14200225	+	0.000	0.000	Merged-chr9-14200294-59
NR1342--MA0684.1.RUNX3	chr10	95998151	95998160	+	0.000	0.000	Merged-chr10-95998321-17
NR9784--MA0002.2.RUNX1	chr7	99798453	99798463	+	0.000	0.000	Merged-chr7-99798520-10
NR6429--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR5553--MA0002.2.RUNX1	chr18	82493046	82493056	-	0.000	0.000	Merged-chr18-82492983-14
NR10465--MA0002.2.RUNX1	chr8	106292649	106292659	+	0.000	0.000	Merged-chr8-106292794-10
NR5682--MA0684.1.RUNX3	chr19	14805365	14805374	-	0.000	0.000	Merged-chr19-14805435-8
NR1673--MA0511.2.RUNX2	chr11	43767288	43767296	+	0.000	0.000	Merged-chr11-43767173-52
NR83--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR6015--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR5490--MA0511.2.RUNX2	chr18	75374182	75374190	-	0.000	0.000	Merged-chr18-75374196-25
NR3525--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR9022--MA0002.2.RUNX1	chr6	88757235	88757245	+	0.000	0.000	Merged-chr6-88757111-24
NR4951--MA0002.2.RUNX1	chr17	35423349	35423359	+	0.000	0.000	Merged-chr17-35423448-36
NR911--MA0511.2.RUNX2	chr10	5795439	5795447	-	0.000	0.000	Merged-chr10-5795457-7
NR7964--MA0511.2.RUNX2	chr4	149912636	149912644	-	0.000	0.000	Merged-chr4-149912693-20
NR9274--MA0002.2.RUNX1	chr6	134068866	134068876	-	0.000	0.000	Merged-chr6-134068734-14
NR8420--MA0002.2.RUNX1	chr5	111059038	111059048	+	0.000	0.000	Merged-chr5-111059205-94
NR10431--MA0002.2.RUNX1	chr8	94633718	94633728	+	0.000	0.000	Merged-chr8-94633712-19
NR5172--MA0684.1.RUNX3	chr17	84056421	84056430	+	0.000	0.000	Merged-chr17-84056540-29
NR4855--MA0002.2.RUNX1	chr17	21733926	21733936	-	0.000	0.000	Merged-chr17-21733799-41
NR5509--MA0684.1.RUNX3	chr18	79092884	79092893	-	0.000	0.000	Merged-chr18-79092831-54
