#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR1378--MA0690.1.TBX21	chr4	21842805	21842814	-	0.000	0.000	Merged-chr4-21842691-16
NR173--MA0690.1.TBX21	chr10	13468956	13468965	-	0.000	0.000	Merged-chr10-13469041-19
NR348--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR1932--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR2003--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR638--MA0690.1.TBX21	chr14	64628283	64628292	+	0.000	0.000	Merged-chr14-64628307-21
NR1268--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR262--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1579--MA0690.1.TBX21	chr5	146757450	146757459	+	0.000	0.000	Merged-chr5-146757539-9
NR1035--MA0690.1.TBX21	chr19	40665958	40665967	+	0.000	0.000	Merged-chr19-40666029-20
NR865--MA0690.1.TBX21	chr17	23748324	23748333	-	0.000	0.000	Merged-chr17-23748319-15
NR1136--MA0690.1.TBX21	chr2	73346543	73346552	+	0.000	0.000	Merged-chr2-73346607-35
NR1367--MA0690.1.TBX21	chr4	6476637	6476646	+	0.000	0.000	Merged-chr4-6476530-28
NR2071--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR2039--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR1034--MA0690.1.TBX21	chr19	40665903	40665912	-	0.000	0.000	Merged-chr19-40666029-20
NR11--MA0690.1.TBX21	chr1	39559170	39559179	+	0.000	0.000	Merged-chr1-39559167-24
NR593--MA0690.1.TBX21	chr13	108763504	108763513	+	0.000	0.000	Merged-chr13-108763497-25
NR69--MA0690.1.TBX21	chr1	97623660	97623669	-	0.000	0.000	Merged-chr1-97623545-45
NR758--MA0690.1.TBX21	chr15	93298520	93298529	-	0.000	0.000	Merged-chr15-93298411-30
NR349--MA0690.1.TBX21	chr11	83657676	83657685	+	0.000	0.000	Merged-chr11-83657668-22
NR1920--MA0690.1.TBX21	chr8	115070291	115070300	-	0.000	0.000	Merged-chr8-115070439-32
NR1532--MA0690.1.TBX21	chr5	107533901	107533910	-	0.000	0.000	Merged-chr5-107533890-8
