#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR2390--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR420--MA0508.2.PRDM1	chr11	96667233	96667242	+	0.000	0.000	Merged-chr11-96667069-36
NR433--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR1174--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1187--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR914--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR731--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR2441--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR2316--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR2154--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR253--MA0508.2.PRDM1	chr10	57799699	57799708	+	0.000	0.000	Merged-chr10-57799667-19
NR2125--MA0508.2.PRDM1	chr7	66210154	66210163	-	0.000	0.000	Merged-chr7-66210167-22
NR537--MA0508.2.PRDM1	chr12	102725355	102725364	+	0.000	0.000	Merged-chr12-102725313-9
NR1611--MA0508.2.PRDM1	chr4	16102103	16102112	-	0.000	0.000	Merged-chr4-16102324-55
NR229--MA0508.2.PRDM1	chr10	28516279	28516288	+	0.000	0.000	Merged-chr10-28516243-39
NR1271--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR2048--MA0508.2.PRDM1	chr6	130031881	130031890	+	0.000	0.000	Merged-chr6-130031811-45
NR1818--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR950--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR2490--MA0508.2.PRDM1	chrX	100504601	100504610	-	0.000	0.000	Merged-chrX-100504535-34
NR1444--MA0508.2.PRDM1	chr3	59260876	59260885	-	0.000	0.000	Merged-chr3-59260932-51
NR132--MA0508.2.PRDM1	chr1	155505876	155505885	-	0.000	0.000	Merged-chr1-155505844-22
NR982--MA0508.2.PRDM1	chr16	92654028	92654037	+	0.000	0.000	Merged-chr16-92654045-22
NR634--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR1157--MA0508.2.PRDM1	chr19	10747842	10747851	+	0.000	0.000	Merged-chr19-10747819-69
NR899--MA0508.2.PRDM1	chr15	97837525	97837534	+	0.000	0.000	Merged-chr15-97837692-8
NR1123--MA0508.2.PRDM1	chr18	67255666	67255675	-	0.000	0.000	Merged-chr18-67255745-40
NR714--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR1237--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR422--MA0508.2.PRDM1	chr11	97104325	97104334	+	0.000	0.000	Merged-chr11-97104187-33
NR2262--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR945--MA0508.2.PRDM1	chr16	44356491	44356500	+	0.000	0.000	Merged-chr16-44356525-24
NR164--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR2403--MA0508.2.PRDM1	chr9	69034361	69034370	+	0.000	0.000	Merged-chr9-69034461-64
NR1229--MA0508.2.PRDM1	chr2	25170433	25170442	-	0.000	0.000	Merged-chr2-25170502-21
NR2124--MA0508.2.PRDM1	chr7	66116180	66116189	-	0.000	0.000	Merged-chr7-66116161-49
NR244--MA0508.2.PRDM1	chr10	44821711	44821720	+	0.000	0.000	Merged-chr10-44821803-43
NR2068--MA0508.2.PRDM1	chr6	142823521	142823530	-	0.000	0.000	Merged-chr6-142823375-40
NR446--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR1161--MA0508.2.PRDM1	chr19	11513696	11513705	-	0.000	0.000	Merged-chr19-11513556-25
NR2047--MA0508.2.PRDM1	chr6	129817706	129817715	+	0.000	0.000	Merged-chr6-129817846-22
NR1900--MA0508.2.PRDM1	chr5	146882603	146882612	-	0.000	0.000	Merged-chr5-146882424-24
NR398--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR1342--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR933--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR511--MA0508.2.PRDM1	chr12	84762574	84762583	+	0.000	0.000	Merged-chr12-84762785-51
NR45--MA0508.2.PRDM1	chr1	60070965	60070974	+	0.000	0.000	Merged-chr1-60070874-17
NR1135--MA0508.2.PRDM1	chr18	79080252	79080261	-	0.000	0.000	Merged-chr18-79080001-30
NR604--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
NR1597--MA0508.2.PRDM1	chr4	6844285	6844294	+	0.000	0.000	Merged-chr4-6844197-28
NR447--MA0508.2.PRDM1	chr11	121083088	121083097	-	0.000	0.000	Merged-chr11-121083089-49
NR304--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR1058--MA0508.2.PRDM1	chr17	80174494	80174503	+	0.000	0.000	Merged-chr17-80174428-10
NR2463--MA0508.2.PRDM1	chr9	123935546	123935555	+	0.000	0.000	Merged-chr9-123935599-31
NR875--MA0508.2.PRDM1	chr15	80697716	80697725	+	0.000	0.000	Merged-chr15-80697819-49
NR2224--MA0508.2.PRDM1	chr7	140999490	140999499	-	0.000	0.000	Merged-chr7-140999347-54
