#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR2035--MA0731.1.BCL6B	chr9	65549845	65549861	+	0.000	0.000	Merged-chr9-65550028-15
NR264--MA0463.1.Bcl6	chr10	111446208	111446221	-	0.000	0.000	Merged-chr10-111446386-39
NR1165--MA0463.1.Bcl6	chr2	125866159	125866172	+	0.000	0.000	Merged-chr2-125866332-46
NR1071--MA0463.1.Bcl6	chr2	34982564	34982577	+	0.000	0.000	Merged-chr2-34982434-20
NR497--MA0463.1.Bcl6	chr12	113879261	113879274	+	0.000	0.000	Merged-chr12-113879117-17
NR1183--MA0463.1.Bcl6	chr2	144240369	144240382	-	0.000	0.000	Merged-chr2-144240355-14
NR394--MA0463.1.Bcl6	chr11	116377272	116377285	-	0.000	0.000	Merged-chr11-116377399-54
NR148--MA0463.1.Bcl6	chr1	172376806	172376819	-	0.000	0.000	Merged-chr1-172376760-99
NR824--MA0463.1.Bcl6	chr16	59564127	59564140	+	0.000	0.000	Merged-chr16-59564268-14
NR1284--MA0731.1.BCL6B	chr3	95028839	95028855	+	0.000	0.000	Merged-chr3-95028827-26
NR2027--MA0463.1.Bcl6	chr9	62344858	62344871	-	0.000	0.000	Merged-chr9-62344675-54
NR954--MA0463.1.Bcl6	chr18	32880600	32880613	-	0.000	0.000	Merged-chr18-32880667-46
NR399--MA0463.1.Bcl6	chr11	118035409	118035422	+	0.000	0.000	Merged-chr11-118035350-21
NR1425--MA0731.1.BCL6B	chr4	81086682	81086698	-	0.000	0.000	Merged-chr4-81086583-2
NR184--MA0463.1.Bcl6	chr1	191894628	191894641	+	0.000	0.000	Merged-chr1-191894782-39
NR992--MA0731.1.BCL6B	chr18	74789488	74789504	+	0.000	0.000	Merged-chr18-74789604-25
NR1752--MA0463.1.Bcl6	chr6	144962130	144962143	+	0.000	0.000	Merged-chr6-144962023-22
NR1506--MA0463.1.Bcl6	chr4	150799032	150799045	-	0.000	0.000	Merged-chr4-150799073-80
NR1985--MA0463.1.Bcl6	chr8	125671540	125671553	-	0.000	0.000	Merged-chr8-125671496-12
NR1627--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR1430--MA0463.1.Bcl6	chr4	88179521	88179534	+	0.000	0.000	Merged-chr4-88179548-21
NR1799--MA0731.1.BCL6B	chr7	67308327	67308343	-	0.000	0.000	Merged-chr7-67308311-16
