"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Merged-chr10-100696169-14",2.44193852069865,-4.52020057853102,1.37955069457178,-3.27657446465503,0.00105074600987426,0.0427741869074084
"Merged-chr10-110952029-21",3.47022428321849,-3.12158765554445,0.865980100334247,-3.60468751457405,0.000312528734206957,0.0214713802683312
"Merged-chr10-111222847-1",2.39674137441873,-2.2769215093799,1.00972162206745,-2.25499925882325,0.0241333753047273,0.25087496635778
"Merged-chr10-111223319-26",3.46599280571947,-1.73137711187688,0.800831509193234,-2.16197426300208,0.030620160051517,0.283967404580508
"Merged-chr10-111226760-41",3.58440284040802,-1.74690864837072,0.776798728641425,-2.24885621456405,0.0245216455047488,0.253351621041859
"Merged-chr10-111562842-26",4.04146488830615,-2.15485792907869,0.880940002222418,-2.44608931782239,0.0144415219124632,0.188510301656897
"Merged-chr10-111576182-36",13.0215095971396,-1.10867150363542,0.360934159084902,-3.07167242481649,0.0021286318444373,0.0633028603647417
"Merged-chr10-111622563-9",1.18297539685699,-3.80833670887786,1.87425258868873,-2.03192287520982,0.0421614643442112,NA
"Merged-chr10-111719810-23",5.14814346900965,-2.5814227958498,0.671849958715271,-3.84226085357817,0.00012190617312992,0.0122493475422734
"Merged-chr10-111924366-28",8.1394801296509,-2.81014929118715,0.601164692293987,-4.67450821248981,2.94658845359242e-06,0.00131843463362408
"Merged-chr10-112278323-19",4.91794783199613,-3.0971239309181,0.829424131598723,-3.73406537491062,0.000188413552763867,0.0158579387471724
"Merged-chr10-11229693-10",1.75420587915035,-4.85785522147748,1.49151789941101,-3.25698754496732,0.00112601373607092,0.044522617142786
"Merged-chr10-115381729-5",6.08418856710952,-2.51566385378618,0.625937096490773,-4.01903620649724,5.84366913648761e-05,0.00832725438239314
"Merged-chr10-116914032-56",10.5332680538421,-0.919867323570801,0.418086938701686,-2.20018192012247,0.0277939905250377,0.270386616402113
"Merged-chr10-116934026-2",1.56591193567367,-3.52444378409416,1.62737266394852,-2.16572630361306,0.0303321077929958,NA
"Merged-chr10-116935056-24",2.06663776573129,-3.70574298312741,1.40287431062783,-2.64153599153795,0.00825310377571682,0.136081334098441
"Merged-chr10-117109706-5",2.85627665796297,-2.03582180333802,0.890136119840289,-2.28709043253216,0.0221905452128798,0.240866106663792
"Merged-chr10-117111602-47",1.84207994979,-3.37291206973383,1.43560524898874,-2.34947042169827,0.0188001377399206,0.218858352417741
"Merged-chr10-117118585-40",7.90392498359313,-1.38167907680804,0.48192265770234,-2.86701414578735,0.0041436449110475,0.0913364019950516
"Merged-chr10-117678465-4",1.87104678387973,-3.04226025614451,1.50188359282213,-2.02562986284969,0.0428027289406825,0.34267711619111
"Merged-chr10-118057722-24",3.13614561438531,-4.32337802294205,1.29238003245768,-3.34528382856582,0.00082198406828826,0.0375167288221087
"Merged-chr10-118090052-13",1.37472974866837,-3.67899374749028,1.78225635809765,-2.06423376231755,0.0389955578200908,NA
"Merged-chr10-118166257-15",7.25576747838596,-3.76252160091189,0.904502792290048,-4.15976781164581,3.18571282648983e-05,0.00573110832232197
"Merged-chr10-118194882-1",2.92221974558344,-3.04750361851568,1.19767512183764,-2.5445160903399,0.0109429270011822,0.159729941433311
"Merged-chr10-118195259-48",6.52891727898993,-1.7144648376959,0.553313610869219,-3.09854087088621,0.00194476143844143,0.0601715165861982
"Merged-chr10-118302448-26",1.84124868942737,-2.66218475517811,1.31643349482058,-2.02227060132723,0.0431484040266896,0.344181334633739
"Merged-chr10-118310957-20",3.04881894868403,-1.6919872801803,0.756595153768404,-2.23631789306732,0.0253309551918342,0.257320027161721
"Merged-chr10-118714396-52",7.7040624872835,-1.35394078485821,0.480801248079648,-2.81600929753394,0.0048624259478782,0.100751830558872
"Merged-chr10-120197275-31",10.036417144931,-1.2077619151033,0.42198159950604,-2.86211985668824,0.00420817735481005,0.0922152753041694
"Merged-chr10-120625660-31",4.03184843171482,-1.86416124916713,0.834428606405706,-2.2340572157479,0.0254793086330144,0.258001409332096
"Merged-chr10-121282719-28",4.00124569513717,-1.54619316677286,0.734480476169889,-2.10515216801381,0.0352780643715079,0.306784376729702
"Merged-chr10-121300859-24",6.44450319699342,-2.17813722146188,0.551825522928261,-3.94714838469883,7.90875444509857e-05,0.00966407539117123
"Merged-chr10-121506841-15",12.240650698258,-0.899195914344562,0.382509284112541,-2.35078193312559,0.0187340093629032,0.218331283205108
"Merged-chr10-121625247-1",4.98663592301632,-1.26428878622449,0.599334168844163,-2.10948891611289,0.0349024017450607,0.30581677570679
"Merged-chr10-121836919-31",2.9264359587807,-1.91276668105704,0.876909904277057,-2.1812579282406,0.0291643443488361,0.276892018680798
"Merged-chr10-121886918-55",16.1859467891577,-1.25976446345322,0.323735998594677,-3.89133265661463,9.96951374533619e-05,0.0110575002983495
"Merged-chr10-122194311-33",2.1664742628394,-2.44533988121103,1.11152394712263,-2.19998848206664,0.0278077122253439,0.270386616402113
"Merged-chr10-122200080-48",3.17630571785756,-1.733189584636,0.853014983205956,-2.0318395558798,0.0421699012749555,0.340474475886057
"Merged-chr10-122604110-13",3.06246269721338,-3.85718568733052,1.14842067874813,-3.3586870723498,0.000783136943600373,0.0363135537063093
"Merged-chr10-122742317-12",3.02901778829645,-1.93173217746936,0.932494250884206,-2.07157542862882,0.038305053374579,0.321474344674531
"Merged-chr10-122765038-7",1.32867707602292,-4.2118389634479,1.75351404892843,-2.40194195536771,0.0163082959222223,NA
"Merged-chr10-122777454-20",2.11202853912577,-3.02581564211283,1.25332855187129,-2.41422381832372,0.0157687725475218,0.198392456533361
"Merged-chr10-128134159-12",1.93437943196019,-3.70662784977585,1.43236908592936,-2.58776029599305,0.00966021782262497,0.148566998599365
"Merged-chr10-128135587-20",2.34414247288989,-3.04648994898733,1.22309204083987,-2.49081005129864,0.0127452237971198,0.175400949264726
"Merged-chr10-12821526-15",3.31511046941369,-1.85191859311378,0.858654734540813,-2.15676746265673,0.0310237875149351,0.286239400445691
"Merged-chr10-128439055-30",5.31307614367701,-2.18599602422716,0.683205268236132,-3.19961821996904,0.00137609738275959,0.0496415888878272
"Merged-chr10-128940717-41",10.1058908112532,-0.842668001376146,0.357674958211758,-2.35596029867222,0.0184748921114815,0.216661979598605
"Merged-chr10-12974738-28",4.24229945316988,-2.28666806064029,0.769655436873992,-2.97102826938733,0.00296804458673794,0.0754131375063954
"Merged-chr10-130330917-51",8.20125450823799,-1.08792166016384,0.479577523585952,-2.26850009989856,0.0232987429274116,0.246644712089234
"Merged-chr10-130342103-20",3.88481430245248,-1.58242644673501,0.710693592061385,-2.22659450487677,0.0259743865523382,0.260794996241169
"Merged-chr10-13060225-45",8.90758469062901,-1.72575291465936,0.441065906512329,-3.91268717254871,9.12747423451849e-05,0.0105715133551168
"Merged-chr10-13062544-9",1.84397766350697,-2.66028067923708,1.33262616795766,-1.99626927881369,0.045904620109712,0.356128151654347
"Merged-chr10-13385143-7",1.97407789587585,-3.21479859677811,1.47862256355872,-2.17418472841426,0.0296912648078777,0.279562482726116
"Merged-chr10-13467057-15",1.59003771458168,-3.55820176723063,1.63927226484892,-2.17059840731128,0.0299615425952232,0.280284891079665
"Merged-chr10-13469041-19",2.9509679566056,-2.93579871203036,1.01102859349414,-2.90377416714217,0.00368693999803116,0.0851787272007631
"Merged-chr10-14097983-8",2.12596409893523,-4.29037372623249,1.42115060467066,-3.0189437432824,0.00253657628456336,0.0691986998818011
"Merged-chr10-16601020-18",3.36576604359954,-2.84565478664674,0.889144543068331,-3.20044115305114,0.00137217386437447,0.0496095814736656
"Merged-chr10-17347947-12",2.17432316973082,-4.64667813271667,1.4071286330619,-3.30224119070446,0.000959155562711605,0.0408898638953707
"Merged-chr10-17539427-37",4.67737392522737,-1.22083332048435,0.585275574753901,-2.08591195864903,0.036986598838961,0.315498984381591
"Merged-chr10-17629235-3",3.62409560479596,-3.75901992237026,1.14829961427516,-3.27355323962471,0.00106204381416077,0.0430333248569123
"Merged-chr10-17653383-10",1.53774119157668,-4.75033709695486,1.67562816770842,-2.83495896553911,0.00458315721156571,NA
"Merged-chr10-17880349-11",1.92472329065491,-3.42153779799789,1.43647221138514,-2.38190322853418,0.0172234228884816,0.208092179006439
"Merged-chr10-17920210-30",5.60035596199835,-3.62367623138189,0.914680017335608,-3.96168732529806,7.44219597534848e-05,0.00940689162034585
"Merged-chr10-18469759-32",3.44107656300808,-2.55370627256476,0.99292853739212,-2.57189332000866,0.010114405291049,0.15246162723631
"Merged-chr10-18527514-28",1.71468925515388,-4.20605787170484,1.55023598535062,-2.71317264690741,0.00666423758880322,0.121138715976194
"Merged-chr10-19127789-28",1.65531333455237,-3.52017981171309,1.60565854020602,-2.19235891291147,0.0283536009319214,0.273150882106903
"Merged-chr10-20077447-16",3.69469035886232,-5.58679465226661,1.27361693506943,-4.38655807600585,1.15158427488153e-05,0.00317127380614033
"Merged-chr10-20104372-1",2.15191310297452,-4.20752618769591,1.47083495688169,-2.86063787647274,0.0042278966824239,0.0925698951156728
"Merged-chr10-20673977-15",2.03507980497399,-3.21730010959168,1.43905372488026,-2.23570534856812,0.0253710784558938,0.257403358186918
