"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr15",101135444,101135688,245,"*","Merged-chr15-101135569-5","Exon (uc007xsm.2/11482, exon 4 of 11)",15,101128522,101145336,16815,1,"11482","uc007xsq.2",6922,"ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1"
"2","chr6",65818205,65818829,625,"*","Merged-chr6-65818480-32","Intron (uc009cej.1/70779, intron 2 of 2)",6,65778962,65936377,157416,1,"70779","uc012emx.1",39243,"ENSMUSG00000029913","Prdm5","PR domain containing 5"
"3","chr13",5313094,5313671,578,"*","Merged-chr13-5313405-28","Distal Intergenic",13,5855509,5858092,2584,2,"71867","uc007pjv.1",544421,"ENSMUSG00000100625","1700016G22Rik","RIKEN cDNA 1700016G22 gene"
"4","chr16",45942157,45942650,494,"*","Merged-chr16-45942365-39","Promoter (2-3kb)",16,45945606,45957292,11687,1,"100503378","uc007zjd.1",-2956,"ENSMUSG00000085826","Gm15638","predicted gene 15638"
"5","chr7",28808916,28809598,683,"*","Merged-chr7-28809284-68","Promoter (1-2kb)",7,28810890,28822266,11377,1,"15388","uc009fzz.2",-1292,"ENSMUSG00000015165","Hnrnpl","heterogeneous nuclear ribonucleoprotein L"
"6","chr2",178664601,178665336,736,"*","Merged-chr2-178664985-9","Distal Intergenic",2,178430515,178487366,56852,1,"381409","uc008ohs.2",234086,"ENSMUSG00000039155","Cdh26","cadherin-like 26"
"7","chr10",100701688,100702341,654,"*","Merged-chr10-100702034-18","Distal Intergenic",10,100592386,100618391,26006,1,"66605","uc007gxz.1",109302,"ENSMUSG00000056912","1700017N19Rik","RIKEN cDNA 1700017N19 gene"
"8","chr15",10236800,10237183,384,"*","Merged-chr15-10236967-13","Intron (uc007vfs.2/19116, intron 1 of 4)",15,10223906,10349180,125275,1,"19116","uc007vfx.2",12894,"ENSMUSG00000005268","Prlr","prolactin receptor"
"9","chr5",71903261,71903874,614,"*","Merged-chr5-71903621-28","Intron (uc008xrb.1/14400, intron 4 of 8)",5,71700016,72137244,437229,1,"14400","uc008xrb.1",203245,"ENSMUSG00000029212","Gabrb1","gamma-aminobutyric acid (GABA) A receptor, subunit beta 1"
"10","chr7",24445455,24445987,533,"*","Merged-chr7-24445764-20","Promoter (<=1kb)",7,24431926,24445682,13757,2,"210145","uc009fpp.1",0,"ENSMUSG00000062028","Irgc1","immunity-related GTPase family, cinema 1"
"11","chr6",82872124,82872675,552,"*","Merged-chr6-82872396-48","Distal Intergenic",6,82877866,82881853,3988,2,"69652","uc009clm.1",9178,"ENSMUSG00000100291","2310069B03Rik","RIKEN cDNA 2310069B03 gene"
"12","chr14",121696461,121696659,199,"*","Merged-chr14-121696559-1","Promoter (1-2kb)",14,121542039,121698417,156379,2,"105445","uc007vah.2",1758,"ENSMUSG00000025558","Dock9","dedicator of cytokinesis 9"
"13","chr1",160308868,160309495,628,"*","Merged-chr1-160309184-36","Promoter (<=1kb)",1,160256572,160309115,52544,2,"29809","uc007dei.2",0,"ENSMUSG00000026721","Rabgap1l","RAB GTPase activating protein 1-like"
"14","chr13",73748830,73749347,518,"*","Merged-chr13-73749081-72","Intron (uc007rea.1/20499, intron 1 of 10)",13,73763697,73812358,48662,1,"20499","uc007reb.1",-14350,"ENSMUSG00000017756","Slc12a7","solute carrier family 12, member 7"
"15","chr7",120851481,120852211,731,"*","Merged-chr7-120851847-38","Promoter (<=1kb)",7,120851189,120907219,56031,1,"13631","uc009jnd.2",292,"ENSMUSG00000035064","Eef2k","eukaryotic elongation factor-2 kinase"
"16","chr3",37605711,37606231,521,"*","Merged-chr3-37605967-27","Promoter (3-4kb)",3,37609891,37615276,5386,1,"75947","uc056zru.1",-3660,"ENSMUSG00000085677","4930594O21Rik","RIKEN cDNA 4930594O21 gene"
"17","chr11",99163002,99163593,592,"*","Merged-chr11-99163230-42","Distal Intergenic",11,99144199,99155077,10879,2,"12775","uc056yok.1",-7925,"ENSMUSG00000037944","Ccr7","chemokine (C-C motif) receptor 7"
"18","chr16",23224607,23225710,1104,"*","Merged-chr16-23225194-112","Promoter (<=1kb)",16,23224740,23360350,135611,1,"20440","uc007yto.2",0,"ENSMUSG00000022885","St6gal1","beta galactoside alpha 2,6 sialyltransferase 1"
"19","chr16",23174905,23175395,491,"*","Merged-chr16-23175130-44","Promoter (<=1kb)",16,23175280,23204376,29097,1,"105246089","uc007ytl.1",0,NA,"C730014E05Rik","RIKEN cDNA C730014E05 gene"
"20","chr14",121696761,121697277,517,"*","Merged-chr14-121697013-30","Promoter (1-2kb)",14,121542039,121698417,156379,2,"105445","uc007vah.2",1140,"ENSMUSG00000025558","Dock9","dedicator of cytokinesis 9"
"21","chr10",99116888,99117356,469,"*","Merged-chr10-99117161-34","Intron (uc007gxh.1/382406, intron 2 of 11)",10,99108135,99113247,5113,1,"14426","uc007gxj.2",8753,"ENSMUSG00000090035","Galnt4","polypeptide N-acetylgalactosaminyltransferase 4"
"22","chr10",95178841,95179337,497,"*","Merged-chr10-95179066-28","Intron (uc007gwa.1/12905, intron 1 of 1)",10,95120582,95145825,25244,2,"628062","uc056yhz.1",-33016,"ENSMUSG00000112481","Gm29684","predicted gene, 29684"
"23","chr3",130901371,130901795,425,"*","Merged-chr3-130901613-29","Distal Intergenic",3,130726827,130730398,3572,2,"68436","uc008rje.3",-170973,"ENSMUSG00000062006","Rpl34","ribosomal protein L34"
"24","chr8",25611830,25612516,687,"*","Merged-chr8-25612082-39","Intron (uc057cbr.1/234135, intron 1 of 9)",8,25602284,25677972,75689,1,"234135","uc009lgm.2",9546,"ENSMUSG00000054823","Nsd3","nuclear receptor binding SET domain protein 3"
"25","chr2",128319040,128319474,435,"*","Merged-chr2-128319231-32","Intron (uc008mgo.2/100043424, intron 2 of 2)",2,128298663,128429351,130689,2,"100043424","uc008mgo.2",109877,NA,"Gm14005","predicted gene 14005"
"26","chr10",18407198,18407783,586,"*","Merged-chr10-18407539-30","Promoter (<=1kb)",10,18407638,18421140,13503,1,"215819","uc007emg.1",0,"ENSMUSG00000039835","Nhsl1","NHS-like 1"
"27","chr16",94254526,94254910,385,"*","Merged-chr16-94254694-8","Intron (uc008aag.1/110948, intron 4 of 9)",16,94129306,94287926,158621,2,"110948","uc008aag.1",33016,"ENSMUSG00000040820","Hlcs","holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)"
"28","chr6",71154911,71155318,408,"*","Merged-chr6-71155122-4","Distal Intergenic",6,71128166,71144380,16215,2,"232078","uc009cgg.2",-10531,"ENSMUSG00000054474","Thnsl2","threonine synthase-like 2 (bacterial)"
"29","chr4",11156686,11157062,377,"*","Merged-chr4-11156857-34","Promoter (<=1kb)",4,11156441,11174377,17937,1,"60599","uc008rzb.1",245,"ENSMUSG00000028211","Trp53inp1","transformation related protein 53 inducible nuclear protein 1"
"30","chr11",70005549,70006055,507,"*","Merged-chr11-70005839-25","Promoter (4-5kb)",11,70000626,70012301,11676,1,"13543","uc007jtn.1",4923,"ENSMUSG00000020888","Dvl2","dishevelled segment polarity protein 2"
"31","chr12",88437244,88437803,560,"*","Merged-chr12-88437518-14","Intron (uc007oju.2/72113, intron 5 of 10)",12,88365314,88377323,12010,2,"71818","uc029rul.1",-59921,"ENSMUSG00000113434","3200001D21Rik","RIKEN cDNA 3200001D21 gene"
"32","chr14",121552658,121553035,378,"*","Merged-chr14-121552858-6","Intron (uc007vai.1/105445, intron 14 of 17)",14,121542039,121592444,50406,2,"105445","uc007vai.1",39409,"ENSMUSG00000025558","Dock9","dedicator of cytokinesis 9"
"33","chr6",71920779,71921139,361,"*","Merged-chr6-71920942-9","3' UTR",6,71912392,71955150,42759,1,"20019","uc009chw.1",8387,"ENSMUSG00000049553","Polr1a","polymerase (RNA) I polypeptide A"
"34","chr14",64378099,64378649,551,"*","Merged-chr14-64378317-14","Intron (uc007uig.2/110265, intron 1 of 5)",14,64122621,64416956,294336,2,"110265","uc007uig.2",38307,"ENSMUSG00000054733","Msra","methionine sulfoxide reductase A"
"35","chr13",8870166,8870364,199,"*","Merged-chr13-8870264-1","Promoter (<=1kb)",13,8850479,8870735,20257,2,"207615","uc007pkk.1",371,"ENSMUSG00000021147","Wdr37","WD repeat domain 37"
"36","chr10",80618197,80618557,361,"*","Merged-chr10-80618406-31","Promoter (4-5kb)",10,80622780,80640771,17992,1,"103236","uc007gea.2",-4223,"ENSMUSG00000003345","Csnk1g2","casein kinase 1, gamma 2"
"37","chr9",41140998,41141486,489,"*","Merged-chr9-41141262-26","Intron (uc009pag.1/72828, intron 1 of 13)",9,41013641,41157494,143854,2,"72828","uc009pag.1",16008,"ENSMUSG00000032020","Ubash3b","ubiquitin associated and SH3 domain containing, B"
"38","chr8",72320018,72320399,382,"*","Merged-chr8-72320202-6","Promoter (<=1kb)",8,72319062,72321654,2593,1,"16598","uc009mfq.2",956,"ENSMUSG00000055148","Klf2","Kruppel-like factor 2 (lung)"
"39","chr2",113829041,113829239,199,"*","Merged-chr2-113829139-1","Promoter (<=1kb)",2,113776313,113829091,52779,2,"20394","uc008lpq.1",0,"ENSMUSG00000023236","Scg5","secretogranin V"
"40","chr18",56469014,56469689,676,"*","Merged-chr18-56469309-53","Promoter (<=1kb)",18,56469267,56492330,23064,1,"107022","uc008eym.1",0,"ENSMUSG00000001700","Gramd3","GRAM domain containing 3"
