#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR5837--MA0501.1.MAF::NFE2	chr17	31789323	31789337	+	0.000	0.000	Merged-chr17-31789470-34
NR8354--MA0591.1.Bach1::Mafk	chr3	61345900	61345914	+	0.000	0.000	Merged-chr3-61345898-20
NR898--MA0117.2.Mafb	chr1	165828817	165828828	-	0.000	0.000	Merged-chr1-165828679-59
NR13241--MA0089.1.MAFG::NFE2L1	chr9	80332504	80332509	+	0.000	0.000	Merged-chr9-80332405-28
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR2835--MA0089.1.MAFG::NFE2L1	chr12	77535137	77535142	-	0.000	0.000	Merged-chr12-77535328-6
NR8737--MA0495.2.MAFF	chr3	121593326	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR7828--MA0501.1.MAF::NFE2	chr2	158723942	158723956	-	0.000	0.000	Merged-chr2-158724013-3
NR1981--MA0089.1.MAFG::NFE2L1	chr10	121474179	121474184	-	0.000	0.000	Merged-chr10-121474163-48
NR7404--MA0089.1.MAFG::NFE2L1	chr2	85047883	85047888	-	0.000	0.000	Merged-chr2-85048071-98
NR1262--MA0659.1.MAFG	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR11716--MA0501.1.MAF::NFE2	chr7	16314093	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR9658--MA0501.1.MAF::NFE2	chr4	117202283	117202297	+	0.000	0.000	Merged-chr4-117202479-67
NR12210--MA0495.2.MAFF	chr7	112369096	112369116	+	0.000	0.000	Merged-chr7-112369142-36
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR2102--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR13062--MA0496.2.MAFK	chr9	21526303	21526321	+	0.000	0.000	Merged-chr9-21526182-42
NR5711--MA0501.1.MAF::NFE2	chr17	12301061	12301075	-	0.000	0.000	Merged-chr17-12301160-36
NR529--MA0496.2.MAFK	chr1	95263049	95263067	-	0.000	0.000	Merged-chr1-95263160-5
NR9679--MA0089.1.MAFG::NFE2L1	chr4	121016847	121016852	-	0.000	0.000	Merged-chr4-121016870-126
NR12916--MA0089.1.MAFG::NFE2L1	chr8	116439098	116439103	+	0.000	0.000	Merged-chr8-116439156-33
NR13469--MA0089.1.MAFG::NFE2L1	chr9	115481296	115481301	-	0.000	0.000	Merged-chr9-115481366-14
NR1141--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR267--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR13178--MA0501.1.MAF::NFE2	chr9	63602416	63602430	+	0.000	0.000	Merged-chr9-63602538-63
NR8627--MA0117.2.Mafb	chr3	103927761	103927772	-	0.000	0.000	Merged-chr3-103927636-31
NR2820--MA0089.1.MAFG::NFE2L1	chr12	70999533	70999538	+	0.000	0.000	Merged-chr12-70999631-61
NR13144--MA0591.1.Bach1::Mafk	chr9	49489131	49489145	+	0.000	0.000	Merged-chr9-49489147-43
NR5181--MA0495.2.MAFF	chr16	14237421	14237441	-	0.000	0.000	Merged-chr16-14237452-27
NR6365--MA0495.2.MAFF	chr18	39068273	39068293	+	0.000	0.000	Merged-chr18-39068377-42
NR9751--MA0495.2.MAFF	chr4	142153734	142153754	+	0.000	0.000	Merged-chr4-142153700-30
NR2317--MA0591.1.Bach1::Mafk	chr11	74838655	74838669	+	0.000	0.000	Merged-chr11-74838839-1
NR5823--MA0117.2.Mafb	chr17	29171515	29171526	+	0.000	0.000	Merged-chr17-29171353-19
NR1591--MA0496.2.MAFK	chr10	67512299	67512317	+	0.000	0.000	Merged-chr10-67512381-13
NR6698--MA0117.2.Mafb	chr18	86601872	86601883	+	0.000	0.000	Merged-chr18-86601765-23
