#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1211--MA0690.1.TBX21	chr2	44343283	44343292	-	0.000	0.000	Merged-chr2-44343176-13
NR1965--MA0690.1.TBX21	chr7	16891759	16891768	-	0.000	0.000	Merged-chr7-16891959-60
NR1556--MA0690.1.TBX21	chr4	82365285	82365294	+	0.000	0.000	Merged-chr4-82365199-20
NR993--MA0690.1.TBX21	chr17	49435194	49435203	+	0.000	0.000	Merged-chr17-49435295-16
NR1190--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR704--MA0690.1.TBX21	chr14	40927171	40927180	-	0.000	0.000	Merged-chr14-40927194-29
NR2252--MA0690.1.TBX21	chr9	55285443	55285452	-	0.000	0.000	Merged-chr9-55285466-14
NR4--MA0690.1.TBX21	chr1	7454984	7454993	-	0.000	0.000	Merged-chr1-7455103-17
NR2271--MA0690.1.TBX21	chr9	66280542	66280551	+	0.000	0.000	Merged-chr9-66280621-39
NR967--MA0690.1.TBX21	chr17	26610526	26610535	-	0.000	0.000	Merged-chr17-26610479-9
NR1210--MA0690.1.TBX21	chr2	37565986	37565995	-	0.000	0.000	Merged-chr2-37565860-32
NR1680--MA0690.1.TBX21	chr5	64477759	64477768	-	0.000	0.000	Merged-chr5-64477846-11
NR1563--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR2149--MA0690.1.TBX21	chr8	83758531	83758540	-	0.000	0.000	Merged-chr8-83758454-33
NR1879--MA0690.1.TBX21	chr6	108780325	108780334	+	0.000	0.000	Merged-chr6-108780216-16
NR432--MA0690.1.TBX21	chr11	97130628	97130637	+	0.000	0.000	Merged-chr11-97130741-21
NR703--MA0690.1.TBX21	chr14	40927137	40927146	-	0.000	0.000	Merged-chr14-40927194-29
NR54--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR873--MA0690.1.TBX21	chr16	10814998	10815007	+	0.000	0.000	Merged-chr16-10815093-30
NR342--MA0690.1.TBX21	chr10	127333174	127333183	+	0.000	0.000	Merged-chr10-127333272-8
NR613--MA0690.1.TBX21	chr13	81705651	81705660	+	0.000	0.000	Merged-chr13-81705633-6
NR1189--MA0690.1.TBX21	chr2	25148061	25148070	-	0.000	0.000	Merged-chr2-25148103-14
NR483--MA0690.1.TBX21	chr12	21476759	21476768	+	0.000	0.000	Merged-chr12-21476619-15
NR249--MA0690.1.TBX21	chr10	39462220	39462229	+	0.000	0.000	Merged-chr10-39462164-7
NR1408--MA0690.1.TBX21	chr3	79210486	79210495	+	0.000	0.000	Merged-chr3-79210417-27
NR1209--MA0690.1.TBX21	chr2	35690019	35690028	-	0.000	0.000	Merged-chr2-35690128-14
NR1807--MA0690.1.TBX21	chr6	8641152	8641161	-	0.000	0.000	Merged-chr6-8641126-10
NR830--MA0690.1.TBX21	chr15	77801371	77801380	+	0.000	0.000	Merged-chr15-77801397-5
NR1345--MA0690.1.TBX21	chr2	164878758	164878767	-	0.000	0.000	Merged-chr2-164878801-14
NR739--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR652--MA0690.1.TBX21	chr13	107534126	107534135	-	0.000	0.000	Merged-chr13-107534013-23
NR251--MA0690.1.TBX21	chr10	39625408	39625417	-	0.000	0.000	Merged-chr10-39625592-31
NR1188--MA0690.1.TBX21	chr2	25148032	25148041	-	0.000	0.000	Merged-chr2-25148103-14
NR875--MA0690.1.TBX21	chr16	13796909	13796918	+	0.000	0.000	Merged-chr16-13796850-44
NR1601--MA0690.1.TBX21	chr4	129365427	129365436	+	0.000	0.000	Merged-chr4-129365384-41
NR2293--MA0690.1.TBX21	chr9	94610711	94610720	+	0.000	0.000	Merged-chr9-94610795-11
NR1941--MA0690.1.TBX21	chr6	144674077	144674086	+	0.000	0.000	Merged-chr6-144674015-36
NR349--MA0690.1.TBX21	chr11	5296735	5296744	+	0.000	0.000	Merged-chr11-5296760-21
NR206--MA0690.1.TBX21	chr1	194985980	194985989	+	0.000	0.000	Merged-chr1-194986119-7
NR296--MA0690.1.TBX21	chr10	93126269	93126278	+	0.000	0.000	Merged-chr10-93126298-4
