#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR40832--MA0599.1.KLF5	chr4	136147908	136147917	+	0.000	0.000	Merged-chr4-136147968-56
NR20985--MA1107.1.KLF9	chr15	100038733	100038745	-	0.000	0.000	Merged-chr15-100038868-69
NR4400--MA0741.1.KLF16	chr10	8505923	8505933	-	0.000	0.000	Merged-chr10-8506114-87
NR11804--MA0599.1.KLF5	chr11	118000673	118000682	-	0.000	0.000	Merged-chr11-118000770-19
NR53791--MA0493.1.Klf1	chr7	143501162	143501172	+	0.000	0.000	Merged-chr7-143501142-12
NR28107--MA0599.1.KLF5	chr19	6992527	6992536	+	0.000	0.000	Merged-chr19-6992689-50
NR24461--MA0741.1.KLF16	chr17	36844393	36844403	-	0.000	0.000	Merged-chr17-36844405-20
NR55967--MA0599.1.KLF5	chr8	106017386	106017395	-	0.000	0.000	Merged-chr8-106017356-24
NR10811--MA0039.3.KLF4	chr11	101465664	101465674	+	0.000	0.000	Merged-chr11-101465784-70
NR44487--MA0742.1.Klf12	chr5	121593639	121593653	-	0.000	0.000	Merged-chr5-121593794-58
NR22781--MA0741.1.KLF16	chr16	91061612	91061622	+	0.000	0.000	Merged-chr16-91061778-38
NR7425--MA0740.1.KLF14	chr10	121781429	121781442	-	0.000	0.000	Merged-chr10-121781382-29
NR32507--MA0599.1.KLF5	chr2	122369209	122369218	-	0.000	0.000	Merged-chr2-122369135-71
NR4551--MA0599.1.KLF5	chr10	17948133	17948142	+	0.000	0.000	Merged-chr10-17948244-7
NR13531--MA0493.1.Klf1	chr12	101958243	101958253	+	0.000	0.000	Merged-chr12-101958185-60
NR6807--MA0599.1.KLF5	chr10	98915095	98915104	-	0.000	0.000	Merged-chr10-98915118-5
NR24527--MA0741.1.KLF16	chr17	44536469	44536479	-	0.000	0.000	Merged-chr17-44536693-17
NR39542--MA0742.1.Klf12	chr4	107879687	107879701	-	0.000	0.000	Merged-chr4-107879747-57
