"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Merged-chr10-10307543-35",6.7140629570112,-1.14180143843824,0.465704658983156,-2.45177156039476,0.0142154876762725,0.32026428933214
"Merged-chr10-107946593-22",4.63577372615993,-1.31993931789881,0.653384444252852,-2.02015724357835,0.0433670796966766,0.575964557418056
"Merged-chr10-111562842-26",4.04146488830615,-2.76242149074998,0.761000139779451,-3.6299881515798,0.000283434229903608,0.0276103803248418
"Merged-chr10-111571158-21",5.43733361158765,-1.06638796775705,0.494198887718557,-2.15781134733017,0.030942502285434,0.486530105013975
"Merged-chr10-117398373-42",7.24617963756046,-1.364032375501,0.487047180710256,-2.80061651011273,0.00510050916865082,0.171288981909882
"Merged-chr10-117859986-12",3.64180779324323,-2.07609994520318,0.996322124335984,-2.0837637692597,0.0371816604481382,0.53402143618891
"Merged-chr10-117925903-63",7.20673673295453,-0.938003637542779,0.428145002039905,-2.19085504460789,0.0284622838210088,0.4650265474555
"Merged-chr10-117970017-9",3.89778339544813,-2.68707834275452,0.715923930391029,-3.75330147336586,0.000174520756777801,0.0203144132875312
"Merged-chr10-118050458-52",9.00251083720597,-0.820517384455394,0.407525048720469,-2.01341583058912,0.0440709015761397,0.581487534532953
"Merged-chr10-118096400-51",6.8361039378043,-0.910779681526961,0.449972892658997,-2.0240767752585,0.0429622528320138,0.573470226820849
"Merged-chr10-118446344-23",4.1218356531801,-1.16789920988785,0.586484425164078,-1.99135588223185,0.046441775858193,0.599148345652066
"Merged-chr10-118469177-44",16.2058212347511,-0.62637948422312,0.294507554240735,-2.12687068702865,0.0334308290179217,0.507572122517496
"Merged-chr10-118541342-6",1.56300985813356,-4.03980549010902,1.65681522169506,-2.43829573582501,0.0147566959212598,NA
"Merged-chr10-16742341-18",2.45712314939712,-2.73774762568776,1.22314078377007,-2.23829314009891,0.0252019451738605,0.438173566596666
"Merged-chr10-17512175-6",1.58361102604524,-4.04973104678295,1.54587206152888,-2.61970647349545,0.00880054796848965,NA
"Merged-chr10-18947018-20",4.59889192745573,-1.31345456212522,0.515827205273398,-2.54630726859213,0.0108869311280148,0.270408007270028
"Merged-chr10-19687910-8",1.10604202997867,-4.36895423270325,1.93616834333514,-2.25649502417622,0.0240396465763404,NA
"Merged-chr10-20119637-31",9.073229514909,-2.32600941473473,0.542907930345439,-4.28435335850546,1.83271438681793e-05,0.00426660050978641
"Merged-chr10-24639829-10",9.77657427227227,-0.981556567368427,0.455188743368625,-2.15637267324411,0.0310545767134902,0.487089288238185
"Merged-chr10-39023842-41",3.5700688793169,-2.17545900937104,0.981857650688746,-2.21565621843962,0.0267150554924179,0.447488039276655
"Merged-chr10-39293099-66",4.87082202619412,-1.60508628291361,0.786722710507902,-2.04021856935766,0.0413285610385357,0.561968030633041
"Merged-chr10-39339887-44",3.21551774891811,-1.96362699118816,0.807464044330658,-2.43184449508944,0.015022155269637,0.331727186516969
"Merged-chr10-39418565-23",3.23875596604945,-1.60467546719177,0.744978698549732,-2.15398838962191,0.0312410824391693,0.487990918494469
