#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR9337--MA0482.1.Gata4	chr8	104655150	104655160	-	0.000	0.000	Merged-chr8-104655147-42
NR3307--MA0035.3.Gata1	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR1449--MA1104.1.GATA6	chr10	122578484	122578496	-	0.000	0.000	Merged-chr10-122578660-68
NR2505--MA0766.1.GATA5	chr13	23556077	23556084	+	0.000	0.000	Merged-chr13-23556170-26
NR1061--MA0482.1.Gata4	chr10	53889745	53889755	+	0.000	0.000	Merged-chr10-53889619-14
NR7198--MA1104.1.GATA6	chr4	149147504	149147516	+	0.000	0.000	Merged-chr4-149147530-1
NR4571--MA0035.3.Gata1	chr17	84061870	84061880	+	0.000	0.000	Merged-chr17-84061758-18
NR8111--MA0766.1.GATA5	chr6	66252375	66252382	-	0.000	0.000	Merged-chr6-66252474-1
NR7418--MA0482.1.Gata4	chr5	36722516	36722526	-	0.000	0.000	Merged-chr5-36722614-37
NR6160--MA0766.1.GATA5	chr3	68967474	68967481	+	0.000	0.000	Merged-chr3-68967303-47
NR4470--MA0036.3.GATA2	chr17	62784083	62784093	+	0.000	0.000	Merged-chr17-62784192-42
NR7690--MA0140.2.GATA1::TAL1	chr5	112271066	112271083	+	0.000	0.000	Merged-chr5-112271148-61
NR612--MA0766.1.GATA5	chr1	143202527	143202534	+	0.000	0.000	Merged-chr1-143202432-31
NR997--MA0036.3.GATA2	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR5205--MA0035.3.Gata1	chr2	22721880	22721890	+	0.000	0.000	Merged-chr2-22721936-56
NR7531--MA0037.3.GATA3	chr5	64519188	64519195	+	0.000	0.000	Merged-chr5-64519093-9
NR5499--MA0036.3.GATA2	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR9597--MA0766.1.GATA5	chr9	53271837	53271844	-	0.000	0.000	Merged-chr9-53271662-13
NR8967--MA0140.2.GATA1::TAL1	chr7	118922749	118922766	-	0.000	0.000	Merged-chr7-118922669-15
NR2561--MA0766.1.GATA5	chr13	49188131	49188138	+	0.000	0.000	Merged-chr13-49188113-1
NR692--MA0036.3.GATA2	chr1	160195097	160195107	+	0.000	0.000	Merged-chr1-160195203-53
NR8995--MA0766.1.GATA5	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR8985--MA0036.3.GATA2	chr7	125472208	125472218	+	0.000	0.000	Merged-chr7-125472313-74
NR8970--MA1104.1.GATA6	chr7	119894978	119894990	+	0.000	0.000	Merged-chr7-119895039-1
NR1064--MA0035.3.Gata1	chr10	53889744	53889754	+	0.000	0.000	Merged-chr10-53889619-14
NR2598--MA0036.3.GATA2	chr13	61996742	61996752	+	0.000	0.000	Merged-chr13-61996796-15
NR1760--MA0140.2.GATA1::TAL1	chr11	106430725	106430742	+	0.000	0.000	Merged-chr11-106430638-37
NR3657--MA0482.1.Gata4	chr15	61438672	61438682	-	0.000	0.000	Merged-chr15-61438700-21
NR3089--MA1104.1.GATA6	chr14	40927276	40927288	+	0.000	0.000	Merged-chr14-40927194-29
NR8324--MA0035.3.Gata1	chr6	125426393	125426403	-	0.000	0.000	Merged-chr6-125426605-47
NR8781--MA0035.3.Gata1	chr7	73600106	73600116	-	0.000	0.000	Merged-chr7-73600199-6
NR724--MA0036.3.GATA2	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR2574--MA0766.1.GATA5	chr13	52922198	52922205	+	0.000	0.000	Merged-chr13-52922066-27
NR8704--MA0035.3.Gata1	chr7	45526450	45526460	+	0.000	0.000	Merged-chr7-45526317-62
NR2835--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR577--MA0482.1.Gata4	chr1	136601112	136601122	+	0.000	0.000	Merged-chr1-136600909-41
NR4573--MA0482.1.Gata4	chr17	86038315	86038325	+	0.000	0.000	Merged-chr17-86038391-20
NR5192--MA1104.1.GATA6	chr2	20969346	20969358	+	0.000	0.000	Merged-chr2-20969092-180
NR8661--MA0482.1.Gata4	chr7	30280499	30280509	-	0.000	0.000	Merged-chr7-30280528-94
NR2739--MA0036.3.GATA2	chr13	85498876	85498886	-	0.000	0.000	Merged-chr13-85498931-37
NR4040--MA0035.3.Gata1	chr16	64758766	64758776	-	0.000	0.000	Merged-chr16-64758494-145
NR2902--MA0035.3.Gata1	chr13	113023933	113023943	+	0.000	0.000	Merged-chr13-113023939-34
NR4351--MA0140.2.GATA1::TAL1	chr17	25258005	25258022	-	0.000	0.000	Merged-chr17-25258027-50
NR3164--MA1104.1.GATA6	chr14	60118303	60118315	-	0.000	0.000	Merged-chr14-60118138-14
NR6514--MA0035.3.Gata1	chr3	142560550	142560560	+	0.000	0.000	Merged-chr3-142560586-84
NR272--MA0482.1.Gata4	chr1	69331722	69331732	-	0.000	0.000	Merged-chr1-69331775-34
NR1783--MA0140.2.GATA1::TAL1	chr11	116782937	116782954	+	0.000	0.000	Merged-chr11-116782885-34
NR8446--MA0035.3.Gata1	chr6	136491385	136491395	-	0.000	0.000	Merged-chr6-136491563-93
NR6766--MA0035.3.Gata1	chr4	32291745	32291755	-	0.000	0.000	Merged-chr4-32291576-26
NR5045--MA0482.1.Gata4	chr19	29367423	29367433	-	0.000	0.000	Merged-chr19-29367376-49
NR6352--MA0035.3.Gata1	chr3	121343372	121343382	+	0.000	0.000	Merged-chr3-121343370-11
NR4581--MA0766.1.GATA5	chr17	86880653	86880660	-	0.000	0.000	Merged-chr17-86880662-37
NR2301--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR4443--MA0482.1.Gata4	chr17	56291310	56291320	+	0.000	0.000	Merged-chr17-56291357-21
NR2915--MA0035.3.Gata1	chr13	113639070	113639080	+	0.000	0.000	Merged-chr13-113639155-24
NR9890--MA0766.1.GATA5	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR699--MA0482.1.Gata4	chr1	161670986	161670996	-	0.000	0.000	Merged-chr1-161671075-50
NR7650--MA0140.2.GATA1::TAL1	chr5	96908630	96908647	-	0.000	0.000	Merged-chr5-96908541-4
NR1721--MA0037.3.GATA3	chr11	97994753	97994760	+	0.000	0.000	Merged-chr11-97994878-44
NR9433--MA0140.2.GATA1::TAL1	chr8	126847923	126847940	-	0.000	0.000	Merged-chr8-126848146-108
NR4731--MA1104.1.GATA6	chr18	39091410	39091422	+	0.000	0.000	Merged-chr18-39091619-9
NR8573--MA0766.1.GATA5	chr7	6127302	6127309	-	0.000	0.000	Merged-chr7-6127268-44
NR617--MA0766.1.GATA5	chr1	143202926	143202933	+	0.000	0.000	Merged-chr1-143203062-8
NR8639--MA0766.1.GATA5	chr7	24451980	24451987	+	0.000	0.000	Merged-chr7-24452185-33
NR8219--MA0140.2.GATA1::TAL1	chr6	99309688	99309705	-	0.000	0.000	Merged-chr6-99309583-50
NR2314--MA0766.1.GATA5	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR2304--MA0036.3.GATA2	chr12	107729451	107729461	+	0.000	0.000	Merged-chr12-107729406-18
NR9705--MA1104.1.GATA6	chr9	86579813	86579825	-	0.000	0.000	Merged-chr9-86579809-9
NR968--MA0036.3.GATA2	chr10	26325438	26325448	+	0.000	0.000	Merged-chr10-26325461-56
NR6481--MA0140.2.GATA1::TAL1	chr3	137969352	137969369	-	0.000	0.000	Merged-chr3-137969157-49
NR155--MA0482.1.Gata4	chr1	39895767	39895777	+	0.000	0.000	Merged-chr1-39895697-26
NR9434--MA0037.3.GATA3	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR1185--MA0140.2.GATA1::TAL1	chr10	77021625	77021642	+	0.000	0.000	Merged-chr10-77021563-39
NR8117--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR1062--MA1104.1.GATA6	chr10	53889743	53889755	-	0.000	0.000	Merged-chr10-53889619-14
NR8914--MA0035.3.Gata1	chr7	110265935	110265945	-	0.000	0.000	Merged-chr7-110265938-33
NR4412--MA0035.3.Gata1	chr17	42782411	42782421	-	0.000	0.000	Merged-chr17-42782364-40
NR668--MA0035.3.Gata1	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR7419--MA1104.1.GATA6	chr5	36722516	36722528	+	0.000	0.000	Merged-chr5-36722614-37
NR931--MA0140.2.GATA1::TAL1	chr10	19122283	19122300	+	0.000	0.000	Merged-chr10-19122454-26
NR3009--MA0482.1.Gata4	chr14	16164717	16164727	-	0.000	0.000	Merged-chr14-16164885-8
NR8818--MA0035.3.Gata1	chr7	78865892	78865902	+	0.000	0.000	Merged-chr7-78865782-5
NR4435--MA0482.1.Gata4	chr17	52348687	52348697	+	0.000	0.000	Merged-chr17-52348820-8
NR153--MA0036.3.GATA2	chr1	37544481	37544491	+	0.000	0.000	Merged-chr1-37544454-25
NR8252--MA0482.1.Gata4	chr6	108168405	108168415	-	0.000	0.000	Merged-chr6-108168461-115
NR8160--MA1104.1.GATA6	chr6	82922014	82922026	+	0.000	0.000	Merged-chr6-82922037-57
NR5027--MA0035.3.Gata1	chr19	12026836	12026846	-	0.000	0.000	Merged-chr19-12026851-22
NR1980--MA0140.2.GATA1::TAL1	chr12	41844189	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR390--MA1104.1.GATA6	chr1	94035511	94035523	-	0.000	0.000	Merged-chr1-94035484-87
NR6904--MA0766.1.GATA5	chr4	71291542	71291549	-	0.000	0.000	Merged-chr4-71291736-94
