#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR50056--MA0493.1.Klf1	chr7	113572968	113572978	-	0.000	0.000	Merged-chr7-113573033-33
NR34583--MA0493.1.Klf1	chr3	101657352	101657362	-	0.000	0.000	Merged-chr3-101657438-15
NR54303--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR46118--MA0599.1.KLF5	chr6	121210730	121210739	+	0.000	0.000	Merged-chr6-121210795-40
NR10946--MA1107.1.KLF9	chr11	116688045	116688057	-	0.000	0.000	Merged-chr11-116688042-60
NR10941--MA0039.3.KLF4	chr11	116688045	116688055	-	0.000	0.000	Merged-chr11-116688042-60
NR23252--MA1107.1.KLF9	chr17	29193473	29193485	+	0.000	0.000	Merged-chr17-29193494-23
NR44980--MA1107.1.KLF9	chr6	71831704	71831716	-	0.000	0.000	Merged-chr6-71831897-1
NR36629--MA0493.1.Klf1	chr4	43171522	43171532	-	0.000	0.000	Merged-chr4-43171535-31
NR14093--MA0493.1.Klf1	chr13	45885145	45885155	+	0.000	0.000	Merged-chr13-45885080-29
NR6184--MA1107.1.KLF9	chr10	98745686	98745698	+	0.000	0.000	Merged-chr10-98745748-77
NR1066--MA1107.1.KLF9	chr1	83006279	83006291	+	0.000	0.000	Merged-chr1-83006483-46
NR10186--MA0493.1.Klf1	chr11	102074299	102074309	+	0.000	0.000	Merged-chr11-102074455-23
NR12025--MA1107.1.KLF9	chr12	54398455	54398467	-	0.000	0.000	Merged-chr12-54398333-42
NR5188--MA0039.3.KLF4	chr10	77367011	77367021	+	0.000	0.000	Merged-chr10-77367193-51
NR21650--MA0039.3.KLF4	chr16	58709149	58709159	+	0.000	0.000	Merged-chr16-58709115-34
NR12827--MA0657.1.KLF13	chr12	99407129	99407146	+	0.000	0.000	Merged-chr12-99407209-65
NR48436--MA1107.1.KLF9	chr7	35742591	35742603	-	0.000	0.000	Merged-chr7-35742502-39
NR12944--MA0599.1.KLF5	chr12	102581774	102581783	+	0.000	0.000	Merged-chr12-102581960-56
NR46028--MA1107.1.KLF9	chr6	120206737	120206749	+	0.000	0.000	Merged-chr6-120206801-39
NR40818--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR50648--MA0493.1.Klf1	chr7	132772647	132772657	-	0.000	0.000	Merged-chr7-132772585-7
NR42466--MA0740.1.KLF14	chr5	121837187	121837200	-	0.000	0.000	Merged-chr5-121837232-116
NR41290--MA0039.3.KLF4	chr5	89045091	89045101	+	0.000	0.000	Merged-chr5-89044916-44
NR37630--MA0740.1.KLF14	chr4	111415095	111415108	+	0.000	0.000	Merged-chr4-111415155-52
NR1756--MA1107.1.KLF9	chr1	128793988	128794000	-	0.000	0.000	Merged-chr1-128794102-26
NR11859--MA0599.1.KLF5	chr12	35770599	35770608	+	0.000	0.000	Merged-chr12-35770526-40
NR39506--MA0599.1.KLF5	chr4	150087308	150087317	-	0.000	0.000	Merged-chr4-150087480-81
NR48866--MA0740.1.KLF14	chr7	55890160	55890173	+	0.000	0.000	Merged-chr7-55890160-26
NR6628--MA1107.1.KLF9	chr10	118766023	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR11531--MA1107.1.KLF9	chr12	17511203	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR56567--MA0741.1.KLF16	chr9	108035671	108035681	-	0.000	0.000	Merged-chr9-108035594-66
NR24510--MA0599.1.KLF5	chr17	70886827	70886836	-	0.000	0.000	Merged-chr17-70886838-34
NR51796--MA1107.1.KLF9	chr8	34651916	34651928	-	0.000	0.000	Merged-chr8-34651925-47
NR404--MA0493.1.Klf1	chr1	39196991	39197001	-	0.000	0.000	Merged-chr1-39196974-45
NR22125--MA0741.1.KLF16	chr16	91553696	91553706	+	0.000	0.000	Merged-chr16-91553850-20
NR42467--MA0657.1.KLF13	chr5	121837184	121837201	-	0.000	0.000	Merged-chr5-121837232-116
NR24501--MA0740.1.KLF14	chr17	69441204	69441217	-	0.000	0.000	Merged-chr17-69441204-7
NR53028--MA0740.1.KLF14	chr8	93864375	93864388	-	0.000	0.000	Merged-chr8-93864262-35
NR37549--MA0039.3.KLF4	chr4	107989142	107989152	-	0.000	0.000	Merged-chr4-107989218-22
NR9235--MA0039.3.KLF4	chr11	82195243	82195253	+	0.000	0.000	Merged-chr11-82195229-33
NR39509--MA0741.1.KLF16	chr4	150087351	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR16560--MA1107.1.KLF9	chr14	32716938	32716950	+	0.000	0.000	Merged-chr14-32716978-71
NR41864--MA0039.3.KLF4	chr5	111200385	111200395	-	0.000	0.000	Merged-chr5-111200479-33
NR6669--MA0741.1.KLF16	chr10	119031301	119031311	+	0.000	0.000	Merged-chr10-119031155-35
NR28315--MA0599.1.KLF5	chr19	57055759	57055768	-	0.000	0.000	Merged-chr19-57055875-36
NR37824--MA0599.1.KLF5	chr4	118449900	118449909	+	0.000	0.000	Merged-chr4-118449765-23
NR10940--MA0599.1.KLF5	chr11	116688053	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR26031--MA1107.1.KLF9	chr18	61614737	61614749	-	0.000	0.000	Merged-chr18-61614590-32
NR34639--MA0493.1.Klf1	chr3	103091902	103091912	-	0.000	0.000	Merged-chr3-103091976-34
NR36630--MA1107.1.KLF9	chr4	43171520	43171532	-	0.000	0.000	Merged-chr4-43171535-31
NR1239--MA0599.1.KLF5	chr1	88587400	88587409	-	0.000	0.000	Merged-chr1-88587471-60
NR17562--MA0599.1.KLF5	chr14	78307981	78307990	+	0.000	0.000	Merged-chr14-78307953-14
NR40803--MA0599.1.KLF5	chr5	63943562	63943571	-	0.000	0.000	Merged-chr5-63943362-36
NR11657--MA0039.3.KLF4	chr12	25351098	25351108	+	0.000	0.000	Merged-chr12-25351011-20
NR45911--MA1107.1.KLF9	chr6	117937386	117937398	+	0.000	0.000	Merged-chr6-117937569-43
NR19465--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR37393--MA0039.3.KLF4	chr4	101217011	101217021	+	0.000	0.000	Merged-chr4-101217167-64
NR33249--MA1107.1.KLF9	chr3	21917494	21917506	+	0.000	0.000	Merged-chr3-21917648-70
NR52024--MA0599.1.KLF5	chr8	57401529	57401538	+	0.000	0.000	Merged-chr8-57401385-31
NR23990--MA0657.1.KLF13	chr17	47710246	47710263	-	0.000	0.000	Merged-chr17-47710307-11
NR32191--MA0493.1.Klf1	chr2	163603906	163603916	+	0.000	0.000	Merged-chr2-163604093-28
NR23251--MA0741.1.KLF16	chr17	29193478	29193488	+	0.000	0.000	Merged-chr17-29193494-23
NR51946--MA0599.1.KLF5	chr8	46943644	46943653	+	0.000	0.000	Merged-chr8-46943576-48
NR21223--MA0741.1.KLF16	chr16	33053322	33053332	+	0.000	0.000	Merged-chr16-33053250-22
NR43919--MA0741.1.KLF16	chr5	150840389	150840399	+	0.000	0.000	Merged-chr5-150840546-64
NR40817--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR25994--MA1107.1.KLF9	chr18	60625569	60625581	-	0.000	0.000	Merged-chr18-60625535-13
NR39229--MA1107.1.KLF9	chr4	145099967	145099979	-	0.000	0.000	Merged-chr4-145100023-41
