#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR41163--MA0741.1.KLF16	chr3	84772124	84772134	-	0.000	0.000	Merged-chr3-84772067-31
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR63823--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR65686--MA0741.1.KLF16	chr9	21167777	21167787	+	0.000	0.000	Merged-chr9-21167831-1
NR41161--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR65684--MA0741.1.KLF16	chr9	21167775	21167785	+	0.000	0.000	Merged-chr9-21167831-1
NR41160--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR65685--MA0741.1.KLF16	chr9	21167776	21167786	+	0.000	0.000	Merged-chr9-21167831-1
NR30792--MA0599.1.KLF5	chr18	39145633	39145642	-	0.000	0.000	Merged-chr18-39145494-15
NR65689--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR65683--MA0741.1.KLF16	chr9	21167774	21167784	+	0.000	0.000	Merged-chr9-21167831-1
NR65688--MA0741.1.KLF16	chr9	21167780	21167790	+	0.000	0.000	Merged-chr9-21167831-1
NR41162--MA0493.1.Klf1	chr3	84772125	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR41166--MA1107.1.KLF9	chr3	84772128	84772140	-	0.000	0.000	Merged-chr3-84772067-31
NR41164--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR65687--MA0741.1.KLF16	chr9	21167778	21167788	+	0.000	0.000	Merged-chr9-21167831-1
NR41159--MA0599.1.KLF5	chr3	84772125	84772134	-	0.000	0.000	Merged-chr3-84772067-31
