"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr8",4608774,4609157,384,"*","Merged-chr8-4608994-5","Promoter (4-5kb)",8,4613170,4630231,17062,1,"233987","uc009ktz.1",-4013,"ENSMUSG00000058748","Zfp958","zinc finger protein 958"
"2","chr5",113035104,113036285,1182,"*","Merged-chr5-113035514-85","Distal Intergenic",5,112960544,113015538,54995,2,"320129","uc008ytv.2",-19566,"ENSMUSG00000042249","Grk3","G protein-coupled receptor kinase 3"
"3","chr1",193588964,193589453,490,"*","Merged-chr1-193589231-21","Distal Intergenic",1,193507463,193507530,68,2,"387201","uc011wzc.1",-81434,"ENSMUSG00000065533","Mir205","microRNA 205"
"4","chr9",88332438,88332813,376,"*","Merged-chr9-88332643-26","Promoter (4-5kb)",9,88327609,88372089,44481,1,"23959","uc009qyj.2",4829,"ENSMUSG00000032420","Nt5e","5' nucleotidase, ecto"
"5","chr2",59364327,59365018,692,"*","Merged-chr2-59364601-33","Distal Intergenic",2,59382493,59386682,4190,2,"76676","uc008jth.2",21664,"ENSMUSG00000087455","5330411J11Rik","RIKEN cDNA 5330411J11 gene"
"6","chr3",52647821,52648580,760,"*","Merged-chr3-52648133-66","Distal Intergenic",3,52739724,52776654,36931,1,"329639","uc008pek.3",-91144,"ENSMUSG00000102785","Gm2447","predicted gene 2447"
"7","chr7",112053649,112054144,496,"*","Merged-chr7-112053858-52","Intron (uc009jge.1/74996, intron 2 of 3)",7,112023506,112111386,87881,1,"74996","uc009jgh.2",30143,"ENSMUSG00000059263","Usp47","ubiquitin specific peptidase 47"
"8","chr7",128376165,128376622,458,"*","Merged-chr7-128376440-37","Intron (uc009jyw.1/67865, intron 4 of 4)",7,128373625,128418172,44548,2,"67865","uc009jyw.1",41550,"ENSMUSG00000030844","Rgs10","regulator of G-protein signalling 10"
"9","chr10",81247840,81248321,482,"*","Merged-chr10-81248090-40","Promoter (4-5kb)",10,81252935,81262981,10047,1,"17179","uc007ggt.1",-4614,"ENSMUSG00000004933","Matk","megakaryocyte-associated tyrosine kinase"
"10","chr7",80628721,80629310,590,"*","Merged-chr7-80629014-41","Intron (uc009iaz.1/70461, intron 3 of 14)",7,80636017,80644384,8368,1,"100504375","uc009iba.2",-6707,"ENSMUSG00000084821","Gm15880","predicted gene 15880"
"11","chr7",116715143,116715946,804,"*","Merged-chr7-116715582-45","Distal Intergenic",7,116504369,116540588,36220,1,"53322","uc009jjk.3",210774,"ENSMUSG00000030659","Nucb2","nucleobindin 2"
"12","chr19",29261614,29262028,415,"*","Merged-chr19-29261826-30","Intron (uc008hdb.2/16452, intron 2 of 24)",19,29251803,29313080,61278,1,"16452","uc008hdc.2",9811,"ENSMUSG00000024789","Jak2","Janus kinase 2"
"13","chr6",41113153,41113575,423,"*","Merged-chr6-41113305-59","5' UTR",6,41030268,41035509,5242,2,"67373","uc009bno.1",-77644,"ENSMUSG00000029882","2210010C04Rik","RIKEN cDNA 2210010C04 gene"
"14","chr6",128201421,128201631,211,"*","Merged-chr6-128201525-2","Distal Intergenic",6,128169700,128183803,14104,2,"330427","uc009ecs.2",-17618,"ENSMUSG00000107879","9330102E08Rik","RIKEN cDNA 9330102E08 gene"
"15","chr6",73279541,73280062,522,"*","Merged-chr6-73279801-29","Distal Intergenic",6,73248505,73276907,28403,1,"56451","uc009cjm.2",31036,"ENSMUSG00000052738","Suclg1","succinate-CoA ligase, GDP-forming, alpha subunit"
"16","chr18",6251716,6252134,419,"*","Merged-chr18-6251929-22","Intron (uc008dzh.1/uc008dzh.1, intron 1 of 2)",18,6201005,6241524,40520,2,"16573","uc008dzf.2",-10192,"ENSMUSG00000006740","Kif5b","kinesin family member 5B"
"17","chr1",138614542,138615047,506,"*","Merged-chr1-138614789-18","Promoter (4-5kb)",1,138483837,138619757,135921,2,"59125","uc007cvn.2",4710,"ENSMUSG00000026393","Nek7","NIMA (never in mitosis gene a)-related expressed kinase 7"
"18","chr4",35006275,35006865,591,"*","Merged-chr4-35006607-36","Intron (uc008sgs.2/214944, intron 2 of 3)",4,34909789,34911481,1693,2,"73696","uc008sgr.2",-94794,"ENSMUSG00000085824","Platr9","pluripotency associated transcript 9"
"19","chr5",151416627,151416825,199,"*","Merged-chr5-151416725-1","Intron (uc009aur.3/100042166, intron 1 of 3)",5,151406504,151432118,25615,1,"100042166","uc009aur.3",10123,"ENSMUSG00000097321","Gm3704","predicted gene 3704"
"20","chr3",84570448,84571136,689,"*","Merged-chr3-84570776-21","Intron (uc008pqe.2/99889, intron 1 of 8)",3,84496093,84582625,86533,2,"99889","uc008pqe.2",11489,"ENSMUSG00000074513","Arfip1","ADP-ribosylation factor interacting protein 1"
"21","chr4",148487296,148487825,530,"*","Merged-chr4-148487604-13","Intron (uc008vur.2/56717, intron 25 of 57)",4,148495280,148500462,5183,2,"654812","uc008vus.1",12637,"ENSMUSG00000028989","Angptl7","angiopoietin-like 7"
"22","chr3",153260589,153261046,458,"*","Merged-chr3-153260790-34","Intron (uc008rtw.1/20447, intron 3 of 4)",3,153296502,153298649,2148,2,"75489","uc056zux.1",37603,"ENSMUSG00000105023","1700012D16Rik","RIKEN cDNA 1700012D16 gene"
"23","chr11",108922364,108922562,199,"*","Merged-chr11-108922462-1","Promoter (2-3kb)",11,108920349,108950783,30435,1,"12006","uc007mbu.3",2015,"ENSMUSG00000000142","Axin2","axin 2"
"24","chrX",166717981,166718572,592,"*","Merged-chrX-166718260-20","Distal Intergenic",20,166662025,166689812,27788,1,"382255","uc029xoj.1",55956,"ENSMUSG00000086860","Gm1720","predicted gene 1720"
"25","chr2",53668313,53669106,794,"*","Merged-chr2-53668715-25","Distal Intergenic",2,54084093,54085552,1460,2,"67874","uc008jrp.1",416446,"ENSMUSG00000075334","Rprm","reprimo, TP53 dependent G2 arrest mediator candidate"
"26","chr4",107989044,107989368,325,"*","Merged-chr4-107989218-22","Intron (uc008uao.2/242607, intron 2 of 10)",4,108010017,108013532,3516,1,"242607","uc008uap.2",-20649,"ENSMUSG00000008932","Slc1a7","solute carrier family 1 (glutamate transporter), member 7"
"27","chr1",151766126,151766479,354,"*","Merged-chr1-151766309-19","Intron (uc007czb.1/66967, intron 2 of 7)",1,151755374,151822328,66955,1,"66967","uc011wtq.1",10752,"ENSMUSG00000043019","Edem3","ER degradation enhancer, mannosidase alpha-like 3"
"28","chr14",46671132,46671511,380,"*","Merged-chr14-46671310-13","Promoter (2-3kb)",14,46645817,46673775,27959,2,"328385","uc057bew.2",2264,"ENSMUSG00000115015","D330046F09Rik","RIKEN cDNA D330046F09 gene"
"29","chr9",14199941,14200852,912,"*","Merged-chr9-14200294-59","Distal Intergenic",9,14276301,14326134,49834,1,"75747","uc009oej.1",-75449,"ENSMUSG00000032009","Sesn3","sestrin 3"
"30","chr8",67860126,67860567,442,"*","Merged-chr8-67860375-11","Intron (uc009lvz.2/234353, intron 6 of 12)",8,67711526,67818295,106770,2,"234353","uc009lwb.2",-41831,"ENSMUSG00000030465","Psd3","pleckstrin and Sec7 domain containing 3"
"31","chr1",138603763,138604357,595,"*","Merged-chr1-138604109-41","Intron (uc007cvn.2/59125, intron 1 of 9)",1,138483837,138619757,135921,2,"59125","uc007cvn.2",15400,"ENSMUSG00000026393","Nek7","NIMA (never in mitosis gene a)-related expressed kinase 7"
"32","chr1",43501148,43501499,352,"*","Merged-chr1-43501314-13","Intron (uc007avo.2/17974, intron 1 of 4)",1,43445751,43570518,124768,1,"17974","uc007avo.2",55397,"ENSMUSG00000066877","Nck2","non-catalytic region of tyrosine kinase adaptor protein 2"
"33","chr6",34901866,34902533,668,"*","Merged-chr6-34902272-26","Intron (uc009bhz.1/101240, intron 6 of 14)",6,34880426,34910831,30406,2,"101240","uc009bhz.1",8298,"ENSMUSG00000058486","Wdr91","WD repeat domain 91"
"34","chr16",95150428,95151199,772,"*","Merged-chr16-95150686-45","Distal Intergenic",16,95257558,95300260,42703,1,"16516","uc008abs.3",-106359,"ENSMUSG00000062609","Kcnj15","potassium inwardly-rectifying channel, subfamily J, member 15"
"35","chr4",8853958,8854344,387,"*","Merged-chr4-8854131-25","Promoter (2-3kb)",4,8856671,8868449,11779,1,"320790","uc012daj.2",-2327,"ENSMUSG00000041235","Chd7","chromodomain helicase DNA binding protein 7"
"36","chr6",84616992,84617487,496,"*","Merged-chr6-84617241-46","Downstream (<1kb)",6,84571414,84593908,22495,2,"232174","uc057lqs.1",-23084,"ENSMUSG00000063415","Cyp26b1","cytochrome P450, family 26, subfamily b, polypeptide 1"
"37","chr13",5806250,5806610,361,"*","Merged-chr13-5806398-17","Distal Intergenic",13,5855509,5858092,2584,2,"71867","uc007pjv.1",51482,"ENSMUSG00000100625","1700016G22Rik","RIKEN cDNA 1700016G22 gene"
"38","chr11",31999840,32000510,671,"*","Merged-chr11-32000120-91","Promoter (<=1kb)",11,32000419,32033414,32996,1,"18197","uc007iiv.2",0,"ENSMUSG00000020297","Nsg2","neuron specific gene family member 2"
"39","chr12",82189182,82190036,855,"*","Merged-chr12-82189683-54","Intron (uc007ocu.3/217692, intron 1 of 22)",12,82170179,82342499,172321,1,"217692","uc007ocx.1",19003,"ENSMUSG00000042700","Sipa1l1","signal-induced proliferation-associated 1 like 1"
"40","chr16",57317785,57318418,634,"*","Merged-chr16-57318126-31","Exon (uc007zng.2/66497, exon 3 of 10)",16,57269309,57292851,23543,2,"71027","uc007znf.1",-24934,"ENSMUSG00000022753","Tmem30c","transmembrane protein 30C"
"41","chr12",75494576,75495083,508,"*","Merged-chr12-75494766-18","Intron (uc007nxe.1/26932, intron 3 of 13)",12,75411720,75416781,5062,2,"217674","uc007nxd.1",-77795,"ENSMUSG00000048982","Gphb5","glycoprotein hormone beta 5"
"42","chr9",94945642,94946109,468,"*","Merged-chr9-94945890-45","Intron (uc009ray.2/331004, intron 8 of 15)",9,95121686,95124551,2866,1,"331004","uc057maj.1",-175577,"ENSMUSG00000031129","Slc9a9","solute carrier family 9 (sodium/hydrogen exchanger), member 9"
"43","chr7",49420895,49421579,685,"*","Merged-chr7-49421353-29","Intron (uc057ahi.2/78286, intron 7 of 39)",7,49450760,49464929,14170,1,"78286","uc009hbl.1",-29181,"ENSMUSG00000052512","Nav2","neuron navigator 2"
