"","seqnames","start","end","width","strand","V4","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"1","chr1",135018919,135019382,464,"*","Merged-chr1-135019182-17","Intron (uc007csq.1/329252, intron 6 of 17)",1,134962565,134974180,11616,1,"67196","uc033flk.2",56354,"ENSMUSG00000026429","Ube2t","ubiquitin-conjugating enzyme E2T"
"2","chr9",20765203,20765750,548,"*","Merged-chr9-20765445-35","Distal Intergenic",9,20667986,20728214,60229,2,"244723","uc009oje.1",-36989,"ENSMUSG00000032172","Olfm2","olfactomedin 2"
"3","chr3",65650400,65650830,431,"*","Merged-chr3-65650597-39","Distal Intergenic",3,65659288,65659426,139,1,"102465905","uc033hua.1",-8458,"ENSMUSG00000098944","Mir8120","microRNA 8120"
"4","chr7",110824113,110824568,456,"*","Merged-chr7-110824322-44","Intron (uc009jfp.1/67150, intron 4 of 5)",7,110816535,110837529,20995,2,"67150","uc009jfp.1",12961,"ENSMUSG00000030788","Rnf141","ring finger protein 141"
"5","chr8",4608774,4609157,384,"*","Merged-chr8-4608994-5","Promoter (4-5kb)",8,4613170,4630231,17062,1,"233987","uc009ktz.1",-4013,"ENSMUSG00000058748","Zfp958","zinc finger protein 958"
"6","chr5",113035104,113036285,1182,"*","Merged-chr5-113035514-85","Distal Intergenic",5,112960544,113015538,54995,2,"320129","uc008ytv.2",-19566,"ENSMUSG00000042249","Grk3","G protein-coupled receptor kinase 3"
"7","chr5",115693338,115693864,527,"*","Merged-chr5-115693567-32","Intron (uc008zel.1/75665, intron 2 of 8)",5,115667254,115716559,49306,2,"75665","uc008zen.1",22695,"ENSMUSG00000041609","Bicdl1","BICD family like cargo adaptor 1"
"8","chr17",8190028,8190974,947,"*","Merged-chr17-8190546-24","Intron (uc008ajb.2/75296, intron 9 of 11)",17,8165518,8196470,30953,1,"75296","uc008ajc.2",24510,"ENSMUSG00000069135","Fgfr1op","Fgfr1 oncogene partner"
"9","chr8",106948813,106949255,443,"*","Merged-chr8-106949012-29","Intron (uc009ngt.1/20650, intron 1 of 6)",8,106935750,107014192,78443,1,"20650","uc012gjx.1",13063,"ENSMUSG00000041308","Sntb2","syntrophin, basic 2"
"10","chr14",48246150,48246655,506,"*","Merged-chr14-48246381-22","Intron (uc007tjh.1/93834, intron 3 of 5)",14,48198716,48228413,29698,1,"624367","uc011zjq.1",47434,"ENSMUSG00000021846","Gm6498","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"11","chr6",28351125,28351488,364,"*","Merged-chr6-28351294-19","Intron (uc009bcn.1/627049, intron 1 of 6)",6,28239931,28397975,158045,2,"627049","uc009bcn.1",46487,"ENSMUSG00000039841","Zfp800","zinc finger protein 800"
"12","chrX",59951121,59951583,463,"*","Merged-chrX-59951386-23","Distal Intergenic",20,59999464,60030760,31297,1,"14071","uc009thw.2",-47881,"ENSMUSG00000031138","F9","coagulation factor IX"
"13","chr4",41240896,41241279,384,"*","Merged-chr4-41241074-39","Intron (uc008sik.1/68926, intron 2 of 28)",4,41194315,41275135,80821,2,"68926","uc008sik.1",33856,"ENSMUSG00000028433","Ubap2","ubiquitin-associated protein 2"
"14","chr1",79751769,79752819,1051,"*","Merged-chr1-79752241-78","Intron (uc007bqu.2/69368, intron 1 of 11)",1,79702262,79761769,59508,2,"69368","uc007bqu.2",8950,"ENSMUSG00000073643","Wdfy1","WD repeat and FYVE domain containing 1"
"15","chr1",69768753,69769239,487,"*","Merged-chr1-69769016-55","Distal Intergenic",1,69826970,69926250,99281,1,"66722","uc033fjj.1",-57731,"ENSMUSG00000053153","Spag16","sperm associated antigen 16"
"16","chr14",99449080,99450461,1382,"*","Merged-chr14-99449719-57","Distal Intergenic",14,99298691,99313412,14722,1,"12224","uc007uvg.2",150389,"ENSMUSG00000005148","Klf5","Kruppel-like factor 5"
"17","chr7",27740946,27741355,410,"*","Merged-chr7-27741137-12","Exon (uc009fwz.1/22718, exon 4 of 5)",7,27731409,27751689,20281,1,"22718","uc009fxa.1",9537,"ENSMUSG00000037640","Zfp60","zinc finger protein 60"
"18","chr16",17694823,17695192,370,"*","Merged-chr16-17695007-34","Intron (uc007yls.2/94112, intron 2 of 17)",16,17651208,17722947,71740,2,"94112","uc007yls.2",27755,"ENSMUSG00000012114","Med15","mediator complex subunit 15"
"19","chr5",110594562,110594927,366,"*","Merged-chr5-110594723-25","Intron (uc008yqz.3/231605, intron 4 of 10)",5,110603505,110621383,17879,1,"231605","uc008yra.3",-8578,"ENSMUSG00000033316","Galnt9","polypeptide N-acetylgalactosaminyltransferase 9"
"20","chrY",1116163,1116697,535,"*","Merged-chrY-1116441-17","Intron (uc009uzh.1/22290, intron 22 of 24)",21,1055764,1058868,3105,2,"22109","uc009uze.1",-57295,"ENSMUSG00000091749","Tspy-ps","testis specific protein-Y encoded, pseudogene"
"21","chr15",27667928,27668464,537,"*","Merged-chr15-27668249-55","Intron (uc007vjs.2/223433, intron 1 of 6)",15,27655071,27681542,26472,2,"223433","uc007vjs.2",13078,"ENSMUSG00000056069","Otulinl","OTU deubiquitinase with linear linkage specificity like"
"22","chr2",59364327,59365018,692,"*","Merged-chr2-59364601-33","Distal Intergenic",2,59382493,59386682,4190,2,"76676","uc008jth.2",21664,"ENSMUSG00000087455","5330411J11Rik","RIKEN cDNA 5330411J11 gene"
"23","chr3",52647821,52648580,760,"*","Merged-chr3-52648133-66","Distal Intergenic",3,52739724,52776654,36931,1,"329639","uc008pek.3",-91144,"ENSMUSG00000102785","Gm2447","predicted gene 2447"
"24","chr2",128345491,128345904,414,"*","Merged-chr2-128345707-20","Intron (uc008mgo.2/100043424, intron 1 of 2)",2,128298663,128429351,130689,2,"100043424","uc008mgo.2",83447,NA,"Gm14005","predicted gene 14005"
"25","chr9",7472666,7473253,588,"*","Merged-chr9-7473003-16","Intron (uc009ocp.1/83995, intron 7 of 10)",9,7464141,7476869,12729,1,"83995","uc009ocp.1",8525,"ENSMUSG00000043089","Mmp1a","matrix metallopeptidase 1a (interstitial collagenase)"
"26","chr13",34914625,34915155,531,"*","Merged-chr13-34914852-26","Promoter (1-2kb)",13,34909964,34916989,7026,2,"71864","uc007qbr.1",1834,"ENSMUSG00000021414","Fam217a","family with sequence similarity 217, member A"
"27","chr6",100479359,100480100,742,"*","Merged-chr6-100479761-33","Distal Intergenic",6,100527400,100533426,6027,1,"73395","uc009dbx.1",-47300,"ENSMUSG00000101553","1700049E22Rik","RIKEN cDNA 1700049E22 gene"
"28","chr7",67353052,67353256,205,"*","Merged-chr7-67353153-2","Intron (uc009hif.3/17258, intron 1 of 11)",7,67231163,67372858,141696,2,"17258","uc009hif.3",19602,"ENSMUSG00000030557","Mef2a","myocyte enhancer factor 2A"
"29","chr2",25620293,25620901,609,"*","Merged-chr2-25620603-21","Promoter (1-2kb)",2,25620066,25622002,1937,2,"51875","uc008isy.2",1101,"ENSMUSG00000026939","Tmem141","transmembrane protein 141"
