#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1146--MA0769.1.Tcf7	chr10	78115140	78115151	-	0.000	0.000	Merged-chr10-78115092-14
NR2861--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR7941--MA0769.1.Tcf7	chr6	121215330	121215341	-	0.000	0.000	Merged-chr6-121215137-42
NR8140--MA0769.1.Tcf7	chr7	15949534	15949545	+	0.000	0.000	Merged-chr7-15949519-32
NR2087--MA1421.1.TCF7L1	chr12	107921301	107921312	-	0.000	0.000	Merged-chr12-107921534-79
NR7906--MA0523.1.TCF7L2	chr6	114660211	114660224	+	0.000	0.000	Merged-chr6-114660280-61
NR874--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR5010--MA0769.1.Tcf7	chr2	60774709	60774720	+	0.000	0.000	Merged-chr2-60774747-55
NR1142--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR2910--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR5008--MA1421.1.TCF7L1	chr2	60774709	60774720	+	0.000	0.000	Merged-chr2-60774747-55
NR9339--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR9340--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR7190--MA0523.1.TCF7L2	chr5	64488158	64488171	-	0.000	0.000	Merged-chr5-64487990-63
NR8922--MA0769.1.Tcf7	chr8	116645576	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR1799--MA1421.1.TCF7L1	chr12	25256494	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR2540--MA0769.1.Tcf7	chr13	101706541	101706552	-	0.000	0.000	Merged-chr13-101706581-30
NR2652--MA0769.1.Tcf7	chr13	117048329	117048340	-	0.000	0.000	Merged-chr13-117048588-56
NR3153--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
NR7592--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR5009--MA0523.1.TCF7L2	chr2	60774709	60774722	+	0.000	0.000	Merged-chr2-60774747-55
NR703--MA0769.1.Tcf7	chr1	180410475	180410486	-	0.000	0.000	Merged-chr1-180410391-12
NR8920--MA1421.1.TCF7L1	chr8	116645576	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR9264--MA0523.1.TCF7L2	chr9	95315390	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR5425--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR3405--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR8407--MA0769.1.Tcf7	chr7	88206950	88206961	+	0.000	0.000	Merged-chr7-88206806-101
NR8139--MA0523.1.TCF7L2	chr7	15949534	15949547	+	0.000	0.000	Merged-chr7-15949519-32
NR3148--MA0523.1.TCF7L2	chr14	121478315	121478328	+	0.000	0.000	Merged-chr14-121478313-77
NR4712--MA0523.1.TCF7L2	chr19	56771671	56771684	-	0.000	0.000	Merged-chr19-56771635-4
NR8921--MA0523.1.TCF7L2	chr8	116645574	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR7670--MA0523.1.TCF7L2	chr6	58881113	58881126	+	0.000	0.000	Merged-chr6-58880983-47
NR519--MA0769.1.Tcf7	chr1	143985305	143985316	-	0.000	0.000	Merged-chr1-143985220-17
NR4563--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR8347--MA1421.1.TCF7L1	chr7	74698158	74698169	+	0.000	0.000	Merged-chr7-74698017-54
NR3558--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR987--MA0769.1.Tcf7	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR3830--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR9319--MA0523.1.TCF7L2	chr9	114770593	114770606	+	0.000	0.000	Merged-chr9-114770446-32
NR4080--MA1421.1.TCF7L1	chr17	51789441	51789452	-	0.000	0.000	Merged-chr17-51789354-14
NR4065--MA0523.1.TCF7L2	chr17	48318939	48318952	+	0.000	0.000	Merged-chr17-48318964-29
NR7591--MA0523.1.TCF7L2	chr6	35462668	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR9331--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR7044--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR986--MA1421.1.TCF7L1	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR9342--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR2122--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
NR3651--MA1421.1.TCF7L1	chr16	24826560	24826571	+	0.000	0.000	Merged-chr16-24826564-20
NR3541--MA0523.1.TCF7L2	chr15	100665050	100665063	-	0.000	0.000	Merged-chr15-100665160-50
