#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_dn.bed
NR2077--MA0768.1.LEF1	chr5	100875851	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR315--MA0768.1.LEF1	chr10	91138668	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR2682--MA0768.1.LEF1	chr9	96754565	96754579	+	0.000	0.000	Merged-chr9-96754558-43
NR2342--MA0768.1.LEF1	chr7	25205430	25205444	+	0.000	0.000	Merged-chr7-25205538-69
NR1136--MA0768.1.LEF1	chr17	47269649	47269663	-	0.000	0.000	Merged-chr17-47269600-53
NR356--MA0768.1.LEF1	chr10	120193465	120193479	+	0.000	0.000	Merged-chr10-120193454-50
NR253--MA0768.1.LEF1	chr10	44821926	44821940	+	0.000	0.000	Merged-chr10-44821803-43
NR486--MA0768.1.LEF1	chr12	32895228	32895242	+	0.000	0.000	Merged-chr12-32895351-16
NR1038--MA0768.1.LEF1	chr16	52086791	52086805	+	0.000	0.000	Merged-chr16-52086970-39
NR276--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR1289--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR966--MA0768.1.LEF1	chr15	98623374	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR617--MA0768.1.LEF1	chr13	23761216	23761230	-	0.000	0.000	Merged-chr13-23761314-21
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2103--MA0768.1.LEF1	chr5	120831141	120831155	+	0.000	0.000	Merged-chr5-120831228-43
NR2121--MA0768.1.LEF1	chr5	137857125	137857139	+	0.000	0.000	Merged-chr5-137857044-20
