#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1126--MA0508.2.PRDM1	chr4	63899186	63899195	+	0.000	0.000	Merged-chr4-63899190-80
NR1487--MA0508.2.PRDM1	chr7	116484473	116484482	-	0.000	0.000	Merged-chr7-116484434-42
NR1139--MA0508.2.PRDM1	chr4	95100286	95100295	-	0.000	0.000	Merged-chr4-95100514-9
NR311--MA0508.2.PRDM1	chr11	108213764	108213773	-	0.000	0.000	Merged-chr11-108213901-5
NR28--MA0508.2.PRDM1	chr1	58311354	58311363	-	0.000	0.000	Merged-chr1-58311498-34
NR1118--MA0508.2.PRDM1	chr4	46404182	46404191	+	0.000	0.000	Merged-chr4-46404308-42
NR1575--MA0508.2.PRDM1	chr8	128530683	128530692	+	0.000	0.000	Merged-chr8-128530780-6
NR1078--MA0508.2.PRDM1	chr3	142243504	142243513	+	0.000	0.000	Merged-chr3-142243538-27
NR4--MA0508.2.PRDM1	chr1	20260006	20260015	+	0.000	0.000	Merged-chr1-20260109-34
NR1458--MA0508.2.PRDM1	chr7	96818644	96818653	-	0.000	0.000	Merged-chr7-96818578-56
NR630--MA0508.2.PRDM1	chr16	37094555	37094564	-	0.000	0.000	Merged-chr16-37094405-73
NR1057--MA0508.2.PRDM1	chr3	117728538	117728547	+	0.000	0.000	Merged-chr3-117728445-14
NR1328--MA0508.2.PRDM1	chr6	66472895	66472904	+	0.000	0.000	Merged-chr6-66473070-26
NR481--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR547--MA0508.2.PRDM1	chr15	4816847	4816856	-	0.000	0.000	Merged-chr15-4816968-28
NR1267--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR343--MA0508.2.PRDM1	chr12	54398191	54398200	-	0.000	0.000	Merged-chr12-54398333-42
NR866--MA0508.2.PRDM1	chr2	25856043	25856052	+	0.000	0.000	Merged-chr2-25856140-7
NR723--MA0508.2.PRDM1	chr17	65741428	65741437	+	0.000	0.000	Merged-chr17-65741371-24
NR1137--MA0508.2.PRDM1	chr4	92942497	92942506	-	0.000	0.000	Merged-chr4-92942379-25
NR715--MA0508.2.PRDM1	chr17	52064853	52064862	-	0.000	0.000	Merged-chr17-52064871-36
NR619--MA0508.2.PRDM1	chr16	24840133	24840142	-	0.000	0.000	Merged-chr16-24840158-23
NR457--MA0508.2.PRDM1	chr13	95427598	95427607	-	0.000	0.000	Merged-chr13-95427714-10
NR728--MA0508.2.PRDM1	chr17	70973593	70973602	+	0.000	0.000	Merged-chr17-70973710-59
NR423--MA0508.2.PRDM1	chr13	43774421	43774430	+	0.000	0.000	Merged-chr13-43774308-28
NR218--MA0508.2.PRDM1	chr10	94021281	94021290	+	0.000	0.000	Merged-chr10-94021256-59
NR1108--MA0508.2.PRDM1	chr4	6970510	6970519	-	0.000	0.000	Merged-chr4-6970666-38
NR131--MA0508.2.PRDM1	chr1	182100571	182100580	+	0.000	0.000	Merged-chr1-182100503-13
NR144--MA0508.2.PRDM1	chr1	191115202	191115211	-	0.000	0.000	Merged-chr1-191115212-7
NR157--MA0508.2.PRDM1	chr10	12607463	12607472	+	0.000	0.000	Merged-chr10-12607451-15
NR428--MA0508.2.PRDM1	chr13	51391728	51391737	-	0.000	0.000	Merged-chr13-51391583-19
NR1470--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR258--MA0508.2.PRDM1	chr11	26586728	26586737	+	0.000	0.000	Merged-chr11-26586855-34
NR1191--MA0508.2.PRDM1	chr5	8397740	8397749	+	0.000	0.000	Merged-chr5-8397712-7
NR1680--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR338--MA0508.2.PRDM1	chr12	41168121	41168130	-	0.000	0.000	Merged-chr12-41167989-46
NR1250--MA0508.2.PRDM1	chr5	98161461	98161470	+	0.000	0.000	Merged-chr5-98161434-16
NR168--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR992--MA0508.2.PRDM1	chr3	18243930	18243939	-	0.000	0.000	Merged-chr3-18243680-52
NR1534--MA0508.2.PRDM1	chr8	86052029	86052038	+	0.000	0.000	Merged-chr8-86052123-41
NR971--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR1494--MA0508.2.PRDM1	chr7	125511557	125511566	-	0.000	0.000	Merged-chr7-125511628-40
NR711--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR692--MA0508.2.PRDM1	chr17	26572246	26572255	-	0.000	0.000	Merged-chr17-26572396-49
NR1582--MA0508.2.PRDM1	chr9	7576796	7576805	-	0.000	0.000	Merged-chr9-7576753-19
NR724--MA0508.2.PRDM1	chr17	66074191	66074200	-	0.000	0.000	Merged-chr17-66074199-45
NR1614--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR1213--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR1194--MA0508.2.PRDM1	chr5	10245938	10245947	-	0.000	0.000	Merged-chr5-10245943-14
NR1465--MA0508.2.PRDM1	chr7	104400874	104400883	-	0.000	0.000	Merged-chr7-104400949-29
NR1322--MA0508.2.PRDM1	chr6	61066113	61066122	+	0.000	0.000	Merged-chr6-61066166-46
NR1160--MA0508.2.PRDM1	chr4	121002448	121002457	+	0.000	0.000	Merged-chr4-121002570-50
NR1226--MA0508.2.PRDM1	chr5	63943450	63943459	+	0.000	0.000	Merged-chr5-63943362-36
NR1696--MA0508.2.PRDM1	chrX	105721306	105721315	+	0.000	0.000	Merged-chrX-105721364-12
NR663--MA0508.2.PRDM1	chr16	89833250	89833259	-	0.000	0.000	Merged-chr16-89833107-38
NR1348--MA0508.2.PRDM1	chr6	94646499	94646508	-	0.000	0.000	Merged-chr6-94646597-32
NR1314--MA0508.2.PRDM1	chr6	50159897	50159906	-	0.000	0.000	Merged-chr6-50160084-30
NR262--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR1199--MA0508.2.PRDM1	chr5	20377544	20377553	-	0.000	0.000	Merged-chr5-20377545-32
NR54--MA0508.2.PRDM1	chr1	91095612	91095621	+	0.000	0.000	Merged-chr1-91095433-53
NR1306--MA0508.2.PRDM1	chr6	31168824	31168833	+	0.000	0.000	Merged-chr6-31168865-5
NR1558--MA0508.2.PRDM1	chr8	121650538	121650547	+	0.000	0.000	Merged-chr8-121650674-17
NR472--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR1157--MA0508.2.PRDM1	chr4	118449834	118449843	-	0.000	0.000	Merged-chr4-118449765-23
NR918--MA0508.2.PRDM1	chr2	102733414	102733423	+	0.000	0.000	Merged-chr2-102733347-57
NR899--MA0508.2.PRDM1	chr2	70933397	70933406	+	0.000	0.000	Merged-chr2-70933304-29
NR594--MA0508.2.PRDM1	chr15	94565076	94565085	-	0.000	0.000	Merged-chr15-94565077-32
NR1407--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1115--MA0508.2.PRDM1	chr4	35004666	35004675	+	0.000	0.000	Merged-chr4-35004721-11
NR443--MA0508.2.PRDM1	chr13	75053939	75053948	-	0.000	0.000	Merged-chr13-75053881-13
NR300--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR17--MA0508.2.PRDM1	chr1	38777814	38777823	-	0.000	0.000	Merged-chr1-38777708-41
NR618--MA0508.2.PRDM1	chr16	24834993	24835002	+	0.000	0.000	Merged-chr16-24834930-16
NR727--MA0508.2.PRDM1	chr17	70746918	70746927	+	0.000	0.000	Merged-chr17-70746811-20
NR1359--MA0508.2.PRDM1	chr6	107749026	107749035	-	0.000	0.000	Merged-chr6-107749008-33
NR143--MA0508.2.PRDM1	chr1	190875269	190875278	-	0.000	0.000	Merged-chr1-190875350-16
NR299--MA0508.2.PRDM1	chr11	99099150	99099159	-	0.000	0.000	Merged-chr11-99099093-22
NR156--MA0508.2.PRDM1	chr10	4357687	4357696	-	0.000	0.000	Merged-chr10-4357640-28
NR1059--MA0508.2.PRDM1	chr3	121495151	121495160	-	0.000	0.000	Merged-chr3-121495033-1
NR549--MA0508.2.PRDM1	chr15	12606546	12606555	+	0.000	0.000	Merged-chr15-12606518-21
NR889--MA0508.2.PRDM1	chr2	58153940	58153949	+	0.000	0.000	Merged-chr2-58153859-22
NR507--MA0508.2.PRDM1	chr14	46819039	46819048	+	0.000	0.000	Merged-chr14-46818898-31
NR345--MA0508.2.PRDM1	chr12	69102090	69102099	-	0.000	0.000	Merged-chr12-69102156-32
NR106--MA0508.2.PRDM1	chr1	162094529	162094538	-	0.000	0.000	Merged-chr1-162094499-16
NR738--MA0508.2.PRDM1	chr17	84336272	84336281	+	0.000	0.000	Merged-chr17-84336226-16
NR1703--MA0508.2.PRDM1	chrX	159447268	159447277	+	0.000	0.000	Merged-chrX-159447377-17
NR1403--MA0508.2.PRDM1	chr6	145285231	145285240	-	0.000	0.000	Merged-chr6-145285137-2
NR1668--MA0508.2.PRDM1	chr9	114621261	114621270	+	0.000	0.000	Merged-chr9-114621254-26
NR1111--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR90--MA0508.2.PRDM1	chr1	152084876	152084885	-	0.000	0.000	Merged-chr1-152084822-56
NR1581--MA0508.2.PRDM1	chr9	7509854	7509863	-	0.000	0.000	Merged-chr9-7510063-49
NR1408--MA0508.2.PRDM1	chr6	145998803	145998812	+	0.000	0.000	Merged-chr6-145998846-7
NR1180--MA0508.2.PRDM1	chr4	145319390	145319399	-	0.000	0.000	Merged-chr4-145319470-38
NR1626--MA0508.2.PRDM1	chr9	66142400	66142409	-	0.000	0.000	Merged-chr9-66142492-15
NR1212--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
NR1050--MA0508.2.PRDM1	chr3	105133336	105133345	+	0.000	0.000	Merged-chr3-105133189-20
NR1586--MA0508.2.PRDM1	chr9	15060194	15060203	-	0.000	0.000	Merged-chr9-15060271-40
NR1281--MA0508.2.PRDM1	chr5	141241561	141241570	+	0.000	0.000	Merged-chr5-141241462-54
NR1217--MA0508.2.PRDM1	chr5	34822677	34822686	-	0.000	0.000	Merged-chr5-34822830-22
NR784--MA0508.2.PRDM1	chr18	68190173	68190182	-	0.000	0.000	Merged-chr18-68190088-51
NR750--MA0508.2.PRDM1	chr18	6251972	6251981	-	0.000	0.000	Merged-chr18-6251929-22
NR620--MA0508.2.PRDM1	chr16	25250281	25250290	+	0.000	0.000	Merged-chr16-25250353-21
NR1414--MA0508.2.PRDM1	chr6	148436576	148436585	-	0.000	0.000	Merged-chr6-148436541-68
NR776--MA0508.2.PRDM1	chr18	56566147	56566156	+	0.000	0.000	Merged-chr18-56566232-24
NR471--MA0508.2.PRDM1	chr13	106691948	106691957	-	0.000	0.000	Merged-chr13-106691961-50
NR1427--MA0508.2.PRDM1	chr7	35742521	35742530	+	0.000	0.000	Merged-chr7-35742502-39
NR232--MA0508.2.PRDM1	chr10	111715367	111715376	+	0.000	0.000	Merged-chr10-111715471-15
NR102--MA0508.2.PRDM1	chr1	160006268	160006277	+	0.000	0.000	Merged-chr1-160006258-20
NR572--MA0508.2.PRDM1	chr15	64067765	64067774	+	0.000	0.000	Merged-chr15-64067738-34
NR909--MA0508.2.PRDM1	chr2	79698303	79698312	+	0.000	0.000	Merged-chr2-79698404-21
NR1114--MA0508.2.PRDM1	chr4	32424569	32424578	+	0.000	0.000	Merged-chr4-32424580-38
NR1018--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR1127--MA0508.2.PRDM1	chr4	71291898	71291907	+	0.000	0.000	Merged-chr4-71291736-94
NR29--MA0508.2.PRDM1	chr1	59189685	59189694	-	0.000	0.000	Merged-chr1-59189721-10
NR421--MA0508.2.PRDM1	chr13	36369657	36369666	+	0.000	0.000	Merged-chr13-36369600-5
NR673--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR577--MA0508.2.PRDM1	chr15	74667720	74667729	+	0.000	0.000	Merged-chr15-74667710-27
NR848--MA0508.2.PRDM1	chr19	54015198	54015207	+	0.000	0.000	Merged-chr19-54015154-21
NR686--MA0508.2.PRDM1	chr17	17840979	17840988	-	0.000	0.000	Merged-chr17-17841002-20
NR957--MA0508.2.PRDM1	chr2	150578693	150578702	+	0.000	0.000	Merged-chr2-150578789-44
NR285--MA0508.2.PRDM1	chr11	74973510	74973519	+	0.000	0.000	Merged-chr11-74973432-13
NR827--MA0508.2.PRDM1	chr19	31321967	31321976	-	0.000	0.000	Merged-chr19-31321995-11
NR631--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR155--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR1058--MA0508.2.PRDM1	chr3	121494320	121494329	+	0.000	0.000	Merged-chr3-121494135-61
NR1329--MA0508.2.PRDM1	chr6	66473130	66473139	-	0.000	0.000	Merged-chr6-66473070-26
NR277--MA0508.2.PRDM1	chr11	62387848	62387857	+	0.000	0.000	Merged-chr11-62387724-16
NR100--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR766--MA0508.2.PRDM1	chr18	41979577	41979586	-	0.000	0.000	Merged-chr18-41979653-39
NR779--MA0508.2.PRDM1	chr18	60625548	60625557	-	0.000	0.000	Merged-chr18-60625535-13
NR365--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR474--MA0508.2.PRDM1	chr13	107867094	107867103	+	0.000	0.000	Merged-chr13-107866970-30
NR615--MA0508.2.PRDM1	chr16	24467728	24467737	-	0.000	0.000	Merged-chr16-24467843-15
NR105--MA0508.2.PRDM1	chr1	161480175	161480184	+	0.000	0.000	Merged-chr1-161480099-19
NR291--MA0508.2.PRDM1	chr11	82195153	82195162	-	0.000	0.000	Merged-chr11-82195229-33
NR479--MA0508.2.PRDM1	chr13	111656019	111656028	+	0.000	0.000	Merged-chr13-111655949-74
NR859--MA0508.2.PRDM1	chr2	10343748	10343757	+	0.000	0.000	Merged-chr2-10343676-43
NR1492--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR538--MA0508.2.PRDM1	chr14	105895119	105895128	+	0.000	0.000	Merged-chr14-105895286-34
NR259--MA0508.2.PRDM1	chr11	26586812	26586821	+	0.000	0.000	Merged-chr11-26586855-34
NR1516--MA0508.2.PRDM1	chr8	69149332	69149341	-	0.000	0.000	Merged-chr8-69149326-14
NR940--MA0508.2.PRDM1	chr2	128367941	128367950	-	0.000	0.000	Merged-chr2-128367839-63
NR1354--MA0508.2.PRDM1	chr6	99261397	99261406	+	0.000	0.000	Merged-chr6-99261371-76
NR1638--MA0508.2.PRDM1	chr9	80318249	80318258	+	0.000	0.000	Merged-chr9-80318250-48
NR1224--MA0508.2.PRDM1	chr5	53994860	53994869	+	0.000	0.000	Merged-chr5-53994753-10
NR73--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
