#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR42330--MA1107.1.KLF9	chr5	30921518	30921530	-	0.000	0.000	Merged-chr5-30921651-61
NR40495--MA1107.1.KLF9	chr4	132783900	132783912	-	0.000	0.000	Merged-chr4-132783946-19
NR54162--MA0741.1.KLF16	chr8	22166304	22166314	-	0.000	0.000	Merged-chr8-22166326-62
NR25349--MA0740.1.KLF14	chr17	70990564	70990577	-	0.000	0.000	Merged-chr17-70990523-86
NR28660--MA0740.1.KLF14	chr19	32757525	32757538	-	0.000	0.000	Merged-chr19-32757634-6
NR55841--MA0493.1.Klf1	chr8	104395958	104395968	-	0.000	0.000	Merged-chr8-104396039-6
NR52375--MA0599.1.KLF5	chr7	108967102	108967111	-	0.000	0.000	Merged-chr7-108967182-43
NR44941--MA0741.1.KLF16	chr5	129725042	129725052	+	0.000	0.000	Merged-chr5-129725191-86
NR40137--MA1107.1.KLF9	chr4	125124888	125124900	-	0.000	0.000	Merged-chr4-125124916-51
NR37410--MA0599.1.KLF5	chr3	144689409	144689418	-	0.000	0.000	Merged-chr3-144689428-21
NR24692--MA0599.1.KLF5	chr17	46383665	46383674	-	0.000	0.000	Merged-chr17-46383696-57
NR54965--MA0742.1.Klf12	chr8	70766702	70766716	+	0.000	0.000	Merged-chr8-70766803-2
NR55--MA0741.1.KLF16	chr1	14484502	14484512	-	0.000	0.000	Merged-chr1-14484636-21
NR47332--MA0741.1.KLF16	chr6	71271533	71271543	-	0.000	0.000	Merged-chr6-71271585-90
