#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR92--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR2414--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR9334--MA0591.1.Bach1::Mafk	chr5	67437634	67437648	-	0.000	0.000	Merged-chr5-67437495-24
NR163--MA0495.2.MAFF	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR165--MA0659.1.MAFG	chr1	60902847	60902867	-	0.000	0.000	Merged-chr1-60902675-29
NR10857--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR9582--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR9336--MA0496.2.MAFK	chr5	67437632	67437650	+	0.000	0.000	Merged-chr5-67437495-24
NR10480--MA0495.2.MAFF	chr6	125541046	125541066	-	0.000	0.000	Merged-chr6-125540912-17
NR7996--MA0659.1.MAFG	chr3	116474786	116474806	+	0.000	0.000	Merged-chr3-116474712-27
NR3721--MA0501.1.MAF::NFE2	chr13	109238842	109238856	+	0.000	0.000	Merged-chr13-109238823-1
NR4776--MA0501.1.MAF::NFE2	chr15	100461863	100461877	-	0.000	0.000	Merged-chr15-100461811-2
NR10018--MA0089.1.MAFG::NFE2L1	chr6	31216930	31216935	+	0.000	0.000	Merged-chr6-31216711-63
NR4297--MA0501.1.MAF::NFE2	chr14	120572328	120572342	-	0.000	0.000	Merged-chr14-120572441-59
NR7935--MA0089.1.MAFG::NFE2L1	chr3	108504044	108504049	+	0.000	0.000	Merged-chr3-108504114-26
NR10482--MA0591.1.Bach1::Mafk	chr6	125541049	125541063	-	0.000	0.000	Merged-chr6-125540912-17
NR12457--MA0659.1.MAFG	chr9	78593280	78593300	+	0.000	0.000	Merged-chr9-78593326-11
NR11044--MA0501.1.MAF::NFE2	chr7	67390931	67390945	+	0.000	0.000	Merged-chr7-67390968-9
NR9051--MA0591.1.Bach1::Mafk	chr4	150894697	150894711	-	0.000	0.000	Merged-chr4-150894695-19
NR10314--MA0659.1.MAFG	chr6	99420832	99420852	-	0.000	0.000	Merged-chr6-99420809-31
NR9825--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR4967--MA0089.1.MAFG::NFE2L1	chr16	46001705	46001710	+	0.000	0.000	Merged-chr16-46001866-55
NR1428--MA0501.1.MAF::NFE2	chr10	76802327	76802341	-	0.000	0.000	Merged-chr10-76802342-40
NR1284--MA0089.1.MAFG::NFE2L1	chr10	39458912	39458917	+	0.000	0.000	Merged-chr10-39458935-16
NR3132--MA0501.1.MAF::NFE2	chr12	116269654	116269668	-	0.000	0.000	Merged-chr12-116269685-29
NR5528--MA0089.1.MAFG::NFE2L1	chr17	65947475	65947480	+	0.000	0.000	Merged-chr17-65947509-8
NR12798--MA0089.1.MAFG::NFE2L1	chr9	119254991	119254996	-	0.000	0.000	Merged-chr9-119254891-26
NR12651--MA0117.2.Mafb	chr9	102573087	102573098	+	0.000	0.000	Merged-chr9-102573138-23
NR8780--MA0117.2.Mafb	chr4	119962920	119962931	-	0.000	0.000	Merged-chr4-119962727-36
NR233--MA0591.1.Bach1::Mafk	chr1	69548600	69548614	-	0.000	0.000	Merged-chr1-69548718-45
NR6965--MA0591.1.Bach1::Mafk	chr2	114135319	114135333	+	0.000	0.000	Merged-chr2-114135366-6
NR3130--MA0117.2.Mafb	chr12	116269654	116269665	+	0.000	0.000	Merged-chr12-116269685-29
NR10856--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR10858--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR1395--MA0591.1.Bach1::Mafk	chr10	68540769	68540783	-	0.000	0.000	Merged-chr10-68540864-1
NR12479--MA0591.1.Bach1::Mafk	chr9	80252242	80252256	-	0.000	0.000	Merged-chr9-80252331-18
NR9337--MA0496.2.MAFK	chr5	67437632	67437650	-	0.000	0.000	Merged-chr5-67437495-24
NR10578--MA0089.1.MAFG::NFE2L1	chr6	136547245	136547250	+	0.000	0.000	Merged-chr6-136547260-16
NR10315--MA0496.2.MAFK	chr6	99420833	99420851	+	0.000	0.000	Merged-chr6-99420809-31
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR12311--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR4839--MA0089.1.MAFG::NFE2L1	chr16	10976316	10976321	-	0.000	0.000	Merged-chr16-10976349-23
NR4401--MA0117.2.Mafb	chr15	27627258	27627269	+	0.000	0.000	Merged-chr15-27627368-1
NR8779--MA0501.1.MAF::NFE2	chr4	119921452	119921466	-	0.000	0.000	Merged-chr4-119921315-32
NR12458--MA0659.1.MAFG	chr9	78593280	78593300	-	0.000	0.000	Merged-chr9-78593326-11
NR12460--MA0496.2.MAFK	chr9	78593281	78593299	+	0.000	0.000	Merged-chr9-78593326-11
NR9317--MA0089.1.MAFG::NFE2L1	chr5	66137392	66137397	+	0.000	0.000	Merged-chr5-66137441-17
NR9404--MA0089.1.MAFG::NFE2L1	chr5	86079040	86079045	+	0.000	0.000	Merged-chr5-86079042-21
NR9540--MA0496.2.MAFK	chr5	100466828	100466846	+	0.000	0.000	Merged-chr5-100466890-43
NR9323--MA0117.2.Mafb	chr5	67395571	67395582	-	0.000	0.000	Merged-chr5-67395507-40
NR11046--MA0089.1.MAFG::NFE2L1	chr7	67421999	67422004	-	0.000	0.000	Merged-chr7-67421949-40
NR10606--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR10859--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR1741--MA0089.1.MAFG::NFE2L1	chr10	118166252	118166257	+	0.000	0.000	Merged-chr10-118166257-15
NR2381--MA0089.1.MAFG::NFE2L1	chr11	106493418	106493423	-	0.000	0.000	Merged-chr11-106493297-20
NR3133--MA0089.1.MAFG::NFE2L1	chr12	116269745	116269750	-	0.000	0.000	Merged-chr12-116269685-29
NR9539--MA0089.1.MAFG::NFE2L1	chr5	100466778	100466783	+	0.000	0.000	Merged-chr5-100466890-43
NR4894--MA0501.1.MAF::NFE2	chr16	30024847	30024861	-	0.000	0.000	Merged-chr16-30024852-47
NR3131--MA0591.1.Bach1::Mafk	chr12	116269657	116269671	-	0.000	0.000	Merged-chr12-116269685-29
NR9318--MA0591.1.Bach1::Mafk	chr5	66137399	66137413	+	0.000	0.000	Merged-chr5-66137441-17
NR5809--MA0089.1.MAFG::NFE2L1	chr18	35848621	35848626	+	0.000	0.000	Merged-chr18-35848691-1
NR3459--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR12454--MA0495.2.MAFF	chr9	78593280	78593300	+	0.000	0.000	Merged-chr9-78593326-11
NR1477--MA0496.2.MAFK	chr10	83094422	83094440	+	0.000	0.000	Merged-chr10-83094341-29
NR2239--MA0089.1.MAFG::NFE2L1	chr11	83640473	83640478	-	0.000	0.000	Merged-chr11-83640282-44
NR2111--MA0089.1.MAFG::NFE2L1	chr11	62466776	62466781	+	0.000	0.000	Merged-chr11-62466803-41
