#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1504--MA0684.1.RUNX3	chr10	130434433	130434442	+	0.000	0.000	Merged-chr10-130434426-5
NR8964--MA0002.2.RUNX1	chr6	122804610	122804620	-	0.000	0.000	Merged-chr6-122804652-39
NR1085--MA0002.2.RUNX1	chr10	60389726	60389736	+	0.000	0.000	Merged-chr10-60389736-64
NR7872--MA0684.1.RUNX3	chr5	20942629	20942638	-	0.000	0.000	Merged-chr5-20942646-25
NR11087--MA0684.1.RUNX3	chrX	57196487	57196496	-	0.000	0.000	Merged-chrX-57196423-53
NR3592--MA0511.2.RUNX2	chr14	67911799	67911807	+	0.000	0.000	Merged-chr14-67911920-26
NR9675--MA0002.2.RUNX1	chr7	117433803	117433813	-	0.000	0.000	Merged-chr7-117433722-72
NR4733--MA0002.2.RUNX1	chr17	25867732	25867742	+	0.000	0.000	Merged-chr17-25867746-11
NR10931--MA0511.2.RUNX2	chr9	115299298	115299306	+	0.000	0.000	Merged-chr9-115299283-20
NR3370--MA0684.1.RUNX3	chr14	20785459	20785468	+	0.000	0.000	Merged-chr14-20785376-56
NR3165--MA0684.1.RUNX3	chr13	99781337	99781346	-	0.000	0.000	Merged-chr13-99781144-21
NR7680--MA0511.2.RUNX2	chr4	139242141	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR8550--MA0002.2.RUNX1	chr6	37448149	37448159	+	0.000	0.000	Merged-chr6-37448067-27
NR10561--MA0002.2.RUNX1	chr9	61225167	61225177	-	0.000	0.000	Merged-chr9-61225287-14
NR1213--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR9056--MA0002.2.RUNX1	chr6	133904798	133904808	+	0.000	0.000	Merged-chr6-133904717-21
NR4985--MA0002.2.RUNX1	chr17	78352703	78352713	-	0.000	0.000	Merged-chr17-78352623-8
NR7647--MA0002.2.RUNX1	chr4	135520640	135520650	-	0.000	0.000	Merged-chr4-135520643-13
NR7918--MA0002.2.RUNX1	chr5	34538612	34538622	+	0.000	0.000	Merged-chr5-34538812-69
NR5696--MA0002.2.RUNX1	chr19	58238493	58238503	+	0.000	0.000	Merged-chr19-58238492-37
NR3022--MA0684.1.RUNX3	chr13	81182721	81182730	+	0.000	0.000	Merged-chr13-81182564-34
NR9390--MA0684.1.RUNX3	chr7	64141526	64141535	+	0.000	0.000	Merged-chr7-64141555-53
NR3145--MA0002.2.RUNX1	chr13	98684463	98684473	-	0.000	0.000	Merged-chr13-98684546-11
NR10213--MA0002.2.RUNX1	chr8	114974783	114974793	+	0.000	0.000	Merged-chr8-114974743-26
NR10613--MA0684.1.RUNX3	chr9	69065961	69065970	-	0.000	0.000	Merged-chr9-69066025-13
NR3002--MA0002.2.RUNX1	chr13	73955715	73955725	+	0.000	0.000	Merged-chr13-73955669-7
NR432--MA0002.2.RUNX1	chr1	125487532	125487542	-	0.000	0.000	Merged-chr1-125487640-13
NR3668--MA0002.2.RUNX1	chr14	79115158	79115168	+	0.000	0.000	Merged-chr14-79115074-10
NR4971--MA0684.1.RUNX3	chr17	73810290	73810299	-	0.000	0.000	Merged-chr17-73810198-2
NR1988--MA0002.2.RUNX1	chr11	97275699	97275709	-	0.000	0.000	Merged-chr11-97275659-13
NR6774--MA0002.2.RUNX1	chr3	88835122	88835132	+	0.000	0.000	Merged-chr3-88835267-46
NR7362--MA0684.1.RUNX3	chr4	63668486	63668495	-	0.000	0.000	Merged-chr4-63668506-36
NR1944--MA0511.2.RUNX2	chr11	89145626	89145634	-	0.000	0.000	Merged-chr11-89145462-12
NR5477--MA0684.1.RUNX3	chr19	14466266	14466275	+	0.000	0.000	Merged-chr19-14466199-30
NR7756--MA0002.2.RUNX1	chr4	149664190	149664200	-	0.000	0.000	Merged-chr4-149664202-47
NR2543--MA0002.2.RUNX1	chr12	104066555	104066565	+	0.000	0.000	Merged-chr12-104066472-5
NR561--MA0684.1.RUNX3	chr1	150396149	150396158	+	0.000	0.000	Merged-chr1-150396130-66
NR1451--MA0684.1.RUNX3	chr10	121382803	121382812	-	0.000	0.000	Merged-chr10-121382753-17
NR955--MA0002.2.RUNX1	chr10	21252329	21252339	+	0.000	0.000	Merged-chr10-21252266-47
NR1517--MA0684.1.RUNX3	chr11	3387160	3387169	-	0.000	0.000	Merged-chr11-3387260-37
NR4680--MA0002.2.RUNX1	chr17	12351830	12351840	+	0.000	0.000	Merged-chr17-12351777-16
NR10944--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
