#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR2504--MA0098.3.ETS1	chr4	139319925	139319934	+	0.000	0.000	Merged-chr4-139319909-27
NR2983--MA0098.3.ETS1	chr7	24237678	24237687	+	0.000	0.000	Merged-chr7-24237656-23
NR3169--MA0098.3.ETS1	chr7	140947141	140947150	-	0.000	0.000	Merged-chr7-140947277-49
NR2979--MA0098.3.ETS1	chr7	19321598	19321607	-	0.000	0.000	Merged-chr7-19321656-26
NR1030--MA0098.3.ETS1	chr13	108072342	108072351	-	0.000	0.000	Merged-chr13-108072263-25
NR1375--MA0098.3.ETS1	chr16	24860684	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR2559--MA0098.3.ETS1	chr5	21370440	21370449	+	0.000	0.000	Merged-chr5-21370599-51
NR2465--MA0098.3.ETS1	chr4	128618676	128618685	-	0.000	0.000	Merged-chr4-128618755-32
NR3359--MA0098.3.ETS1	chr9	31090547	31090556	+	0.000	0.000	Merged-chr9-31090729-18
NR838--MA0098.3.ETS1	chr12	104236074	104236083	+	0.000	0.000	Merged-chr12-104236095-61
NR3274--MA0098.3.ETS1	chr8	96552728	96552737	-	0.000	0.000	Merged-chr8-96552694-31
NR431--MA0098.3.ETS1	chr10	119083601	119083610	+	0.000	0.000	Merged-chr10-119083697-27
NR1690--MA0098.3.ETS1	chr18	67502710	67502719	-	0.000	0.000	Merged-chr18-67502827-16
NR1659--MA0098.3.ETS1	chr18	39083228	39083237	-	0.000	0.000	Merged-chr18-39083164-72
NR1556--MA0098.3.ETS1	chr17	62857497	62857506	+	0.000	0.000	Merged-chr17-62857583-41
