#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Th1_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR18071--MA0741.1.KLF16	chr15	80192526	80192536	+	0.000	0.000	Merged-chr15-80192413-58
NR47780--MA0493.1.Klf1	chr7	132772647	132772657	-	0.000	0.000	Merged-chr7-132772585-7
NR9874--MA1107.1.KLF9	chr11	113612167	113612179	+	0.000	0.000	Merged-chr11-113612276-39
NR18983--MA0742.1.Klf12	chr15	100060746	100060760	+	0.000	0.000	Merged-chr15-100060928-68
NR11141--MA0493.1.Klf1	chr12	54398449	54398459	-	0.000	0.000	Merged-chr12-54398333-42
NR12245--MA0599.1.KLF5	chr12	109446608	109446617	+	0.000	0.000	Merged-chr12-109446341-43
NR12030--MA0599.1.KLF5	chr12	105475800	105475809	-	0.000	0.000	Merged-chr12-105475644-16
NR50078--MA1107.1.KLF9	chr8	105518255	105518267	-	0.000	0.000	Merged-chr8-105518330-1
NR37867--MA0599.1.KLF5	chr5	30353819	30353828	-	0.000	0.000	Merged-chr5-30353789-16
NR11145--MA1107.1.KLF9	chr12	54398453	54398465	-	0.000	0.000	Merged-chr12-54398333-42
NR12239--MA0741.1.KLF16	chr12	109446512	109446522	-	0.000	0.000	Merged-chr12-109446341-43
NR28810--MA0599.1.KLF5	chr2	79010056	79010065	-	0.000	0.000	Merged-chr2-79010022-27
NR42639--MA0039.3.KLF4	chr6	82402555	82402565	-	0.000	0.000	Merged-chr6-82402722-33
NR23270--MA1107.1.KLF9	chr17	70728940	70728952	+	0.000	0.000	Merged-chr17-70729015-28
NR24768--MA0493.1.Klf1	chr18	67212684	67212694	+	0.000	0.000	Merged-chr18-67212775-57
NR19956--MA0741.1.KLF16	chr16	35765698	35765708	-	0.000	0.000	Merged-chr16-35765641-23
NR8657--MA0741.1.KLF16	chr11	85407803	85407813	+	0.000	0.000	Merged-chr11-85407928-27
NR22741--MA0599.1.KLF5	chr17	47515761	47515770	-	0.000	0.000	Merged-chr17-47515680-12
NR44850--MA0039.3.KLF4	chr7	16001849	16001859	-	0.000	0.000	Merged-chr7-16001989-41
NR4792--MA1107.1.KLF9	chr10	78115182	78115194	-	0.000	0.000	Merged-chr10-78115092-14
NR13344--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR33642--MA0599.1.KLF5	chr3	145663931	145663940	-	0.000	0.000	Merged-chr3-145663716-20
NR28909--MA0599.1.KLF5	chr2	85224691	85224700	+	0.000	0.000	Merged-chr2-85224623-28
NR22773--MA0741.1.KLF16	chr17	47710298	47710308	-	0.000	0.000	Merged-chr17-47710307-11
NR45028--MA0493.1.Klf1	chr7	19321617	19321627	-	0.000	0.000	Merged-chr7-19321656-26
NR51871--MA1107.1.KLF9	chr9	50512120	50512132	-	0.000	0.000	Merged-chr9-50512107-7
NR47690--MA0039.3.KLF4	chr7	130501611	130501621	-	0.000	0.000	Merged-chr7-130501774-15
NR16720--MA1107.1.KLF9	chr14	121107739	121107751	-	0.000	0.000	Merged-chr14-121107843-45
NR13373--MA0741.1.KLF16	chr13	45885052	45885062	+	0.000	0.000	Merged-chr13-45885080-29
NR24628--MA0741.1.KLF16	chr18	60625568	60625578	-	0.000	0.000	Merged-chr18-60625535-13
NR34150--MA0741.1.KLF16	chr4	32424644	32424654	+	0.000	0.000	Merged-chr4-32424580-38
NR47007--MA0599.1.KLF5	chr7	107664636	107664645	-	0.000	0.000	Merged-chr7-107664561-57
NR28968--MA0741.1.KLF16	chr2	91835227	91835237	-	0.000	0.000	Merged-chr2-91835374-51
NR35695--MA0039.3.KLF4	chr4	119785113	119785123	+	0.000	0.000	Merged-chr4-119785122-42
NR50405--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR43131--MA0599.1.KLF5	chr6	100581241	100581250	+	0.000	0.000	Merged-chr6-100581320-61
NR37214--MA0599.1.KLF5	chr4	150087286	150087295	-	0.000	0.000	Merged-chr4-150087480-81
NR44308--MA0740.1.KLF14	chr6	142955193	142955206	+	0.000	0.000	Merged-chr6-142955079-5
NR10137--MA0741.1.KLF16	chr11	116688052	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR29233--MA0493.1.Klf1	chr2	104286396	104286406	-	0.000	0.000	Merged-chr2-104286317-9
NR49506--MA0741.1.KLF16	chr8	76902220	76902230	+	0.000	0.000	Merged-chr8-76902143-41
NR44986--MA0493.1.Klf1	chr7	18925403	18925413	-	0.000	0.000	Merged-chr7-18925390-20
NR52086--MA0741.1.KLF16	chr9	58112635	58112645	-	0.000	0.000	Merged-chr9-58112486-25
NR36951--MA0741.1.KLF16	chr4	145177761	145177771	-	0.000	0.000	Merged-chr4-145177901-38
NR23177--MA1107.1.KLF9	chr17	64826400	64826412	-	0.000	0.000	Merged-chr17-64826379-6
NR14238--MA0741.1.KLF16	chr13	95450626	95450636	+	0.000	0.000	Merged-chr13-95450580-4
NR18055--MA0741.1.KLF16	chr15	79729141	79729151	-	0.000	0.000	Merged-chr15-79729133-34
NR10553--MA1107.1.KLF9	chr12	3871187	3871199	+	0.000	0.000	Merged-chr12-3871224-57
NR47253--MA0493.1.Klf1	chr7	117406360	117406370	-	0.000	0.000	Merged-chr7-117406595-16
NR19404--MA0741.1.KLF16	chr16	10788554	10788564	-	0.000	0.000	Merged-chr16-10788652-37
NR22740--MA0742.1.Klf12	chr17	47515757	47515771	-	0.000	0.000	Merged-chr17-47515680-12
NR8833--MA0741.1.KLF16	chr11	90257464	90257474	+	0.000	0.000	Merged-chr11-90257307-51
NR1859--MA0740.1.KLF14	chr1	135766474	135766487	-	0.000	0.000	Merged-chr1-135766283-55
NR12085--MA0599.1.KLF5	chr12	106016401	106016410	-	0.000	0.000	Merged-chr12-106016418-37
NR33521--MA0740.1.KLF14	chr3	138757519	138757532	+	0.000	0.000	Merged-chr3-138757496-38
NR44981--MA0741.1.KLF16	chr7	18925361	18925371	-	0.000	0.000	Merged-chr7-18925390-20
NR32016--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR44309--MA0657.1.KLF13	chr6	142955192	142955209	+	0.000	0.000	Merged-chr6-142955079-5
NR12234--MA0740.1.KLF14	chr12	109438213	109438226	+	0.000	0.000	Merged-chr12-109438029-53
NR48538--MA0742.1.Klf12	chr8	15018751	15018765	+	0.000	0.000	Merged-chr8-15018606-116
NR22777--MA1107.1.KLF9	chr17	47710299	47710311	-	0.000	0.000	Merged-chr17-47710307-11
NR18372--MA0039.3.KLF4	chr15	85828972	85828982	+	0.000	0.000	Merged-chr15-85828905-13
NR51963--MA0657.1.KLF13	chr9	55283729	55283746	+	0.000	0.000	Merged-chr9-55283833-16
NR23407--MA0599.1.KLF5	chr17	74865000	74865009	-	0.000	0.000	Merged-chr17-74864979-18
NR39445--MA0740.1.KLF14	chr5	111357152	111357165	-	0.000	0.000	Merged-chr5-111357188-22
NR44416--MA0742.1.Klf12	chr6	144890238	144890252	+	0.000	0.000	Merged-chr6-144890317-11
NR52519--MA1107.1.KLF9	chr9	70484978	70484990	+	0.000	0.000	Merged-chr9-70485119-27
NR34755--MA0493.1.Klf1	chr4	56222650	56222660	+	0.000	0.000	Merged-chr4-56222492-84
NR33463--MA1107.1.KLF9	chr3	136742798	136742810	-	0.000	0.000	Merged-chr3-136742959-57
NR26988--MA0741.1.KLF16	chr19	57430073	57430083	-	0.000	0.000	Merged-chr19-57430178-33
NR4842--MA0742.1.Klf12	chr10	79417249	79417263	+	0.000	0.000	Merged-chr10-79417442-89
NR14260--MA0493.1.Klf1	chr13	95892267	95892277	-	0.000	0.000	Merged-chr13-95891948-150
NR23411--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR53609--MA1107.1.KLF9	chr9	114613220	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR18370--MA0742.1.Klf12	chr15	85828970	85828984	+	0.000	0.000	Merged-chr15-85828905-13
NR33696--MA1107.1.KLF9	chr3	148488426	148488438	+	0.000	0.000	Merged-chr3-148488399-75
NR11805--MA0741.1.KLF16	chr12	98601203	98601213	-	0.000	0.000	Merged-chr12-98601119-23
NR9276--MA1107.1.KLF9	chr11	99150545	99150557	+	0.000	0.000	Merged-chr11-99150380-50
NR48700--MA0741.1.KLF16	chr8	27201025	27201035	+	0.000	0.000	Merged-chr8-27201067-26
NR32040--MA0741.1.KLF16	chr3	86841687	86841697	-	0.000	0.000	Merged-chr3-86841762-14
NR36612--MA1107.1.KLF9	chr4	136123315	136123327	-	0.000	0.000	Merged-chr4-136123235-13
NR20787--MA0740.1.KLF14	chr16	93552856	93552869	+	0.000	0.000	Merged-chr16-93552984-42
NR52216--MA0599.1.KLF5	chr9	62507724	62507733	-	0.000	0.000	Merged-chr9-62507669-9
NR4064--MA1107.1.KLF9	chr10	42699280	42699292	+	0.000	0.000	Merged-chr10-42699170-35
NR28404--MA0742.1.Klf12	chr2	59513709	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR44494--MA1107.1.KLF9	chr6	145998705	145998717	+	0.000	0.000	Merged-chr6-145998846-7
NR42638--MA0599.1.KLF5	chr6	82402557	82402566	-	0.000	0.000	Merged-chr6-82402722-33
NR35195--MA0039.3.KLF4	chr4	101217011	101217021	+	0.000	0.000	Merged-chr4-101217167-64
NR33459--MA1107.1.KLF9	chr3	136742790	136742802	-	0.000	0.000	Merged-chr3-136742959-57
NR6481--MA1107.1.KLF9	chr10	128940562	128940574	-	0.000	0.000	Merged-chr10-128940717-41
NR32053--MA0741.1.KLF16	chr3	86961189	86961199	-	0.000	0.000	Merged-chr3-86961231-31
NR20708--MA0741.1.KLF16	chr16	91554024	91554034	-	0.000	0.000	Merged-chr16-91553850-20
NR39452--MA1107.1.KLF9	chr5	111357153	111357165	-	0.000	0.000	Merged-chr5-111357188-22
NR13336--MA0741.1.KLF16	chr13	44323895	44323905	+	0.000	0.000	Merged-chr13-44323801-22
NR52514--MA0740.1.KLF14	chr9	70484978	70484991	+	0.000	0.000	Merged-chr9-70485119-27
NR28408--MA0741.1.KLF16	chr2	59534542	59534552	+	0.000	0.000	Merged-chr2-59534510-22
NR39446--MA0657.1.KLF13	chr5	111357149	111357166	-	0.000	0.000	Merged-chr5-111357188-22
NR14945--MA1107.1.KLF9	chr14	12307773	12307785	-	0.000	0.000	Merged-chr14-12307905-40
NR28323--MA1107.1.KLF9	chr2	53067448	53067460	-	0.000	0.000	Merged-chr2-53067376-9
NR32052--MA0493.1.Klf1	chr3	86961190	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR12542--MA0493.1.Klf1	chr12	116140674	116140684	+	0.000	0.000	Merged-chr12-116140817-28
NR4349--MA0741.1.KLF16	chr10	61233216	61233226	+	0.000	0.000	Merged-chr10-61233317-40
