WT	KO
0.0	0.13001402
0.0	0.09751052
0.032047838	0.07800841
0.12819135	0.07800841
0.19228703	0.0
0.22433487	0.0
0.22433487	0.0
0.19228703	0.0
0.096143514	0.0
0.032047838	0.0
0.064095676	0.0
0.064095676	0.0
0.096143514	0.0
0.096143514	0.0
0.096143514	0.0
0.032047838	0.0
0.032047838	0.07800841
0.032047838	0.07800841
0.032047838	0.07800841
0.096143514	0.07800841
0.12819135	0.07800841
0.16023919	0.07800841
0.22433487	0.07800841
0.22433487	0.07800841
0.16023919	0.07800841
0.12819135	0.07800841
0.096143514	0.0
0.096143514	0.07800841
0.096143514	0.07800841
0.12819135	0.07800841
0.16023919	0.07800841
0.22433487	0.15601683
0.19228703	0.15601683
0.22433487	0.23402524
0.19228703	0.23402524
0.16023919	0.31203365
0.12819135	0.31203365
0.064095676	0.23402524
0.064095676	0.23402524
0.096143514	0.31203365
0.12819135	0.23402524
0.19228703	0.15601683
0.19228703	0.15601683
0.16023919	0.07800841
0.16023919	0.0
0.16023919	0.0
0.096143514	0.0
0.096143514	0.0
0.096143514	0.0
0.064095676	0.0
0.064095676	0.0
0.096143514	0.0
0.096143514	0.0
0.12819135	0.07800841
0.16023919	0.15601683
0.12819135	0.15601683
0.096143514	0.15601683
0.16023919	0.15601683
0.22433487	0.15601683
0.32047838	0.15601683
0.32047838	0.15601683
0.28843054	0.15601683
0.2563827	0.15601683
0.19228703	0.07800841
0.096143514	0.0
0.096143514	0.0
0.096143514	0.0
0.064095676	0.0
0.064095676	0.07800841
0.032047838	0.07800841
0.032047838	0.07800841
0.064095676	0.15601683
0.064095676	0.15601683
0.096143514	0.07800841
0.12819135	0.07800841
0.19228703	0.15601683
0.20029898	0.07800841
0.28041857	0.15601683
0.20029898	0.15601683
0.16023919	0.15601683
0.080119595	0.07800841
0.064095676	0.07800841
0.032047838	0.0
0.064095676	0.0
0.096143514	0.0
0.096143514	0.0
0.096143514	0.07800841
0.064095676	0.07800841
0.032047838	0.15601683
0.064095676	0.15601683
0.064095676	0.15601683
0.12819135	0.07800841
0.12819135	0.07800841
0.12819135	0.0
0.096143514	0.0
0.16023919	0.07800841
0.12819135	0.15601683
0.12819135	0.15601683
0.16023919	0.15601683
0.19228703	0.23402524
0.19228703	0.15601683
0.19228703	0.07800841
0.2563827	0.15601683
0.2563827	0.15601683
0.2563827	0.07800841
0.22433487	0.09751052
0.19228703	0.19502103
0.16023919	0.19502103
0.16023919	0.29253155
0.16023919	0.39004207
0.16023919	0.39004207
0.24035878	0.39004207
0.24035878	0.31203365
0.28041857	0.23402524
0.24035878	0.15601683
0.19228703	0.07800841
0.16023919	0.0
0.16023919	0.0
0.12819135	0.07800841
0.096143514	0.15601683
0.12819135	0.15601683
0.12017939	0.31203365
0.12017939	0.31203365
0.080119595	0.31203365
0.12017939	0.23402524
0.080119595	0.23402524
0.12819135	0.07800841
0.12819135	0.07800841
0.12819135	0.0
0.12819135	0.0
0.12819135	0.0
0.096143514	0.19502103
0.064095676	0.19502103
0.064095676	0.15601683
0.032047838	0.15601683
0.064095676	0.15601683
0.032047838	0.07800841
0.032047838	0.09751052
0.032047838	0.09751052
0.064095676	0.19502103
0.064095676	0.26002803
0.064095676	0.13001402
0.12819135	0.19502103
0.16023919	0.29253155
0.12017939	0.39004207
0.12017939	0.31203365
0.28041857	0.31203365
0.28041857	0.39004207
0.22433487	0.31203365
0.22433487	0.15601683
0.19228703	0.15601683
0.064095676	0.23402524
0.032047838	0.07800841
0.032047838	0.15601683
0.064095676	0.15601683
0.064095676	0.15601683
0.12819135	0.15601683
0.096143514	0.23402524
0.096143514	0.15601683
0.12819135	0.23402524
0.16023919	0.31203365
0.096143514	0.31203365
0.096143514	0.23402524
0.16023919	0.31203365
0.096143514	0.23402524
0.096143514	0.15601683
0.16023919	0.07800841
0.28843054	0.07800841
0.22433487	0.0
0.2563827	0.15601683
0.28843054	0.15601683
0.2563827	0.15601683
0.16023919	0.15601683
0.16023919	0.15601683
0.12819135	0.0
0.096143514	0.0
0.064095676	0.0
0.032047838	0.0
0.064095676	0.0
0.12819135	0.07800841
0.096143514	0.07800841
0.12819135	0.07800841
0.12819135	0.15601683
0.096143514	0.15601683
0.032047838	0.07800841
0.032047838	0.07800841
0.0	0.15601683
0.0	0.15601683
0.0	0.15601683
0.032047838	0.15601683
0.032047838	0.15601683
0.064095676	0.07800841
0.096143514	0.0
0.096143514	0.07800841
0.096143514	0.15601683
0.096143514	0.15601683
0.064095676	0.15601683
0.032047838	0.15601683
0.040059797	0.09751052
0.0	0.0
