#Name (cmd = mergePeaks -d 200 -cobound 1 DKO_Tfh_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR15--MA0508.2.PRDM1	chr1	38777814	38777823	-	0.000	0.000	Merged-chr1-38777708-41
NR162--MA0508.2.PRDM1	chr1	180810496	180810505	+	0.000	0.000	Merged-chr1-180810648-13
NR1479--MA0508.2.PRDM1	chr5	28269860	28269869	-	0.000	0.000	Merged-chr5-28269924-54
NR412--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
NR120--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR1328--MA0508.2.PRDM1	chr3	149410713	149410722	-	0.000	0.000	Merged-chr3-149410577-18
NR895--MA0508.2.PRDM1	chr17	45703389	45703398	-	0.000	0.000	Merged-chr17-45703436-19
NR622--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR975--MA0508.2.PRDM1	chr18	67255666	67255675	-	0.000	0.000	Merged-chr18-67255745-40
NR26--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR290--MA0508.2.PRDM1	chr10	116487223	116487232	+	0.000	0.000	Merged-chr10-116487356-53
NR627--MA0508.2.PRDM1	chr14	7934462	7934471	-	0.000	0.000	Merged-chr14-7934334-2
NR465--MA0508.2.PRDM1	chr12	91713674	91713683	+	0.000	0.000	Merged-chr12-91713689-29
NR173--MA0508.2.PRDM1	chr1	191102819	191102828	+	0.000	0.000	Merged-chr1-191102990-43
NR391--MA0508.2.PRDM1	chr11	99131606	99131615	+	0.000	0.000	Merged-chr11-99131567-85
NR2024--MA0508.2.PRDM1	chr9	123935546	123935555	+	0.000	0.000	Merged-chr9-123935599-31
NR436--MA0508.2.PRDM1	chr12	41040045	41040054	-	0.000	0.000	Merged-chr12-41040097-12
NR707--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR816--MA0508.2.PRDM1	chr16	52374266	52374275	+	0.000	0.000	Merged-chr16-52374285-15
NR2003--MA0508.2.PRDM1	chr9	111047460	111047469	-	0.000	0.000	Merged-chr9-111047494-21
NR667--MA0508.2.PRDM1	chr14	71120489	71120498	+	0.000	0.000	Merged-chr14-71120653-22
NR768--MA0508.2.PRDM1	chr16	10814873	10814882	+	0.000	0.000	Merged-chr16-10814720-1
NR476--MA0508.2.PRDM1	chr12	100928450	100928459	-	0.000	0.000	Merged-chr12-100928517-22
NR1462--MA0508.2.PRDM1	chr5	8397740	8397749	+	0.000	0.000	Merged-chr5-8397712-7
NR1839--MA0508.2.PRDM1	chr7	140983181	140983190	+	0.000	0.000	Merged-chr7-140983161-18
NR1786--MA0508.2.PRDM1	chr7	90074607	90074616	-	0.000	0.000	Merged-chr7-90074700-23
NR1500--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1024--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR1765--MA0508.2.PRDM1	chr7	66116180	66116189	-	0.000	0.000	Merged-chr7-66116161-49
NR1874--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR1016--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1744--MA0508.2.PRDM1	chr7	29991547	29991556	-	0.000	0.000	Merged-chr7-29991563-13
NR1582--MA0508.2.PRDM1	chr5	149647746	149647755	-	0.000	0.000	Merged-chr5-149647772-15
NR1614--MA0508.2.PRDM1	chr6	51060200	51060209	+	0.000	0.000	Merged-chr6-51060161-45
NR976--MA0508.2.PRDM1	chr18	67255672	67255681	-	0.000	0.000	Merged-chr18-67255745-40
NR1518--MA0508.2.PRDM1	chr5	92327576	92327585	-	0.000	0.000	Merged-chr5-92327493-24
NR1356--MA0508.2.PRDM1	chr4	46641382	46641391	-	0.000	0.000	Merged-chr4-46641506-27
NR703--MA0508.2.PRDM1	chr14	121478203	121478212	-	0.000	0.000	Merged-chr14-121478313-77
NR1160--MA0508.2.PRDM1	chr2	129186471	129186480	-	0.000	0.000	Merged-chr2-129186538-4
NR1478--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
