#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR315--MA0768.1.LEF1	chr10	91138668	91138682	-	0.000	0.000	Merged-chr10-91138476-30
NR253--MA0768.1.LEF1	chr10	44821926	44821940	+	0.000	0.000	Merged-chr10-44821803-43
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2103--MA0768.1.LEF1	chr5	120831141	120831155	+	0.000	0.000	Merged-chr5-120831228-43
NR2448--MA0768.1.LEF1	chr7	135605122	135605136	+	0.000	0.000	Merged-chr7-135605308-40
NR2073--MA0768.1.LEF1	chr5	100526268	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR352--MA0768.1.LEF1	chr10	118096407	118096421	-	0.000	0.000	Merged-chr10-118096400-51
NR254--MA0768.1.LEF1	chr10	44821970	44821984	-	0.000	0.000	Merged-chr10-44821803-43
NR814--MA0768.1.LEF1	chr14	70283893	70283907	+	0.000	0.000	Merged-chr14-70283811-50
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR1340--MA0768.1.LEF1	chr19	40665894	40665908	-	0.000	0.000	Merged-chr19-40666029-20
NR1032--MA0768.1.LEF1	chr16	49772876	49772890	+	0.000	0.000	Merged-chr16-49772867-33
NR364--MA0768.1.LEF1	chr10	127225942	127225956	-	0.000	0.000	Merged-chr10-127225928-35
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR5--MA0768.1.LEF1	chr1	13559596	13559610	+	0.000	0.000	Merged-chr1-13559747-54
NR463--MA0768.1.LEF1	chr11	117848737	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR446--MA0768.1.LEF1	chr11	109495865	109495879	+	0.000	0.000	Merged-chr11-109495747-14
NR935--MA0768.1.LEF1	chr15	66825623	66825637	+	0.000	0.000	Merged-chr15-66825502-98
NR2533--MA0768.1.LEF1	chr8	88771555	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR1238--MA0768.1.LEF1	chr18	56447167	56447181	+	0.000	0.000	Merged-chr18-56447278-50
NR1745--MA0768.1.LEF1	chr3	116652211	116652225	+	0.000	0.000	Merged-chr3-116652176-28
NR670--MA0768.1.LEF1	chr13	73737017	73737031	-	0.000	0.000	Merged-chr13-73737138-53
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR1725--MA0768.1.LEF1	chr3	101224537	101224551	-	0.000	0.000	Merged-chr3-101224387-31
