#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1938--MA1104.1.GATA6	chr14	74918615	74918627	+	0.000	0.000	Merged-chr14-74918775-39
NR4645--MA0036.3.GATA2	chr6	71831778	71831788	+	0.000	0.000	Merged-chr6-71831897-1
NR716--MA0035.3.Gata1	chr10	93985592	93985602	+	0.000	0.000	Merged-chr10-93985650-27
NR421--MA0482.1.Gata4	chr1	179578812	179578822	+	0.000	0.000	Merged-chr1-179578897-31
NR1232--MA1104.1.GATA6	chr12	59169865	59169877	-	0.000	0.000	Merged-chr12-59170039-43
NR5178--MA0035.3.Gata1	chr7	109951589	109951599	-	0.000	0.000	Merged-chr7-109951636-55
NR4481--MA0140.2.GATA1::TAL1	chr5	143038559	143038576	+	0.000	0.000	Merged-chr5-143038769-30
NR2161--MA1104.1.GATA6	chr15	82914619	82914631	+	0.000	0.000	Merged-chr15-82914694-36
NR4589--MA0035.3.Gata1	chr6	50146482	50146492	+	0.000	0.000	Merged-chr6-50146420-23
NR4330--MA1104.1.GATA6	chr5	92327549	92327561	-	0.000	0.000	Merged-chr5-92327493-24
NR2774--MA0036.3.GATA2	chr18	13016560	13016570	+	0.000	0.000	Merged-chr18-13016580-10
NR2057--MA0037.3.GATA3	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR3732--MA0766.1.GATA5	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR4509--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR4334--MA0140.2.GATA1::TAL1	chr5	92327552	92327569	+	0.000	0.000	Merged-chr5-92327493-24
NR142--MA0766.1.GATA5	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR2253--MA0766.1.GATA5	chr16	10814979	10814986	+	0.000	0.000	Merged-chr16-10815093-30
NR2766--MA0036.3.GATA2	chr18	12645151	12645161	+	0.000	0.000	Merged-chr18-12645089-14
NR4160--MA1104.1.GATA6	chr5	8374460	8374472	+	0.000	0.000	Merged-chr5-8374526-17
NR949--MA0766.1.GATA5	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR2917--MA0766.1.GATA5	chr18	79257457	79257464	+	0.000	0.000	Merged-chr18-79257508-110
NR2060--MA0036.3.GATA2	chr15	53267117	53267127	-	0.000	0.000	Merged-chr15-53267286-91
NR3924--MA0035.3.Gata1	chr4	71291541	71291551	+	0.000	0.000	Merged-chr4-71291736-94
NR4633--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR3733--MA0035.3.Gata1	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR2254--MA0035.3.Gata1	chr16	10814977	10814987	-	0.000	0.000	Merged-chr16-10815093-30
NR2163--MA0766.1.GATA5	chr15	82914622	82914629	+	0.000	0.000	Merged-chr15-82914694-36
NR4637--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR5466--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR3940--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR2352--MA0482.1.Gata4	chr16	45025580	45025590	+	0.000	0.000	Merged-chr16-45025536-40
NR1--MA0140.2.GATA1::TAL1	chr1	9883364	9883381	-	0.000	0.000	Merged-chr1-9883358-36
NR4478--MA0036.3.GATA2	chr5	143038557	143038567	+	0.000	0.000	Merged-chr5-143038769-30
NR3701--MA0482.1.Gata4	chr3	135636241	135636251	-	0.000	0.000	Merged-chr3-135636443-43
NR1902--MA0035.3.Gata1	chr14	61770015	61770025	-	0.000	0.000	Merged-chr14-61770099-34
NR4587--MA0036.3.GATA2	chr6	50146482	50146492	+	0.000	0.000	Merged-chr6-50146420-23
NR3704--MA0035.3.Gata1	chr3	135636242	135636252	-	0.000	0.000	Merged-chr3-135636443-43
NR1482--MA0035.3.Gata1	chr13	15982475	15982485	-	0.000	0.000	Merged-chr13-15982553-21
NR4329--MA0482.1.Gata4	chr5	92327551	92327561	+	0.000	0.000	Merged-chr5-92327493-24
NR1295--MA0766.1.GATA5	chr12	89719512	89719519	+	0.000	0.000	Merged-chr12-89719457-81
NR664--MA0037.3.GATA3	chr10	79417359	79417366	-	0.000	0.000	Merged-chr10-79417442-89
NR3735--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR948--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR3702--MA1104.1.GATA6	chr3	135636241	135636253	+	0.000	0.000	Merged-chr3-135636443-43
NR4396--MA0140.2.GATA1::TAL1	chr5	107840705	107840722	-	0.000	0.000	Merged-chr5-107840807-27
NR3744--MA0035.3.Gata1	chr3	138334345	138334355	+	0.000	0.000	Merged-chr3-138334424-50
NR3767--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR138--MA0037.3.GATA3	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR573--MA0766.1.GATA5	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR1296--MA0035.3.Gata1	chr12	89719510	89719520	-	0.000	0.000	Merged-chr12-89719457-81
NR5468--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR141--MA0036.3.GATA2	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR1939--MA0035.3.Gata1	chr14	74918616	74918626	-	0.000	0.000	Merged-chr14-74918775-39
NR2916--MA0036.3.GATA2	chr18	79257455	79257465	-	0.000	0.000	Merged-chr18-79257508-110
NR5012--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR666--MA0766.1.GATA5	chr10	79417359	79417366	-	0.000	0.000	Merged-chr10-79417442-89
NR1233--MA0035.3.Gata1	chr12	59169866	59169876	+	0.000	0.000	Merged-chr12-59170039-43
NR712--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR3773--MA0140.2.GATA1::TAL1	chr3	148491490	148491507	-	0.000	0.000	Merged-chr3-148491583-74
NR574--MA0035.3.Gata1	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR2159--MA0037.3.GATA3	chr15	82914622	82914629	+	0.000	0.000	Merged-chr15-82914694-36
NR4328--MA0037.3.GATA3	chr5	92327551	92327558	-	0.000	0.000	Merged-chr5-92327493-24
NR2550--MA0036.3.GATA2	chr17	18597638	18597648	-	0.000	0.000	Merged-chr17-18597509-40
NR2162--MA0036.3.GATA2	chr15	82914620	82914630	-	0.000	0.000	Merged-chr15-82914694-36
NR4646--MA0766.1.GATA5	chr6	71831779	71831786	-	0.000	0.000	Merged-chr6-71831897-1
NR4636--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR4161--MA0035.3.Gata1	chr5	8374461	8374471	-	0.000	0.000	Merged-chr5-8374526-17
NR4331--MA0036.3.GATA2	chr5	92327550	92327560	+	0.000	0.000	Merged-chr5-92327493-24
NR5708--MA0482.1.Gata4	chr9	80318150	80318160	+	0.000	0.000	Merged-chr9-80318250-48
NR713--MA1104.1.GATA6	chr10	93985591	93985603	-	0.000	0.000	Merged-chr10-93985650-27
NR667--MA0035.3.Gata1	chr10	79417358	79417368	+	0.000	0.000	Merged-chr10-79417442-89
NR5467--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR2674--MA0140.2.GATA1::TAL1	chr17	70886909	70886926	+	0.000	0.000	Merged-chr17-70886838-34
NR412--MA0766.1.GATA5	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR4480--MA0035.3.Gata1	chr5	143038557	143038567	+	0.000	0.000	Merged-chr5-143038769-30
NR2775--MA0766.1.GATA5	chr18	13016561	13016568	-	0.000	0.000	Merged-chr18-13016580-10
NR518--MA0482.1.Gata4	chr10	18193419	18193429	-	0.000	0.000	Merged-chr10-18193414-42
NR2767--MA0766.1.GATA5	chr18	12645152	12645159	-	0.000	0.000	Merged-chr18-12645089-14
NR4647--MA0035.3.Gata1	chr6	71831778	71831788	+	0.000	0.000	Merged-chr6-71831897-1
NR2061--MA0766.1.GATA5	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR4506--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR2250--MA0482.1.Gata4	chr16	10814976	10814986	-	0.000	0.000	Merged-chr16-10815093-30
NR2338--MA0140.2.GATA1::TAL1	chr16	38653601	38653618	+	0.000	0.000	Merged-chr16-38653657-58
NR3663--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR3729--MA0037.3.GATA3	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR2914--MA0482.1.Gata4	chr18	79257454	79257464	-	0.000	0.000	Merged-chr18-79257508-110
