#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1350--MA0768.1.LEF1	chr18	55107223	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR1583--MA0768.1.LEF1	chr2	118008229	118008243	+	0.000	0.000	Merged-chr2-118008176-29
NR1480--MA0768.1.LEF1	chr2	32181551	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR2785--MA0768.1.LEF1	chr9	14548118	14548132	+	0.000	0.000	Merged-chr9-14548192-17
NR2902--MA0768.1.LEF1	chrX	52679287	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR1938--MA0768.1.LEF1	chr4	11143326	11143340	+	0.000	0.000	Merged-chr4-11143309-7
NR2822--MA0768.1.LEF1	chr9	70584885	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR191--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR1849--MA0768.1.LEF1	chr3	131190856	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR1666--MA0768.1.LEF1	chr2	173444361	173444375	+	0.000	0.000	Merged-chr2-173444560-32
NR555--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2336--MA0768.1.LEF1	chr6	55256720	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR2238--MA0768.1.LEF1	chr5	100929941	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR704--MA0768.1.LEF1	chr13	52702316	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR149--MA0768.1.LEF1	chr1	131325030	131325044	-	0.000	0.000	Merged-chr1-131325042-10
