#Name (cmd = mergePeaks -d 200 -cobound 1 WT_Th1_rep2_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR3307--MA0035.3.Gata1	chr2	174018224	174018234	-	0.000	0.000	Merged-chr2-174018150-40
NR580--MA0766.1.GATA5	chr10	67637033	67637040	-	0.000	0.000	Merged-chr10-67637087-65
NR4433--MA0140.2.GATA1::TAL1	chr6	70797854	70797871	+	0.000	0.000	Merged-chr6-70798012-48
NR2476--MA0036.3.GATA2	chr17	57060565	57060575	-	0.000	0.000	Merged-chr17-57060464-86
NR3810--MA0037.3.GATA3	chr4	101192431	101192438	-	0.000	0.000	Merged-chr4-101192584-17
NR4908--MA0035.3.Gata1	chr7	127285338	127285348	+	0.000	0.000	Merged-chr7-127285389-45
NR280--MA0482.1.Gata4	chr1	150465598	150465608	-	0.000	0.000	Merged-chr1-150465561-21
NR2856--MA0036.3.GATA2	chr19	46613396	46613406	+	0.000	0.000	Merged-chr19-46613309-39
NR5247--MA0036.3.GATA2	chr9	25191872	25191882	+	0.000	0.000	Merged-chr9-25191824-38
NR602--MA0036.3.GATA2	chr10	81137368	81137378	+	0.000	0.000	Merged-chr10-81137276-7
NR5232--MA1104.1.GATA6	chr9	15530049	15530061	-	0.000	0.000	Merged-chr9-15530031-64
NR1016--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR4384--MA0766.1.GATA5	chr6	51768111	51768118	+	0.000	0.000	Merged-chr6-51768092-8
NR238--MA0140.2.GATA1::TAL1	chr1	133788085	133788102	+	0.000	0.000	Merged-chr1-133787965-48
NR3158--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR2490--MA0035.3.Gata1	chr17	64602272	64602282	-	0.000	0.000	Merged-chr17-64602197-17
NR3910--MA0766.1.GATA5	chr4	141147779	141147786	+	0.000	0.000	Merged-chr4-141148064-85
NR302--MA0035.3.Gata1	chr1	156956632	156956642	+	0.000	0.000	Merged-chr1-156956579-55
NR2455--MA0036.3.GATA2	chr17	52150039	52150049	+	0.000	0.000	Merged-chr17-52149947-112
NR2803--MA0482.1.Gata4	chr19	29418706	29418716	+	0.000	0.000	Merged-chr19-29418635-70
NR581--MA1104.1.GATA6	chr10	68105559	68105571	+	0.000	0.000	Merged-chr10-68105401-48
NR2870--MA0035.3.Gata1	chr19	55860148	55860158	-	0.000	0.000	Merged-chr19-55860279-23
NR4547--MA0037.3.GATA3	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR986--MA0766.1.GATA5	chr11	90225057	90225064	-	0.000	0.000	Merged-chr11-90225249-59
NR4868--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR2160--MA0766.1.GATA5	chr16	32645538	32645545	-	0.000	0.000	Merged-chr16-32645495-50
NR5284--MA0482.1.Gata4	chr9	50924697	50924707	+	0.000	0.000	Merged-chr9-50924601-13
NR85--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR5192--MA0037.3.GATA3	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR4953--MA0482.1.Gata4	chr7	140189368	140189378	-	0.000	0.000	Merged-chr7-140189326-3
NR4563--MA0035.3.Gata1	chr6	127668196	127668206	-	0.000	0.000	Merged-chr6-127668344-1
NR2374--MA0140.2.GATA1::TAL1	chr17	17374300	17374317	+	0.000	0.000	Merged-chr17-17374353-72
NR2402--MA0482.1.Gata4	chr17	34210828	34210838	-	0.000	0.000	Merged-chr17-34210763-36
NR3036--MA0036.3.GATA2	chr2	66185005	66185015	-	0.000	0.000	Merged-chr2-66184903-51
NR4995--MA0766.1.GATA5	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR1659--MA1104.1.GATA6	chr13	111984291	111984303	-	0.000	0.000	Merged-chr13-111984309-48
NR2030--MA0766.1.GATA5	chr15	76037809	76037816	+	0.000	0.000	Merged-chr15-76037668-45
NR4690--MA0766.1.GATA5	chr7	19332941	19332948	-	0.000	0.000	Merged-chr7-19332998-44
NR940--MA1104.1.GATA6	chr11	70653429	70653441	+	0.000	0.000	Merged-chr11-70653653-5
NR5329--MA0482.1.Gata4	chr9	64779818	64779828	-	0.000	0.000	Merged-chr9-64779927-39
NR3557--MA1104.1.GATA6	chr3	130804037	130804049	+	0.000	0.000	Merged-chr3-130803996-20
NR3259--MA0035.3.Gata1	chr2	166046194	166046204	-	0.000	0.000	Merged-chr2-166046105-43
NR2314--MA0766.1.GATA5	chr16	97190135	97190142	-	0.000	0.000	Merged-chr16-97190176-3
NR3546--MA0140.2.GATA1::TAL1	chr3	126691135	126691152	-	0.000	0.000	Merged-chr3-126690917-48
NR4236--MA0036.3.GATA2	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR4416--MA0140.2.GATA1::TAL1	chr6	67322637	67322654	-	0.000	0.000	Merged-chr6-67322636-3
NR3073--MA0482.1.Gata4	chr2	84479310	84479320	+	0.000	0.000	Merged-chr2-84479185-38
NR4974--MA0766.1.GATA5	chr8	19703493	19703500	+	0.000	0.000	Merged-chr8-19703358-67
NR1320--MA0037.3.GATA3	chr12	107139203	107139210	+	0.000	0.000	Merged-chr12-107139139-48
NR360--MA0482.1.Gata4	chr1	172341309	172341319	+	0.000	0.000	Merged-chr1-172341107-36
NR4550--MA0036.3.GATA2	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR586--MA1104.1.GATA6	chr10	75424695	75424707	+	0.000	0.000	Merged-chr10-75424715-43
NR2763--MA0140.2.GATA1::TAL1	chr19	6046606	6046623	+	0.000	0.000	Merged-chr19-6046653-94
NR2327--MA0766.1.GATA5	chr17	6079941	6079948	+	0.000	0.000	Merged-chr17-6079781-61
NR739--MA0766.1.GATA5	chr10	117938873	117938880	-	0.000	0.000	Merged-chr10-117938782-19
NR3090--MA0037.3.GATA3	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR3884--MA0037.3.GATA3	chr4	127319979	127319986	-	0.000	0.000	Merged-chr4-127319840-19
NR281--MA1104.1.GATA6	chr1	150465598	150465610	+	0.000	0.000	Merged-chr1-150465561-21
NR1119--MA0766.1.GATA5	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR1109--MA0036.3.GATA2	chr12	11230249	11230259	+	0.000	0.000	Merged-chr12-11230454-37
NR111--MA0035.3.Gata1	chr1	78480325	78480335	-	0.000	0.000	Merged-chr1-78480382-3
NR4687--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR482--MA0482.1.Gata4	chr10	12993575	12993585	+	0.000	0.000	Merged-chr10-12993694-35
NR3026--MA1104.1.GATA6	chr2	60845540	60845552	+	0.000	0.000	Merged-chr2-60845573-40
NR4401--MA0482.1.Gata4	chr6	65612023	65612033	-	0.000	0.000	Merged-chr6-65612160-32
NR3231--MA0037.3.GATA3	chr2	157131308	157131315	-	0.000	0.000	Merged-chr2-157131278-25
NR2896--MA0036.3.GATA2	chr2	6478366	6478376	+	0.000	0.000	Merged-chr2-6478572-51
NR4561--MA1104.1.GATA6	chr6	127668195	127668207	+	0.000	0.000	Merged-chr6-127668344-1
NR2768--MA0482.1.Gata4	chr19	9899583	9899593	+	0.000	0.000	Merged-chr19-9899505-60
NR2378--MA0035.3.Gata1	chr17	17838230	17838240	+	0.000	0.000	Merged-chr17-17838305-60
NR514--MA0482.1.Gata4	chr10	26494573	26494583	-	0.000	0.000	Merged-chr10-26494616-56
NR2804--MA1104.1.GATA6	chr19	29418704	29418716	-	0.000	0.000	Merged-chr19-29418635-70
NR1915--MA0140.2.GATA1::TAL1	chr14	121829945	121829962	+	0.000	0.000	Merged-chr14-121830164-49
NR3560--MA0036.3.GATA2	chr3	130810235	130810245	-	0.000	0.000	Merged-chr3-130810133-82
NR44--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR485--MA0035.3.Gata1	chr10	12993574	12993584	+	0.000	0.000	Merged-chr10-12993694-35
NR4589--MA0036.3.GATA2	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR5285--MA1104.1.GATA6	chr9	50924695	50924707	-	0.000	0.000	Merged-chr9-50924601-13
NR4185--MA0766.1.GATA5	chr5	120631365	120631372	-	0.000	0.000	Merged-chr5-120631355-14
NR4133--MA0035.3.Gata1	chr5	100675029	100675039	+	0.000	0.000	Merged-chr5-100675060-26
NR86--MA1104.1.GATA6	chr1	66987715	66987727	-	0.000	0.000	Merged-chr1-66987794-41
NR2058--MA0140.2.GATA1::TAL1	chr15	79900309	79900326	-	0.000	0.000	Merged-chr15-79900284-5
NR2105--MA0035.3.Gata1	chr15	100750371	100750381	+	0.000	0.000	Merged-chr15-100750259-57
NR4294--MA0766.1.GATA5	chr5	148596595	148596602	-	0.000	0.000	Merged-chr5-148596681-29
NR2512--MA1104.1.GATA6	chr17	72948413	72948425	+	0.000	0.000	Merged-chr17-72948323-25
NR3911--MA0035.3.Gata1	chr4	141147777	141147787	-	0.000	0.000	Merged-chr4-141148064-85
NR3908--MA0037.3.GATA3	chr4	141147779	141147786	+	0.000	0.000	Merged-chr4-141148064-85
NR1935--MA0766.1.GATA5	chr15	8073376	8073383	+	0.000	0.000	Merged-chr15-8073323-37
NR510--MA1104.1.GATA6	chr10	26229620	26229632	-	0.000	0.000	Merged-chr10-26229708-29
NR4326--MA0766.1.GATA5	chr6	32158581	32158588	-	0.000	0.000	Merged-chr6-32158498-25
NR2917--MA0766.1.GATA5	chr2	18524606	18524613	+	0.000	0.000	Merged-chr2-18524516-29
NR854--MA0482.1.Gata4	chr11	50377761	50377771	+	0.000	0.000	Merged-chr11-50377790-188
NR1338--MA0037.3.GATA3	chr12	111897202	111897209	-	0.000	0.000	Merged-chr12-111897164-28
NR2222--MA0036.3.GATA2	chr16	64824833	64824843	+	0.000	0.000	Merged-chr16-64824762-36
NR4778--MA0035.3.Gata1	chr7	80672545	80672555	-	0.000	0.000	Merged-chr7-80672574-36
NR4021--MA0766.1.GATA5	chr5	30887493	30887500	+	0.000	0.000	Merged-chr5-30887642-12
NR2060--MA0036.3.GATA2	chr15	80590804	80590814	-	0.000	0.000	Merged-chr15-80590747-44
NR2869--MA0482.1.Gata4	chr19	55860147	55860157	-	0.000	0.000	Merged-chr19-55860279-23
NR809--MA0036.3.GATA2	chr11	6568133	6568143	+	0.000	0.000	Merged-chr11-6568162-40
