#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR1633--MA0690.1.TBX21	chr6	127103071	127103080	+	0.000	0.000	Merged-chr6-127103000-20
NR1484--MA0690.1.TBX21	chr5	124084492	124084501	-	0.000	0.000	Merged-chr5-124084583-83
NR1102--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1638--MA0690.1.TBX21	chr6	129747367	129747376	-	0.000	0.000	Merged-chr6-129747542-62
NR1713--MA0690.1.TBX21	chr7	79249797	79249806	+	0.000	0.000	Merged-chr7-79249720-34
NR1617--MA0690.1.TBX21	chr6	114883657	114883666	+	0.000	0.000	Merged-chr6-114883519-32
NR1203--MA0690.1.TBX21	chr3	115799524	115799533	-	0.000	0.000	Merged-chr3-115799463-50
NR1033--MA0690.1.TBX21	chr2	68430657	68430666	+	0.000	0.000	Merged-chr2-68430660-54
NR980--MA0690.1.TBX21	chr2	25170441	25170450	+	0.000	0.000	Merged-chr2-25170502-21
NR470--MA0690.1.TBX21	chr13	60935247	60935256	-	0.000	0.000	Merged-chr13-60935285-22
NR1949--MA0690.1.TBX21	chr9	55388247	55388256	+	0.000	0.000	Merged-chr9-55388103-42
NR1806--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR592--MA0690.1.TBX21	chr14	73476543	73476552	+	0.000	0.000	Merged-chr14-73476572-35
NR1352--MA0690.1.TBX21	chr4	132775100	132775109	-	0.000	0.000	Merged-chr4-132775105-24
NR1907--MA0690.1.TBX21	chr8	120716738	120716747	+	0.000	0.000	Merged-chr8-120716591-36
NR964--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
