#Name (cmd = mergePeaks -d 200 -cobound 1 Prdm1KO_Tfh_rep3_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR28660--MA0740.1.KLF14	chr2	5404021	5404034	-	0.000	0.000	Merged-chr2-5404009-10
NR1174--MA0599.1.KLF5	chr1	84318950	84318959	-	0.000	0.000	Merged-chr1-84318831-8
NR45246--MA1107.1.KLF9	chr6	83762978	83762990	+	0.000	0.000	Merged-chr6-83763123-27
NR31801--MA0740.1.KLF14	chr2	152344098	152344111	+	0.000	0.000	Merged-chr2-152344055-110
NR9310--MA0740.1.KLF14	chr11	80089397	80089410	+	0.000	0.000	Merged-chr11-80089472-35
NR26412--MA0741.1.KLF16	chr18	74442312	74442322	-	0.000	0.000	Merged-chr18-74442456-61
NR23480--MA1107.1.KLF9	chr17	33930868	33930880	+	0.000	0.000	Merged-chr17-33930835-34
NR23567--MA0742.1.Klf12	chr17	34959278	34959292	+	0.000	0.000	Merged-chr17-34959269-73
NR54755--MA1107.1.KLF9	chr9	15709973	15709985	-	0.000	0.000	Merged-chr9-15709752-108
NR24692--MA0599.1.KLF5	chr17	79715651	79715660	+	0.000	0.000	Merged-chr17-79715773-57
NR47874--MA0493.1.Klf1	chr7	25238265	25238275	+	0.000	0.000	Merged-chr7-25238227-126
NR7630--MA0740.1.KLF14	chr11	20064271	20064284	+	0.000	0.000	Merged-chr11-20064139-6
NR35360--MA0599.1.KLF5	chr3	129831343	129831352	+	0.000	0.000	Merged-chr3-129831268-81
NR31889--MA0742.1.Klf12	chr2	153445289	153445303	+	0.000	0.000	Merged-chr2-153445108-13
NR16942--MA0742.1.Klf12	chr14	55721940	55721954	+	0.000	0.000	Merged-chr14-55722058-57
NR14991--MA0742.1.Klf12	chr13	75053878	75053892	-	0.000	0.000	Merged-chr13-75053881-13
NR12106--MA0599.1.KLF5	chr12	69461955	69461964	+	0.000	0.000	Merged-chr12-69461998-25
NR33167--MA0599.1.KLF5	chr3	10351445	10351454	-	0.000	0.000	Merged-chr3-10351318-69
NR30232--MA0741.1.KLF16	chr2	72590168	72590178	+	0.000	0.000	Merged-chr2-72590175-15
NR42207--MA0742.1.Klf12	chr5	115119380	115119394	+	0.000	0.000	Merged-chr5-115119310-50
NR43101--MA0741.1.KLF16	chr5	135009395	135009405	-	0.000	0.000	Merged-chr5-135009349-131
NR15155--MA1107.1.KLF9	chr13	92530701	92530713	+	0.000	0.000	Merged-chr13-92530781-75
NR54965--MA0039.3.KLF4	chr9	25167656	25167666	-	0.000	0.000	Merged-chr9-25167657-41
NR33462--MA0740.1.KLF14	chr3	36475705	36475718	+	0.000	0.000	Merged-chr3-36475795-73
NR13442--MA0599.1.KLF5	chr12	116467190	116467199	-	0.000	0.000	Merged-chr12-116467208-51
NR36759--MA0599.1.KLF5	chr4	43508785	43508794	-	0.000	0.000	Merged-chr4-43508749-47
NR25206--MA0740.1.KLF14	chr18	12236553	12236566	+	0.000	0.000	Merged-chr18-12236569-102
NR33733--MA0740.1.KLF14	chr3	57651688	57651701	+	0.000	0.000	Merged-chr3-57651631-57
NR13781--MA1107.1.KLF9	chr13	24547213	24547225	-	0.000	0.000	Merged-chr13-24547194-39
NR16152--MA0599.1.KLF5	chr14	21831249	21831258	+	0.000	0.000	Merged-chr14-21831414-105
NR27374--MA1107.1.KLF9	chr19	14286615	14286627	+	0.000	0.000	Merged-chr19-14286604-14
NR25876--MA0599.1.KLF5	chr18	56431883	56431892	+	0.000	0.000	Merged-chr18-56431859-87
NR41270--MA0657.1.KLF13	chr5	77095348	77095365	-	0.000	0.000	Merged-chr5-77095134-79
NR10928--MA1107.1.KLF9	chr11	118225897	118225909	+	0.000	0.000	Merged-chr11-118225979-35
NR3416--MA0493.1.Klf1	chr1	183297294	183297304	-	0.000	0.000	Merged-chr1-183297368-141
NR18976--MA0740.1.KLF14	chr15	58823639	58823652	-	0.000	0.000	Merged-chr15-58823489-98
NR39930--MA0599.1.KLF5	chr5	3928254	3928263	+	0.000	0.000	Merged-chr5-3928425-98
NR20552--MA0599.1.KLF5	chr15	100747377	100747386	+	0.000	0.000	Merged-chr15-100747446-44
NR26935--MA0741.1.KLF16	chr19	4756512	4756522	-	0.000	0.000	Merged-chr19-4756265-110
NR19744--MA0599.1.KLF5	chr15	83367326	83367335	+	0.000	0.000	Merged-chr15-83367311-32
NR23262--MA0599.1.KLF5	chr17	28801762	28801771	+	0.000	0.000	Merged-chr17-28801769-11
NR31220--MA0599.1.KLF5	chr2	125422588	125422597	-	0.000	0.000	Merged-chr2-125422559-12
NR26248--MA0039.3.KLF4	chr18	67800047	67800057	+	0.000	0.000	Merged-chr18-67800270-84
NR50454--MA0741.1.KLF16	chr7	126272370	126272380	-	0.000	0.000	Merged-chr7-126272467-83
NR52254--MA0657.1.KLF13	chr8	57580062	57580079	-	0.000	0.000	Merged-chr8-57580004-34
NR22932--MA1107.1.KLF9	chr17	24478863	24478875	-	0.000	0.000	Merged-chr17-24479000-72
