#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_1_selected/log2fc_1_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-log2fc-1_up.bed
NR1793--MA0768.1.LEF1	chr3	145951398	145951412	+	0.000	0.000	Merged-chr3-145951501-19
NR1024--MA0768.1.LEF1	chr16	44766968	44766982	-	0.000	0.000	Merged-chr16-44767090-2
NR128--MA0768.1.LEF1	chr1	139163012	139163026	+	0.000	0.000	Merged-chr1-139163024-8
NR1321--MA0768.1.LEF1	chr19	21853010	21853024	-	0.000	0.000	Merged-chr19-21852993-8
NR2096--MA0768.1.LEF1	chr5	117924807	117924821	+	0.000	0.000	Merged-chr5-117924808-8
NR636--MA0768.1.LEF1	chr13	44317655	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR1309--MA0768.1.LEF1	chr19	11559753	11559767	-	0.000	0.000	Merged-chr19-11559745-14
NR462--MA0768.1.LEF1	chr11	116418606	116418620	+	0.000	0.000	Merged-chr11-116418803-35
NR1802--MA0768.1.LEF1	chr3	152127481	152127495	+	0.000	0.000	Merged-chr3-152127515-20
NR2029--MA0768.1.LEF1	chr5	64455555	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR2097--MA0768.1.LEF1	chr5	117924832	117924846	-	0.000	0.000	Merged-chr5-117924808-8
NR2214--MA0768.1.LEF1	chr6	85029901	85029915	+	0.000	0.000	Merged-chr6-85029852-8
NR241--MA0768.1.LEF1	chr10	28564335	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR520--MA0768.1.LEF1	chr12	70880742	70880756	+	0.000	0.000	Merged-chr12-70880653-9
NR249--MA0768.1.LEF1	chr10	41615634	41615648	+	0.000	0.000	Merged-chr10-41615681-31
NR1516--MA0768.1.LEF1	chr2	107005953	107005967	+	0.000	0.000	Merged-chr2-107005967-12
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR406--MA0768.1.LEF1	chr11	64021026	64021040	-	0.000	0.000	Merged-chr11-64021089-15
NR2755--MA0768.1.LEF1	chrX	132288201	132288215	+	0.000	0.000	Merged-chrX-132288230-18
NR2730--MA0768.1.LEF1	chrX	20772011	20772025	-	0.000	0.000	Merged-chrX-20771944-57
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
