#Name (cmd = mergePeaks -d 200 -cobound 1 Bcl6KO_Th1_rep1_fp_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR67--MA0591.1.Bach1::Mafk	chr1	36160375	36160389	-	0.000	0.000	Merged-chr1-36160446-48
NR2620--MA0089.1.MAFG::NFE2L1	chr13	83407011	83407016	+	0.000	0.000	Merged-chr13-83406936-1
NR3097--MA0659.1.MAFG	chr14	68034567	68034587	+	0.000	0.000	Merged-chr14-68034570-19
NR7808--MA0089.1.MAFG::NFE2L1	chr5	135115443	135115448	-	0.000	0.000	Merged-chr5-135115482-49
NR4153--MA0496.2.MAFK	chr17	23748157	23748175	-	0.000	0.000	Merged-chr17-23748319-15
NR5910--MA0089.1.MAFG::NFE2L1	chr2	168230632	168230637	-	0.000	0.000	Merged-chr2-168230468-122
NR3388--MA0089.1.MAFG::NFE2L1	chr15	41830915	41830920	-	0.000	0.000	Merged-chr15-41830921-42
NR3295--MA0591.1.Bach1::Mafk	chr15	9528403	9528417	-	0.000	0.000	Merged-chr15-9528468-81
NR3413--MA0495.2.MAFF	chr15	55884392	55884412	+	0.000	0.000	Merged-chr15-55884580-27
NR2334--MA0659.1.MAFG	chr13	13572298	13572318	+	0.000	0.000	Merged-chr13-13572310-40
NR8929--MA0496.2.MAFK	chr7	118277675	118277693	+	0.000	0.000	Merged-chr7-118277428-74
NR2382--MA0591.1.Bach1::Mafk	chr13	33003649	33003663	-	0.000	0.000	Merged-chr13-33003757-27
NR3746--MA0117.2.Mafb	chr16	20144866	20144877	-	0.000	0.000	Merged-chr16-20144854-9
NR7720--MA0591.1.Bach1::Mafk	chr5	112227401	112227415	-	0.000	0.000	Merged-chr5-112227442-20
NR8333--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR4895--MA0089.1.MAFG::NFE2L1	chr19	18619928	18619933	-	0.000	0.000	Merged-chr19-18620127-1
NR1791--MA0591.1.Bach1::Mafk	chr11	121039354	121039368	-	0.000	0.000	Merged-chr11-121039238-62
NR1699--MA0495.2.MAFF	chr11	109648717	109648737	+	0.000	0.000	Merged-chr11-109648760-5
NR417--MA0496.2.MAFK	chr1	131135092	131135110	+	0.000	0.000	Merged-chr1-131135243-3
NR3528--MA0501.1.MAF::NFE2	chr15	76317281	76317295	-	0.000	0.000	Merged-chr15-76317271-46
NR4861--MA0495.2.MAFF	chr19	7483216	7483236	-	0.000	0.000	Merged-chr19-7483296-85
NR7813--MA0501.1.MAF::NFE2	chr5	135957789	135957803	+	0.000	0.000	Merged-chr5-135957645-50
NR9137--MA0496.2.MAFK	chr8	15042964	15042982	+	0.000	0.000	Merged-chr8-15042967-24
NR1426--MA0501.1.MAF::NFE2	chr11	62280809	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR9945--MA0117.2.Mafb	chr9	116223437	116223448	+	0.000	0.000	Merged-chr9-116223599-38
NR4966--MA0659.1.MAFG	chr19	40661356	40661376	-	0.000	0.000	Merged-chr19-40661209-23
